slug,title,issue_type,confidence,details
"lamhe-1992","Lamhe","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"lamhe-1992","Lamhe","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"n-a-2019","—N/a","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':null,'reason':'Hero name matches known female actress'}"
"oonjaal-1977","Oonjaal","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Kaviyoor Ponnamma','reason':'Hero name matches known female actress'}"
"sadma-1984","Sadma","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"sadma-1984","Sadma","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"justice-chaudhury-1983","Justice Chaudhury","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Hema Malini','reason':'Hero name matches known female actress'}"
"johnny-1980","Johnny","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Chris William Martin','reason':'Hero name matches known female actress'}"
"gift-1984","Gift","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Casey Niccoli','reason':'Hero name matches known female actress'}"
"gumrah-1994","Gumrah","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Mala Sinha','reason':'Hero name matches known female actress'}"
"moondram-pirai-1981","Moondram Pirai","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"moondram-pirai-1981","Moondram Pirai","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"poompatta-1971","Poompatta","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':null,'reason':'Hero name matches known female actress'}"
"solva-sawan-1979","Solva Sawan","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Amol Palekar','reason':'Hero name matches known female actress'}"
"khuda-gawah-1993","Khuda Gawah","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"khuda-gawah-1993","Khuda Gawah","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"meendum-kokila-1982","Meendum Kokila","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"meendum-kokila-1982","Meendum Kokila","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"chaalbaaz-1990","ChaalBaaz","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sunny Deol','reason':'Hero name matches known female actress'}"
"judaai-1998","Judaai","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"judaai-1998","Judaai","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"english-vinglish-2013","English Vinglish","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Adil Hussain','reason':'Hero name matches known female actress'}"
"army-1996","Army","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"army-1996","Army","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"main-tera-dushman-1989","Main Tera Dushman","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"main-tera-dushman-1989","Main Tera Dushman","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"majaal-1987","Majaal","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Jaya Prada','reason':'Hero name matches known female actress'}"
"guru-1989","Guru","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"guru-1989","Guru","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"chaand-kaa-tukdaa-1994","Chaand Kaa Tukdaa","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"chaand-kaa-tukdaa-1994","Chaand Kaa Tukdaa","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"fire-and-flames-1986","Fire and Flames","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"fire-and-flames-1986","Fire and Flames","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"lamhe-1991","Lamhe","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"lamhe-1991","Lamhe","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"ram-avtar-1988","Ram-Avtar","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"ram-avtar-1988","Ram-Avtar","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"pathar-ke-insan-1990","Pathar Ke Insan","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"pathar-ke-insan-1990","Pathar Ke Insan","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"jawab-hum-denge-1987","Jawab Hum Denge","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"jawab-hum-denge-1987","Jawab Hum Denge","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"chandni-1989","Chandni","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"chandni-1989","Chandni","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"aulad-1987","Aulad","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Jaya Prada','reason':'Hero name matches known female actress'}"
"masterji-1985","Masterji","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"masterji-1985","Masterji","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"ghar-sansar-1986","Ghar Sansar","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"ghar-sansar-1986","Ghar Sansar","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"balidaan-1985","Balidaan","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"balidaan-1985","Balidaan","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"suhaagan-1986","Suhaagan","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"suhaagan-1986","Suhaagan","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"huliya-halina-mevu-1979","Huliya Halina Mevu","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"kavalai-vendam-2016","Kavalai Vendam","wrong_hero_gender","high","{'current_hero':'Kajal Aggarwal','heroine':'Kajal Aggarwal','reason':'Hero name matches known female actress'}"
"kavalai-vendam-2016","Kavalai Vendam","hero_heroine_same","high","{'name':'Kajal Aggarwal','reason':'Hero and heroine are identical'}"
"ananda-thandavam-2009","Ananda Thandavam","wrong_hero_gender","high","{'current_hero':'Tamannaah Bhatia','heroine':'Tamannaah Bhatia','reason':'Hero name matches known female actress'}"
"ananda-thandavam-2009","Ananda Thandavam","hero_heroine_same","high","{'name':'Tamannaah Bhatia','reason':'Hero and heroine are identical'}"
"chandra-mukhi-1993","Chandra Mukhi","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"chandra-mukhi-1993","Chandra Mukhi","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"pazhani-2008","Pazhani","wrong_hero_gender","high","{'current_hero':'Kajal Aggarwal','heroine':'Kajal Aggarwal','reason':'Hero name matches known female actress'}"
"pazhani-2008","Pazhani","hero_heroine_same","high","{'name':'Kajal Aggarwal','reason':'Hero and heroine are identical'}"
"alex-pandian-2013","Alex Pandian","wrong_hero_gender","high","{'current_hero':'Anushka Shetty','heroine':'Anushka Shetty','reason':'Hero name matches known female actress'}"
"alex-pandian-2013","Alex Pandian","hero_heroine_same","high","{'name':'Anushka Shetty','reason':'Hero and heroine are identical'}"
"ramaiya-vastavaiya-2013","Ramaiya Vastavaiya","wrong_hero_gender","high","{'current_hero':'Shruti Haasan','heroine':'Shruti Haasan','reason':'Hero name matches known female actress'}"
"ramaiya-vastavaiya-2013","Ramaiya Vastavaiya","hero_heroine_same","high","{'name':'Shruti Haasan','reason':'Hero and heroine are identical'}"
"judaai-1997","Judaai","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"judaai-1997","Judaai","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"banjaran-1991","Banjaran","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"banjaran-1991","Banjaran","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"aatwaja-2018","Aatwaja","hero_heroine_same","high","{'name':'Jaya Prada','reason':'Hero and heroine are identical'}"
"chaalbaaz-1989","Chaalbaaz","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"chaalbaaz-1989","Chaalbaaz","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"bhagwaan-dada-1986","Bhagwaan Dada","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"bhagwaan-dada-1986","Bhagwaan Dada","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"kadhala-kadhala-1998","Kadhala Kadhala","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"kadhala-kadhala-1998","Kadhala Kadhala","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"dharma-yuddam-1979","Dharma Yuddam","wrong_hero_gender","high","{'current_hero':'Sridevi','heroine':'Sridevi','reason':'Hero name matches known female actress'}"
"dharma-yuddam-1979","Dharma Yuddam","hero_heroine_same","high","{'name':'Sridevi','reason':'Hero and heroine are identical'}"
"irandam-ulagam-2013","Irandam Ulagam","wrong_hero_gender","high","{'current_hero':'Anushka Shetty','heroine':'Anushka Shetty','reason':'Hero name matches known female actress'}"
"irandam-ulagam-2013","Irandam Ulagam","hero_heroine_same","high","{'name':'Anushka Shetty','reason':'Hero and heroine are identical'}"
"chokka-thangam-2003","Chokka Thangam","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':'Soundarya','reason':'Hero name matches known female actress'}"
"chokka-thangam-2003","Chokka Thangam","hero_heroine_same","high","{'name':'Soundarya','reason':'Hero and heroine are identical'}"
"best-supporting-actress-tamil-2002","Best Supporting Actress - Tamil","wrong_hero_gender","high","{'current_hero':'Soundarya','heroine':null,'reason':'Hero name matches known female actress'}"
