ID,Title (English),Title (Telugu),Year,Language,Quality,Hero,Heroine,Director,Music Director,Producer,Writer,Cinematographer,Editor,Our Rating,TMDB Rating,Has Poster,Poster URL,Genres,Duration (min),Synopsis,TMDB ID,IMDb ID,Slug,Created At,Issues/Notes
65a9226e-cc1a-41ac-a3cc-00e86c170478,"Zero","",2018,Telugu,Good,"Shah Rukh Khan","Anushka Sharma","Aanand L. Rai","Ajay Gogavale","Gauri Khan","Himanshu Sharma","Manu Anand","",,,YES,https://image.tmdb.org/t/p/w500/cOT85nsUOkD4p4RHlWAXg0YeQAd.jpg,"Romance, Drama, Comedy",,"A 2018 Telugu film directed by Aanand L. Rai.",496076,,zero-2018,2026-01-12,"No rating"
b1bd830d-41da-49e3-98f5-637f70ea26ec,"Chalakkudykkaran Changathy","",2018,Telugu,Good,"Senthil Krishna Rajamani","Honey Rose","Vinayan","Bijibal","","Vinayan","","",,,YES,https://image.tmdb.org/t/p/w500/jwM0vDetEnViy3iJq1lDbxzPhiO.jpg,"Drama",,"A 2018 Telugu film directed by Vinayan.",551240,tt7269374,chalakkudykkaran-changathy-2018,2026-01-11,"No rating"
0be0152e-9643-4ae5-ae2d-980d57d706d4,"Golmaal Again","",2017,Telugu,Good,"Ajay Devgn","","Rohit Shetty","S. Thaman","Ajay Devgn","Yunus Sajawal","Jomon T. John","",,,YES,https://image.tmdb.org/t/p/w500/kGx26PL1v658T8XbOk5MfmNpHU3.jpg,"Comedy, Horror, Action, Fantasy",,"A 2017 Telugu film directed by Rohit Shetty.",472123,,golmaal-again-2017,2026-01-12,"No rating; No heroine"
d45166d6-8c93-455a-b425-6ee67a496ecb,"Sardar Gabbar Singh","",2016,Telugu,Good,"Pawan Kalyan","Kajal Aggarwal","Bobby Kolli","Devi Sri Prasad","Sunil Lulla","Pawan Kalyan","Arthur Wilson","",,,YES,https://image.tmdb.org/t/p/w500/3auYD4ZYKDa3bCvEKzihzHunOMU.jpg,"Comedy, Action",,"A 2016 Telugu film directed by Bobby Kolli.",371811,tt4545630,sardar-gabbar-singh-2016,2026-01-12,"No rating"
ab596a0e-d9ff-46a3-ae11-370a6db4e6aa,"Sowkarpettai","",2015,Telugu,Good,"Srikanth","Raai Laxmi","V. C. Vadivudaiyan","John Peter","John Max","V. C. Vadivudaiyan","S. Sreenivasa Reddy","",,,YES,https://upload.wikimedia.org/wikipedia/en/7/7a/Sowkarpettai.jpg,"Comedy, Drama, Horror, Romance",,"",369819,tt5543488,sowkarpettai-2015,2026-01-12,"No rating"
decd57fe-3ad2-44c8-be73-a5c8c8e81e63,"1st IIFA Utsavam","",2015,Telugu,Good,"Jeff Bowser","Elaine Kao","James Huang","","","James Huang","","",,,YES,https://image.tmdb.org/t/p/w500/4azvBlEydUcjs3CJFlr5YUlcr87.jpg,"Comedy, Romance",,"A 2015 Telugu film starring Pawan Kalyan.",1177889,,1st-iifa-utsavam-2015,2026-01-12,"No rating; No music director"
2db6f71f-6f45-4df2-bd58-1aff5d1df1f8,"Dagudumoota Dandakore","దాగుడుమూత దండాకోర్",2015,Telugu,Good,"","","R. K. Malineni","","","","","",,,YES,https://upload.wikimedia.org/wikipedia/en/1/12/Dagudumootha_Dandakor.jpg,"Drama",,"",,tt4718750,dagudumoota-dandakore-2015,2026-01-12,"No hero; No rating; No heroine; No music director"
2439ac04-c48d-4d3b-87d7-804fcbbb21f8,"Humshakals","",2014,Telugu,Good,"Saif Ali Khan","","Sajid Khan","Himesh Reshammiya","Vivek Bhatnagar","Robin Bhatt","Manoj Soni","",,,YES,https://image.tmdb.org/t/p/w500/jl2BKSOuCH5g1a6Yt4FmbOujEe7.jpg,"Comedy",,"A 2014 Telugu film directed by Sajid Khan.",273505,tt3036740,humshakals-2014,2026-01-12,"No rating; No heroine"
3c75834e-81a2-4a51-ad71-53290b5aa59d,"Nimirndhu Nil","",2014,Telugu,Good,"Ravi Mohan","Amala Paul","Samuthirakani","G. V. Prakash Kumar","K. S. Sivaraman","Samuthirakani","M. Sukumar","",,,YES,https://image.tmdb.org/t/p/w500/w2wWBgLGhPYEhjM1pYf5geDZ889.jpg,"Action, Thriller",,"A 2014 Telugu film directed by Samuthirakani.",259282,,nimirndhu-nil-2014,2026-01-12,"No rating"
48cd41ce-bdab-4e2e-b69c-908da6dbc187,"Entertainment","",2014,Telugu,Good,"Kinzō Sakura","","Kanta Tagawa","","","","","",,,YES,https://image.tmdb.org/t/p/w500/oNZtK4dnwA4EqBxRpI2WUM3ajCe.jpg,"Horror",,"A 2014 Telugu film directed by Kanta Tagawa.",1432531,tt2978626,entertainment-2014,2026-01-12,"No rating; No heroine; No music director"
eabaebd6-9714-48d9-9533-af0431bcab0d,"Exploring ''Shiva'' Movie After 25 Years","",2014,Telugu,Good,"Ram Gopal Varma","Amala Akkineni","","","","","","",,,YES,https://image.tmdb.org/t/p/w500/viS57w24SLJWUX2qMmKyG1mMpuu.jpg,"Documentary",,"A 2014 Telugu film starring Akkineni Nagarjuna and Amala Akkineni.",1328515,,exploring-shiva-movie-after-25-years-2014,2026-01-12,"No director; No rating; No music director"
