Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
atithi-devobhava-2022,"Atithi Devobhava",,2022,"Aadi Saikumar","Nuveksha","Polimera Nageshwar"
the-american-dream-2022,"The American Dream",,2022,"Prince Cecil","Neha Krishna","Vighnesh Koushik"
10th-class-diaries-2022,"10th Class Diaries",,2022,"Srikanth","Avika Gor","Anji Sreenu Yarajala"
kotha-kothaga-2022,"Kotha Kothaga",,2022,"Pavan Tej Konidela","Virti Vaghani","Hanumaan Vasamsetty"
like-share-and-subscribe-2022,"Like Share & Subscribe",,2022,"Santosh Shoban","Faria Abdullah","Merlapaka Gandhi"
sebastian-pc-524-2022,"Sebastian P.c. 524",,2022,"Kiran Abbavaram","Nuveksha","Balaji Sayyapureddy"
valliddari-madhya-2022,"Valliddari Madhya",,2022,"Viraj Ashwin","Neha Krishna","V. N. Aditya"
godse-2022,"Godse",,2022,"Satyadev Kancharana","Aishwarya Lekshmi","Gopi Ganesh"
hit-the-2nd-case-2022,"HIT: The 2nd Case",,2022,"Adivi Sesh","Meenakshi Chaudhary","Sailesh Kolanu"
mishan-impossible-2022,"Mishan Impossible",,2022,"Harsh Roshan","Taapsee Pannu","Swaroop RSJ"
induvadana-2022,"Induvadana",,2022,"Varun Sandesh","Farnaz Shetty","M. Srinivasa Raju"
chor-bazaar-2022,"Chor Bazaar",,2022,"Akash Puri","Gehna Sippy","Jeevan Reddy"
son-of-india-2022,"Son of India",,2022,"Mohan Babu","Srikanth","Diamond Ratnababu"
saakini-daakini-2022,"Saakini Daakini",,2022,"RJ Hemant","Regina Cassandra","Sudheer Varma"
sasanasabha-2022,"Sasanasabha",,2022,"Indrasena","Aishwarya Raj Bhakuni","Venu Mandikanti"
leharaayi-2022,"Leharaayi",,2022,"Ranjith Sommi","Sowmya Menon","Ramakrishna Paramhamsa"
masooda-2022,"Masooda",,2022,"Thiruveer Reddy","Sangeetha Krish","Sai Kiran"
korameenu-2022,"Korameenu",,2022,"Shatru","Kishori Dhatrak","Sripathy Karri"
mukhachitram-2022,"Mukhachitram",,2022,"Vikas Vashishta","Priya Vadlamani","Gangadhar"
balamevvadu-2022,"Balamevvadu",,2022,"Babloo Prithiveeraj","Suhasini Maniratnam","Satya Rachakonda"
rowdy-boys-2022,"Rowdy Boys",,2022,"Ashish Reddy","Anupama Parameswaran","Sree Harsha Konuganti"
dongalunnaru-jagratha-2022,"Dongalunnaru Jagratha",,2022,"Sri Simha","Preethi Asrani","Sathish Tripura"
raajahyogam-2022,"Raajahyogam",,2022,"Sai Ronak","Ankita Saha","Ram Ganpati Rao"
sammathame-2022,"Sammathame",,2022,"Kiran Abbavaram","Chandini Chowdary","Gopinath Reddy"
69-samskar-colony-2022,"#69 Samskar Colony",,2022,"Ester Noronha","Rishwi Thimmaraju","Sunil Kumar Reddy"
pellikuturu-party-2022,"Pellikuturu Party",,2022,"Prince Cecil","Aneesha Dama","Aparna Malladi"
one-by-two-2022,"One By Two",,2022,"Sai Kumar","Sri Pallavi","Siva Eturi"
gandharwa-2022,"Gandharwa",,2022,"Sandeep Madhav","Gayathri Suresh","Apsar Hussain"
ranasthali-2022,"Ranasthali",,2022,"Neela Madhava Dharma","Ammu Abhirami","Parasuram Srinivas"
7-days-6-nights-2022,"7 Days 6 Nights",,2022,"Sumanth Ashwin","Meher Chahal","M.S. Raju"
sehari-2022,"Sehari",,2022,"Abhinav Gomatam","Simran Choudhary","Gnanasagar Dwaraka"
ginna-2022,"Ginna",,2022,"Vishnu Manchu","Payal Rajput","Eeshaan Surya"
konda-2022,"Konda",,2022,"Thrigun","Tulasi","Ram Gopal Varma"
first-day-first-show-2022,"First Day First Show",,2022,"Srikanth Reddy","Sanchita Bashu","Vamshidhar Kosgi Goud"
butterfly-2022,"Butterfly",,2022,"Charles Skeeta Jenkins","Melanie Elise","Emy Jay"
happy-birthday-2022,"Happy Birthday",,2022,"Soorya Dayaruwan","Dilhani Ekanayake","Aruna Jayawardana"
abhimanyu-2022,"Nikamma",,2022,"Abhimanyu Dassani","Shirley Setia","Sabbir Khan"
jetty-2022,"Jetty",,2022,"Maanyam Krishnaa","Nandita Swetha","Subrahmanyam Pitchuka"
macherla-niyojakavargam-2022,"Macherla Niyojakavargam",,2022,"Nithiin","Krithi Shetty","S. R. Sekhar"
ramarao-on-duty-2022,"Ramarao on Duty",,2022,"Ravi Teja","Divyansha Kaushik","Sarath Mandava"
ori-devuda-2022,"Ori Devuda..!",,2022,"Vishwak Sen","Mithila Palkar","Ashwath Marimuthu"
pratibimbalu-2022,"Pratibimbalu",,2022,"Akkineni Nageswara Rao","Jayasudha","K. S. Prakash Rao"
monster-2022,"Monster",,2022,"Mohanlal","Lakshmi Manchu","Vysakh"
aakasha-veedhullo-2022,"Aakasha Veedhullo",,2022,"Srikanth Iyengar","Harshita Gaur","Gautham Krishna.D"
focus-2022,"Focus",,2022,"Bhanuchander","Suhasini Maniratnam","Surya Teja"
anukoni-prayanam-2022,"Anukoni Prayanam",,2022,"Rajendra Prasad","Tulasi","Venkatesh Pediredla"
bommala-koluvu-2022,"Bommala Koluvu",,2022,"Hrishikesh","Priyanka Sharma","Subbu Vedula"
ante-sundaraniki-2022,"Ante... Sundaraniki!",,2022,"Nani","Nazriya Nazim","Vivek Athreya"
kothala-rayudu-2022,"Kothala Rayudu",,2022,"Srikanth","Natasha Doshi","Sudheer Raju"
shekar-2022,"Shekar",,2022,"Dr. Rajasekhar","Athmeeya Rajan","Jeevitha"
