Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
pakka-commercial-2022,"Pakka Commercial",,2022,"Gopichand","Raashii Khanna","Maruthi Dasari"
sivudu-2022,"Sivudu",,2022,"Aadhi Pinisetty","Nikki Galrani","Suseenthiran"
nenu-co-nuvvu-2022,"Nenu C/o Nuvvu",,2022,"Rathna Kishore","Sanya Sinha","Saga Reddy Thumma"
tees-maar-khan-2022,"Tees Maar Khan",,2022,"Aadi Saikumar","Payal Rajput","Kalyanji Gogana"
itlu-maredumilli-prajaneekam-2022,"Itlu Maredumilli Prajaneekam",,2022,"Allari Naresh","Anandhi","A. R. Mohan"
cheppalani-undhi-2022,"Cheppalani Undhi",,2022,"Satya","Stefy Patel","Arun Bharathi"
thaggedhe-le-2022,"Thaggedhe Le",,2022,"Naveen Chandra","Divya Pillai","Srinivasa Raju"
bomma-blockbuster-2022,"Bomma Blockbuster",,2022,"Nandu Vijay Krishna","Rashmi Gautham","Raj Virat"
neetho-2022,"Neetho",,2022,"Aberaam Varma","Saathvika Raj","Balu Sharma"
gangster-gangaraju-2022,"Gangster Gangaraju",,2022,"Charandeep","Vedieka Dutt","Eeshaan Surya"
iravatham-2022,"Iravatham",,2022,"Raja Ravindra","Tanvi Negi","Suhaas Meera"
wanted-pandugod-2022,"Wanted PanduGod",,2022,"Sunil Varma","Anasuya Bharadwaj","Sridhar Seepana"
odela-railway-station-2022,"Odela Railway Station",,2022,"Hebah Patel","Sai Ronak","Ashok Teja"
super-machi-2022,"Super Machi",,2022,"Kalyaan Dhev","Rachita Ram","Puli Vasu"
niku-naku-pellanta-tom-tom-tom-2022,"Niku Naku Pellanta Tom Tom Tom",,2022,"Inturi Vasu","Sanjana Anne","Manikanta Thalluri"
3e-2022,"3e",,2022,"Tribuvan Reddy","Lavanya","Vishwanath Batchu"
aa-ammayi-gurinchi-meeku-cheppali-2022,"Aa Ammayi Gurinchi Meeku Cheppali",,2022,"Sudheer Babu","Krithi Shetty","Mohana Krishna Indraganti"
aadavaallu-meeku-johaarlu-2022,"Aadavaallu Meeku Johaarlu",,2022,"Sharwanand","Rashmika Mandanna","Kishore Tirumala"
kinnerasani-2022,"Kinnerasani",,2022,"Kalyaan Dhev","Ann Sheetal","Ramana Teja"
crazy-fellow-2022,"Crazy Fellow",,2022,"Aadi Saikumar","Digangana Suryavanshi","Phani Krishna Siriki"
repeat-2022,"Repeat",,2022,"Naveen Chandra","Smruthi Venkat","Arvindh Srinivasan"
seetharamapuramlo-2022,"Seetharamapuramlo",,2022,"Ranadheer Beesu","Nandini Yellareddi","M. Vinay Babu"
oke-oka-jeevitham-2022,"Oke Oka Jeevitham",,2022,"Sharwanand","Amala Akkineni","Shree Karthick"
nenu-meeku-baaga-kavalsinavaadini-2022,"Nenu Meeku Baaga Kavalsinavaadini",,2022,"Kiran Abbavaram","Sanjana Anand","Sridhar Gade"
geetha-2022,"Geetha",,2022,"Ram Karthik","Hebah Patel","Vishwa R. Rao"
hero-2022,"Hero",,2022,"Jagapathi Babu","Nidhhi Agerwal","Sriram Adittya"
coffee-with-kadhal-2022,"Coffee With Kadhal",,2022,"Srikanth","Malavika Sharma","Sundar C"
