Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
priyuraalu-2021,"Priyuraalu",,2021,"Prithvi Medavaram","Kamakshi Bhaskarla","Ramaraju"
cauliflower-2021,"Cauliflower",,2021,"Sampoornesh Babu","Vasanthi Krishnan","R. K. Malineni"
nootokka-jillala-andagadu-2021,"Nootokka Jillala Andagadu",,2021,"Srinivas Avasarala","Ruhani Sharma","Rachakonda Vidya Sagar"
uppena-2021,"Uppena",,2021,"Panja Vaisshnav Tej","Krithi Shetty","Buchi Babu Sana"
raja-raja-chora-2021,"Raja Raja Chora",,2021,"Sree Vishnu","Megha Akash","Hasith Goli"
1997-2021,"1997",,2021,"Dr. Mohan","Sandhyarani Ravupalli","Dr. Mohan"
ee-kathalo-paathralu-kalpitam-2021,"Ee Kathalo Paathralu Kalpitam",,2021,"Pavan Tej Konidela","I Dream Anjali","M. Abhiram"
super-over-2021,"Super Over",,2021,"Naveen Chandra","Chandini Chowdary","Praveen Varma"
ichata-vahanamulu-nilupa-radu-2021,"Ichata Vahanamulu Nilupa Radu",,2021,"Sushanth","Meenakshi Chaudhary","S Darshan"
thimmarusu-2021,"Thimmarusu",,2021,"Satyadev Kancharana","Priyanka Jawalkar","Sharan Koppisetty"
gudaputani-2021,"Gudaputani",,2021,"Sapthagiri","Neha Solanki","KM Kumar"
naandhi-2021,"Naandhi",,2021,"Allari Naresh","Varalaxmi Sarathkumar","Vijay Kanakamedala"
shaadi-mubarak-2021,"Shaadi Mubarak",,2021,"RJ Hemant","Drishya Raghunath","Padmasri"
ishq-2021,"Ishq",,2021,"Teja Sajja","Priya Prakash Varrier","S.S. Raju"
mad-2021,"Mad",,2021,"Rajath Raghav","Spandana Palli","Laxman Meneni"
g-zombie-2021,"G-zombie",,2021,"Aryan Gowra","No Female Lead","Aryan Gowra"
ippudu-kaaka-inkeppudu-2021,"Ippudu Kaaka Inkeppudu",,2021,"Hasavanth Vanga","Nuveksha","Y. Yugandhar"
sr-kalyanamandapam-2021,"Sr Kalyanamandapam",,2021,"Kiran Abbavaram","Priyanka Jawalkar","Sridhar Gade"
natyam-2021,"Natyam",,2021,"Sandhya Raju","Sandhya Raju","Revanth Korukonda"
mail-2021,"Mail",,2021,"Priyadarshi Pullikonda","Sri Gouri Priya Reddy","Uday Gurrala"
raja-vikramarka-2021,"Raja Vikramarka",,2021,"Kartikeya Gummakonda","Tanya Ravichandran","Sri Saripalli"
bro-2021,"#Bro",,2021,"Naveen Chandra","Avika Gor","Karthik Thupurani"
power-play-2021,"Power Play",,2021,"Raj Tarun","Hemal ingle","Vijay Kumar Konda"
gully-rowdy-2021,"Gully Rowdy",,2021,"Sundeep Kishan","Neha Shetty","G. Nageswara Reddy"
30-rojullo-preminchadam-ela-2021,"30 Rojullo Preminchadam Ela?",,2021,"Pradeep Machiraju","Amritha Aiyer","Dhulipudi Phani Pradeep"
paagal-2021,"Paagal",,2021,"Vishwak Sen","Nivetha Pethuraj","Naresh Kuppili"
aaradugula-bullet-2021,"Aaradugula Bullet",,2021,"Gopichand","Nayanthara","B. Gopal"
lakshya-2021,"Lakshya",,2021,"Naga Shaurya","Ketika Sharma","Santosh Jagarlapudi"
senapathi-2021,"Senapathi",,2021,"Rajendra Prasad","Gnaneswari Kandregula","Pavan Sadineni"
ardha-shathabdham-2021,"Ardha Shathabdham",,2021,"Karthik Rathnam","Pavitra Lokesh","Rawindra Pulle"
zombie-reddy-2021,"Zombie Reddy",,2021,"Teja Sajja","Anandhi","Prasanth Varma"
vivaha-bhojanambu-2021,"Vivaha Bhojanambu",,2021,"Satya","Aarjavee","Ram Abbaraju"
check-2021,"Check",,2021,"Nithiin","Rakul Preet Singh","Chandra Sekhar Yeleti"
ram-asur-2021,"Ram Asur",,2021,"Abhinav Sardar","Chandhini Tamilarasan","Triparna Venkatesh"
cycle-2021,"Cycle",,2021,"Mahat Raghavendra","Punarnavi Bhupalam","Arjun Reddy"
asalem-jarigindi-2021,"Asalem Jarigindi",,2021,"Srikanth","Sanchita Padukone","Nuleti Veera Raghava"
thank-you-brother-2021,"Thank You Brother!",,2021,"Viraj Ashwin","Anasuya Bharadwaj","Ramesh Raparthi"
savitri-wo-satyamurthy-2021,"Savitri W/o Satyamurthy",,2021,"Parvateesam","Srilakshmi","Chaithanya Konda"
merise-merise-2021,"Merise Merise",,2021,"Dinesh Tej","Shweta Avasthi","Pawan Kumar Kothuri"
madhura-wines-2021,"Madhura Wines",,2021,"Sunny Naveen","Seema Chowdary","B. Jaya Kishore"
kanabadutaledu-2021,"Kanabadutaledu",,2021,"Sunil Varma","Vaishali Raj","BalaRaju M"
crrush-2021,"Crrush",,2021,"Abhay Simha","Krishna Madhuri","Subash"
chalo-premiddam-2021,"Chalo Premiddam",,2021,"Sai Ronak","Neha Solanki","Suresh Seker Repale"
guduputani-2021,"Guduputani",,2021,"Saptagiri","Neha Solanki","K. M. Kumar"
adbhutham-2021,"Adbhutham",,2021,"Teja Sajja","Shivani Rajashekar","Mallik Ram"
lawyer-viswanath-2021,"Lawyer Viswanath",,2021,"Ali Basha","Niya Sankranthil","Bala Nageswara Rao Varada"
ninnila-ninnila-2021,"Ninnila Ninnila",,2021,"Ashok Selvan","Ritu Varma","Ani I. V. Sasi"
manchi-rojulochaie-2021,"Manchi Rojulochaie",,2021,"Santosh Shoban","Mehreen Pirzada","Maruthi Dasari"
missing-2021,"Missing",,2021,"Harsha Narra","Nikkesha Rangwala","Srini Josyula"
kshana-kshanam-2021,"Kshana Kshanam",,2021,"Uday Shankar","Jia Sharma","Karthik Medikonda"
