Slug	Title (English)	Title (Telugu)	Release Year	Hero	Heroine	Director
lakshman-k-krishna-2022	Swathimuthyam		2022	Sithara Entertainments	Rashmika Mandanna	Lakshman K Krishna
plan-a-plan-b-2022	Plan A Plan B		2022	Riteish Deshmukh	Tamannaah Bhatia	Shashanka Ghosh
jagamemaya-2022	Jagamemaya		2022	Babloo Prithiveeraj	Dhanya Balakrishna	Sunil Puppala
mangalyam-2022	Mangalyam		2022	Rohit	No Female Lead	Rasool Ellore
happy-birthday-2022	Happy Birthday		2022	Soorya Dayaruwan	Dilhani Ekanayake	Aruna Jayawardana
abhimanyu-2022	Nikamma		2022	Abhimanyu Dassani	Shirley Setia	Sabbir Khan
pratibimbalu-2022	Pratibimbalu		2022	Akkineni Nageswara Rao	Jayasudha	K. S. Prakash Rao
thathsama-thathbhava-2023	Thathsama Thathbhava		2023	Prajwal Devaraj	Meghana Raj	Vishal Saketh
salaar-part-2-shouryanga-parvam-2023	Salaar: Part 2 – Shouryanga Parvam		2023			Prashanth Neel
ranger-2026	Ranger		2026	Ajay Devgn	Tamannaah Bhatia	Jagan Shakti
lenin-tba	Lenin		2026	Akhil Akkineni	Bhagyashri Borse	Murali Kishor Abburu
o-romeo-2026	O'Romeo		2026	Shahid Kapoor	Triptii Dimri	Vishal Bhardwaj
