Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
brahmmavaram-p-s-paridhilo-2024,"Brahmmavaram P.S. Paridhilo",,2024,"Surya Srinivas","Sravanthi Bellamkonda","Imran Sastry"
buddy-2024,"Buddy",,2024,"Allu Sirish","Gayatri Bhardwaj","Sam Anton"
theppa-samudram-2024,"Theppa Samudram",,2024,"P. Ravi Shankar","Kishori Dhatrak","Sateesh Rapolu"
bhoothaddam-bhaskar-narayana-2024,"Bhoothaddam Bhaskar Narayana",,2024,"Shiva Kandukuri","Raashi Singh","Purushotham Raaj"
satyabhama-2024,"Satyabhama",,2024,"Naveen Chandra","Kajal Aggarwal","Suman Chikkala"
anthima-theerpu-2024,"Anthima Theerpu",,2024,"Amit Kumar Tiwari","Sai Dhanshika","A. Abhiramu"
prasannavadanam-2024,"Prasannavadanam",,2024,"Suhas","Ruhani Sharma","Sukumar Bandreddi"
hanu-man-2024,"Hanu-man",,2024,"Teja Sajja","Amritha Aiyer","Prasanth Varma"
bhavanam-2024,"Bhavanam",,2024,"Ajay","Sneha Ullal","Balachary Kurella"
manamey-2024,"Manamey",,2024,"Sharwanand","Krithi Shetty","Sriram Adittya"
operation-raavan-2024,"Operation Raavan",,2024,"Rakshith Atluri","Sangeerthana Vipin","Venkata Satya"
