Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
kishore-kumar-2019,"Chitralahari",,2019,"Sai Dharam Tej","Kalyani Priyadarshan","Kishore Tirumala"
118-2019,"118",,2019,"Nandamuri Kalyan Ram","Nivetha Thomas","K. V. Guhan"
thupaki-ramudu-2019,"Thupaki Ramudu",,2019,"Bittiri Satti","Priya","T. Prabhakar"
bailampudi-2019,"Bailampudi",,2019,"Harish Vinay","Tanishq Rajan","Anil PG Raj"
dorasaani-2019,"Dorasaani",,2019,"Anand Deverakonda","Shivathmika","KVR Mahendra"
suryakantham-2019,"Suryakantham",,2019,"Rahul Vijay","Niharika Konidela","Pranith Bramandapally"
raju-gari-gadhi-3-2019,"Raju Gari Gadhi 3",,2019,"Ashwin Babu","Avika Gor","Ohmkar"
amma-rajyam-lo-kadapa-biddalu-2019,"Amma Rajyam Lo Kadapa Biddalu",,2019,"Ajmal Ameer","Swapna","Ram Gopal Varma"
dhrushti-2019,"Dhrushti",,2019,"Rahul Ravindran","Pavani Gangireddy","Ram Abbaraju"
guna-369-2019,"Guna 369",,2019,"Kartikeya Gummakonda","Anagha","Arjun Jandyala"
malli-malli-chusa-2019,"Malli Malli Chusa",,2019,"Ajay","Kairavi Thakkar","Hemanth Karthik"
jodi-2019,"Jodi",,2019,"Rana Jung Bahadur","Parminder Gill","Aditya Sood"
mallesham-2019,"Mallesham",,2019,"Priyadarshi Pullikonda","Jhansi","Raj Rachakonda"
arjun-suravaram-2019,"Arjun Suravaram",,2019,"Nikhil Siddhartha","Lavanya Tripathi","T. N. Santhosh"
kalki-2019,"Kalki",,2019,"Tovino Thomas","Samyuktha","Praveen Prabharam"
kousalya-krishnamurthy-2019,"Kousalya Krishnamurthy",,2019,"Rishab Shetty","Aishwarya Rajesh","Bhimaneni Srinivasa Rao"
brochevarevarura-2019,"Brochevarevarura",,2019,"Sree Vishnu","Nivetha Thomas","Vivek Athreya"
bilalpur-police-station-2019,"Bilalpur Police Station",,2019,"Maganti Srinath","Saanve Meghana","Naga Sai Makam"
kathanam-2019,"Kathanam",,2019,"Anasuya Bharadwaj","Dheekshitha","Prasad Rao K. Vasireddy"
heza-2019,"Heza",,2019,"Nutan Naidu","Mumaith Khan","Munna Kasi"
manmadhudu-2-2019,"Manmadhudu 2",,2019,"Akkineni Nagarjuna","Rakul Preet Singh","Rahul Ravindran"
yatra-2019,"Yatra",,2019,"Salon Basnet","Suhasini Maniratnam","Samrat Shakya"
kothaga-maa-prayanam-2019,"Kothaga Maa Prayanam",,2019,"Jeeva","Yamini Bhaskar","Ramana Mogili"
edaina-jaragocchu-2019,"Edaina Jaragocchu",,2019,"Bobby Simha","Sasha Singh","K. Ramkanth"
bhagya-nagara-veedhullo-gammathu-2019,"Bhagya Nagara Veedhullo Gammathu",,2019,"Srinivasa Reddy","Dollysha","Srinivasa Reddy"
agent-sai-srinivasa-athreya-2019,"Agent Sai Srinivasa Athreya",,2019,"Naveen Polishetty","Shruti Sharma","Swaroop RSJ"
nivaasi-2019,"Nivaasi",,2019,"Varun Sandesh","Tejaswini","Vijay Kiran"
tenali-ramakrishna-babl-2019,"Tenali Ramakrishna BA.BL",,2019,"Sundeep Kishan","Hansika Motwani","G. Nageswara Reddy"
vinara-sodara-veera-kumara-2019,"Vinara Sodara Veera Kumara",,2019,"Srinivasa Sayee","Priyanka Jain","Sateesh Chandra Nadella"
kobbari-matta-2019,"Kobbari Matta",,2019,"Sampoornesh Babu","Shraddha Das","Sai Rajesh Neelam"
vishwamitra-2019,"Vishwamitra",,2019,"Nandita Raj","Nandita Raj","Raajkiran"
ntr-kathanayakudu-2019,"N.T.R: Kathanayakudu",,2019,"Nandamuri Balakrishna","Vidya Balan","Krish Jagarlamudi"
ntr-mahanayakudu-2019,"N.t.r: Mahanayakudu",,2019,"Nandamuri Balakrishna","Vidya Balan","Krish Jagarlamudi"
tenali-ramakrishna-ba-bl-2019,"Tenali Ramakrishna BA. BL",,2019,"Sundeep Kishan","Hansika Motwani","G. Nageswara Reddy"
kanne-kalaimaane-2019,"Kanne Kalaimaane",,2019,"Tamannaah Bhatia","Tamannaah Bhatia","Seenu Ramasamy"
police-officer-2019,"Police officer",,2019,"Manchu Manoj","Isamu Kosugi","Ramesh Varma"
khamoshi-2019,"Khamoshi",,2019,"Tamannaah Bhatia","Tamannaah Bhatia","Chakri Toleti"
jack-daniel-2019,"Jack & Daniel",,2019,"Dileep","Anju Kurian","S.L Puram Jayasurya"
petromax-2019,"Petromax",,2019,"Tamannaah Bhatia","Tamannaah Bhatia","Rohin Venkatesan"
praana-2019,"Praana",,2019,"Nani","Nithya Menen","V. K. Prakash"
marshal-2019,"Marshal",,2019,"Srikanth","Megha Chowdhury","Jai Raaja Singh"
ismart-shankar-2019,"Ismart Shankar",,2019,"Ram Pothineni","Nidhhi Agerwal","Puri Jagannadh"
ranarangam-2019,"Ranarangam",,2019,"Sharwanand","Kalyani Priyadarshan","Sudheer Varma"
yedu-chepala-kadha-2019,"Yedu Chepala Kadha",,2019,"Abhishek Reddy","No Female Lead","Sam J. Chaitanya"
sivaranjani-2019,"Sivaranjani",,2019,"Nandu Vijay Krishna","Rashmi Gautham","Naaga Prabhakar"
chikati-gadilo-chithakotudu-2019,"Chikati Gadilo Chithakotudu",,2019,"Thrigun","Nikki Tamboli","Santhosh P. Jayakumar"
