Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
kirrak-party-2018,"Kirrak Party",,2018,"Nikhil Siddhartha","Simran Pareenja","Sharan Koppisetty"
jamba-lakidi-pamba-2018,"Jamba Lakidi Pamba",,2018,"Srinivasa Reddy","Siddhi Idnani","J.B. Murali Krishna"
taxiwala-2018,"Taxiwala",,2018,"Vijay Deverakonda","Priyanka Jawalkar","Rahul Sankrityan"
manu-2018,"Manu",,2018,"Raja Goutham","Chandini Chowdary","Emmanuelle Bonmariage"
padi-padi-leche-manasu-2018,"Padi Padi Leche Manasu",,2018,"Sharwanand","Sai Pallavi","Hanu Raghavapudi"
kanam-2018,"Kanam",,2018,"Naga Shourya","Sai Pallavi","A.L. Vijay"
saakshyam-2018,"Saakshyam",,2018,"Rao Ramesh","Ravi Kishan","Sriwass"
rx-100-2018,"RX 100",,2018,"Kartikeya Gummakonda","Payal Rajput","Ajay Bhupathi"
shailaja-reddy-alludu-2018,"Shailaja Reddy Alludu",,2018,"Naga Chaitanya Akkineni","Anu Emmanuel","Maruthi Dasari"
co-kancharapalem-2018,"C/o Kancharapalem",,2018,"Kancharapalem Raju","Nitya Sri","Venkatesh Maha"
ammammagarillu-2018,"Ammammagarillu",,2018,"Naga Shaurya","Shamili","Sundar Surya"
rangu-2018,"Rangu",,2018,"Tanish","Priya Singh","Karthikeya V."
karma-kartha-kriya-2018,"Karma Kartha Kriya",,2018,"Vasant Sameer","Sahar Afsha","Nagu Gawara"
ego-2018,"Ego",,2018,"Ashish Vidhyarthi,  Aashish Raj","Simran Choudhary, Diksha Panth","Ravikumar Chakravarthy, Subbu Vedula"
ishtangaa-2018,"Ishtangaa",,2018,"Arjun Reddy","Tanishq Rajan","Rajiv Kanakala"
adhugo-2018,"Adhugo",,2018,"Ravi Babu","Nabha Natesh","Ravi Babu"
moodu-puvulu-aaru-kayalu-2018,"Moodu Puvulu Aaru Kayalu",,2018,"Arjun Yagith","Nikita","Ramaswamy"
bluff-master-2018,"Bluff Master",,2018,"Satyadev","Nandita Swetha","Gopi Ganesh"
goodachari-2018,"Goodachari",,2018,"Adivi Sesh","Supriya Yarlagadda","Sashi Kiran Tikka"
pantham-2018,"Pantham",,2018,"Gopichand","Mehreen Pirzada","K. Chakravarthy Reddy"
24-kisses-2018,"24 Kisses",,2018,"Thrigun","Hebah Patel","Ayodhyakumar Krishnamsetty"
idi-naa-love-story-2018,"Idi Naa Love Story",,2018,"Tarun","Oviya Helen","Gopi Krisna"
ee-maaya-peremito-2018,"Ee Maaya Peremito",,2018,"Rahul Vijay","Kavya Thapar","Ramu Koppula"
howrah-bridge-2018,"Howrah Bridge",,2018,"Rahul Ravindran","Manali Rathod","Revan Yadhu"
lover-2018,"Lover",,2018,"Raj Tarun","Riddhi Kumar","Annish Krishna"
mla-2018,"MLA",,2018,"Nandamuri Kalyan Ram","Kajal Aggarwal","Upendra Madhav"
ye-mantram-vesave-2018,"Ye Mantram Vesave",,2018,"Sridhar Marri","debutante Shivaani Singh","Ye Mantram Vesave"
sameeram-2018,"Sameeram",,2018,"Varun","Priyaa Lal","Akram Khan"
enduko-emo-2018,"Enduko Emo",,2018,"Nandu Vijay Krishna","Punarnavi Bhupalam","Koti Vaddineni"
chalo-2018,"Chalo",,2018,"Naga Shaurya","Raghu Babu","Mangesh Hadawale"
natakam-2018,"Natakam",,2018,"Ashish Gandhi","Ashima Narwal","Kalyanji Gogana"
aatwaja-2018,"Aatwaja",,2018,"Shaheb Bhattacherjee","Jaya Prada","Atanu Bose"
aa-bb-kk-2018,"Aa Bb Kk",,2018,"Tamannaah Bhatia","Tamannaah Bhatia","Ramkumar Gorakhanath Shedge"
mom-2018,"Mom",,2018,"Sridevi","Catherine Frot","Ravi Udyawar"
maaya-2018,"Maaya",,2018,"Sushanth","Pridevi Raj","Neelakanta"
bhagmati-2018,"Bhagmati",,2018,"Jayaram","Anushka Shetty","Ashok G."
wo-ram-2018,"W/o Ram",,2018,"Srikanth","Lakshmi Manchu","Vijay Yelakanti"
manasuku-nachindi-2018,"Manasuku Nachindi",,2018,"Sundeep Kishan","Amyra Dastur","Manjula Ghattamaneni"
brand-babu-2018,"Brand Babu",,2018,"Sumanth Shailendra","Eesha Rebba","Prabhakar Podakandla"
keni-2018,"Keni",,2018,"Jaya Prada","R. Parthiban","M. A. Nishad"
my-dear-marthandam-2018,"My Dear Marthandam",,2018,"Prudhviraj","Rakendu Mouli","Harish K. V."
silly-fellows-2018,"Silly Fellows",,2018,"Allari Naresh","Chitra Shukla","Bhimaneni Srinivasa Rao"
tej-i-love-you-2018,"Tej... I Love You",,2018,"Sai Durgha Tej","Anupama Parameswaran","A. Karunakaran"
krishnarjuna-yudham-2018,"Krishnarjuna Yudham",,2018,"Nani","Anupama Parameswaran","Merlapaka Gandhi"
desamlo-dongalu-paddaru-2018,"Desamlo Dongalu Paddaru",,2018,"Ali Basha","Tanishq Rajan","Gouthama rajkumar"
kinar-2018,"Kinar",,2018,"Jaya Prada","Revathi","Mummy Century"
next-enti-2018,"Next Enti?",,2018,"Sundeep Kishan","Tamannaah Bhatia","Kunal Kohli"
sketch-2018,"Sketch",,2018,"Tamannaah Bhatia","Tamannaah Bhatia","Vijay Chandar"
awe-2018,"Awe!",,2018,"James Marsden","Jessica Biel","Prasanth Varma"
bhaagamathie-2018,"Bhaagamathie",,2018,"Anushka Shetty","Anushka Shetty","Ashok G."
