Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
krishna-vrinda-vihari-2022,"Krishna Vrinda Vihari",,2022,"Naga Shaurya","Shirley Setia","Annish Krishna"
ranga-ranga-vaibhavanga-2022,"Ranga Ranga Vaibhavanga",,2022,"Panja Vaisshnav Tej","Ketika Sharma","Gireeshaaya"
bujji-ila-raa-2022,"Bujji... Ila Raa",,2022,"Sunil Varma","Chandhini Tamilarasan","Anji Sreenu Yarajala"
good-luck-sakhi-2022,"Good Luck Sakhi",,2022,"Aadhi Pinisetty","Keerthy Suresh","Nagesh Kukunoor"
vishwak-2022,"Vishwak",,2022,"Ajay Kumar","No Female Lead","Venugopal"
panchatantra-kathalu-2022,"Panchatantra Kathalu",,2022,"Noel Sean","Nandini Rai","Shekar Ganganamoni"
viraata-parvam-2022,"Viraata Parvam",,2022,"Rana Daggubati","Sai Pallavi","Venu Udugula"
lakshman-k-krishna-2022,"Swathimuthyam",,2022,"Sithara Entertainments","Rashmika Mandanna","Lakshman K Krishna"
the-warriorr-2022,"The Warriorr",,2022,"Ram Pothineni","Krithi Shetty","N. Linguswamy"
kalapuram-2022,"Kalapuram",,2022,"Satyam Rajesh","No Female Lead","Karuna Kumar"
bhamakalapam-2022,"Bhamakalapam",,2022,"John Vijay","Priyamani","Abhimanyu Tadimeti"
alluri-2022,"Alluri",,2022,"Sree Vishnu","Kayadu Lohar","B S Pradeep Varma"
kerosene-2022,"Kerosene",,2022,"Dhruva","Preeti Singh","Dhruva"
nathicharami-2022,"Nathicharami",,2022,"Arvind Krishna","Poonam Kaur","Nagu Gavara"
commitment-2022,"Commitment",,2022,"Amit Kumar Tiwari","Tejaswi Madivada","Lakshmikanth Chenna"
shikaaru-2022,"Shikaaru",,2022,"Kishore","Sai Dhanshika","Hari Kolagani"
dj-tillu-2022,"DJ Tillu",,2022,"Siddhu Jonnalagadda","Neha Shetty","Vimal Krishna"
jayamma-panchayathi-2022,"Jayamma Panchayathi",,2022,"Devi Prasad","Suma Kanakala","Vijay Kumar Kalivarapu"
