Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
bombhaat-2020,"Bombhaat",,2020,"Sai Sushanth Reddy","Simran Choudhary","Raghavendra Varma Indukuri"
anukunnadhi-okkati-aynadhi-okkati-2020,"Anukunnadhi Okkati Aynadhi Okkati",,2020,"Madhunandan","Dhanya Balakrishna","Baalu Adusumilli"
amaram-akhilam-prema-2020,"Amaram Akhilam Prema",,2020,"Vijay Ram","Shivshakti Sachdev","Jonathan Edwards"
3-monkeys-2020,"3 Monkeys",,2020,"Getup Srinu","Karunya Chowdary","G Anil Kumar Raju"
thagite-thandana-2020,"Thagite Thandana",,2020,"Rakshit","Ananya","Shravan Kumar K."
middle-class-melodies-2020,"Middle Class Melodies",,2020,"Anand Deverakonda","Varsha Bollamma","Vinod Anantoju"
pressure-cooker-2020,"Pressure Cooker",,2020,"Sai Ronak","Preethi Asrani","Sujoi Karampuri"
palasa-1978-2020,"Palasa 1978",,2020,"Rakshith Atluri","Nakshatra","Karuna Kumar"
entha-manchivaadavuraa-2020,"Entha Manchivaadavuraa",,2020,"Nandamuri Kalyan Ram","Mehreen Pirzada","Satish Vegesna"
prema-pipasi-2020,"Prema Pipasi",,2020,"GPS","Kapila","Murali Ramaswamy"
bhanumathi-and-ramakrishna-2020,"Bhanumathi & Ramakrishna",,2020,"Naveen Chandra","Salony Luthra","Srikanth Nagothi"
run-2020,"Run",,2020,"Pat Healy","Sarah Paulson","Aneesh Chaganty"
dhira-2020,"Dhira",,2020,"Animated","No Female Lead","Arun Kumar Rapolu"
o-pitta-katha-2020,"O Pitta Katha",,2020,"Viswant Duddumpudi","Nitya Shetty","Chandu Muddu"
uma-maheswara-ugra-roopasya-2020,"Uma Maheswara Ugra Roopasya",,2020,"Satyadev Kancharana","Roopa Koduvayur","Venkatesh Maha"
choosi-choodangaane-2020,"Choosi Choodangaane",,2020,"Shiva Kandukuri","Varsha Bollamma","Sesha Sindhu Rao"
shiva-143-2020,"Shiva 143",,2020,"Sagar Sailesh","Yeisha Adaraha","Sagar Sailesh"
valayam-2020,"Valayam",,2020,"Kireeti Damaraju","Digangana Suryavanshi","Ramesh Kadumula"
savaari-2020,"Savaari",,2020,"Nandu Vijay Krishna","Priyanka Sharma","Saahith Mothkuri"
nishabdham-2020,"Nishabdham",,2020,"R. Madhavan","Anushka Shetty","Hemant Madhukar"
aswathama-2020,"Aswathama",,2020,"Naga Shaurya","Mehreen Pirzada","Ramana Teja"
guvva-gorinka-2020,"Guvva Gorinka",,2020,"Satyadev","Mehreen Pirzada","Mohana Krishna Indraganti"
bheeshma-2020,"Bheeshma",,2020,"Nithiin","Rashmika Mandanna","Venky Kudumula"
hit-the-first-case-2020,"Hit: the First Case",,2020,"Vishwak Sen","Ruhani Sharma","Sailesh Kolanu"
jaanu-2020,"Jaanu",,2020,"Sharwanand","Samantha","C. Prem Kumar"
cheema-prema-madhyalo-bhama-2020,"Cheema Prema Madhyalo Bhama",,2020,"Amit Kumar","Indu","Srikanth Appalaraju"
dubsmash-2020,"DubSmash",,2020,"Pavan Krishna","Supraja Koneti","Keshav Depur"
302-2020,"302",,2020,"Sree Varma","Deepti","Karthik"
neevalle-nenunna-2020,"Neevalle Nenunna",,2020,"Jabardasth Ramprasad","Sri Pallavi","M Saibaba"
madha-2020,"Madha",,2020,"Venkat Rahul","Trishna Mukherjee","Srividya Basawa"
nirbandham-2020,"Nirbandham",,2020,"Bandi Saroj Kumar","Meghana","Bandi Saroj Kumar"
dirty-hari-2020,"Dirty Hari",,2020,"Ruhani Sharma","Ruhani Sharma","M. S. Raju"
