Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
rudrangi-2023,"Rudrangi",,2023,"Jagapathi Babu","Mamta Mohandas","Ajay Samrat"
sridevi-shoban-babu-2023,"Sridevi Shoban Babu",,2023,"Santosh Shoban","Gouri G Kishan","Prashanth Kumar Dimmala"
manu-charitra-2023,"Manu Charitra",,2023,"Shiva Kandukuri","Megha Akash","Bharath Pedagani"
writer-padmabhushan-2023,"Writer Padmabhushan",,2023,"Suhas","Rohini","Shanmukha Prasanth"
kota-bommali-ps-2023,"Kota Bommali Ps",,2023,"Srikanth","Varalaxmi Sarathkumar","Teja Marni"
the-great-indian-suicide-2023,"The Great Indian Suicide",,2023,"Ram Karthik","Hebah Patel","Viplove Koneti"
mem-famous-2023,"Mem Famous",,2023,"Muralidhar Goud","Saarya Laxman","Sumanth Prabhas"
ala-ila-ela-2023,"Ala Ila Ela",,2023,"Shakthi Vasudevan","Shamna Kasim","Raghava Dwarki"
paruvu-2023,"Paruvu",,2023,"Naveen Chandra","Nivetha Pethuraj","Siddharth Naidu"
bhola-shankar-2023,"Bhola Shankar",,2023,"Chiranjeevi","Tamannaah","Meher Ramesh"
matti-katha-2023,"Matti Katha",,2023,"Dayanand Reddy","Maya","Pavan Kadiyala"
voice-of-sathyanathan-2023,"Voice of Sathyanathan",,2023,"Dileep","Veena Nandakumar","Raffi"
bandra-2023,"Bandra",,2023,"Dileep","Tamannaah Bhatia","Arun Gopy"
ranga-maarthaanda-2023,"Ranga Maarthaanda",,2023,"Prakash Raj","Ramya Krishna","Deva Katta"
ghosty-2023,"Ghosty",,2023,"Yogi Babu","Kajal Aggarwal","Kalyaan"
anveshi-2023,"Anveshi",,2023,"Vijay Dharan Datla","Simran Gupta, Ananya Nagalla","V. J. Khanna"
samajavaragamana-2023,"Samajavaragamana",,2023,"Sree Vishnu","Reba Monica John","Ram Abbaraju"
mr-kalyan-2023,"Mr. Kalyan",,2023,"Maanyam Krishnaa","Archana Ravi","Pandu"
bhari-taraganam-2023,"Bhari Taraganam",,2023,"Ali Basha","Rekha Nirosha","Shekhar Muthyala"
unstoppable-2023,"Unstoppable",,2023,"Vj Sunny","Nakshatra","Diamond Ratnababu"
dochevaarevarura-2023,"Dochevaarevarura",,2023,"Pranava Chandra","Malavika Satheesan","Siva Nageshwara Rao"
karna-2023,"Karna",,2023,"Alfredo Castro","Mónica Lairana","Juan Pablo Félix"
salaar-part-2-shouryanga-parvam-2023,"Salaar: Part 2 – Shouryanga Parvam",,2023,"","","Prashanth Neel"
richie-gadi-pelli-2023,"Richie Gadi Pelli",,2023,"S. K. Sathya","Chandana Raj","K. S. Hemraj"
pareshan-2023,"Pareshan",,2023,"Thiruveer Reddy","Pavani Karanam","Rupak Ronaldson"
o-kala-2023,"O Kala",,2023,"Ali Basha","Roshni Sahota","Deepak Kolipaka"
gandeevadhari-arjuna-2023,"Gandeevadhari Arjuna",,2023,"Varun Tej","Sakshi Vaidya","Praveen Sattaru"
hidimbha-2023,"Hidimbha",,2023,"Ashwin Babu","Nandita Swetha","Aneel Kanneganti"
keedaa-cola-2023,"Keedaa Cola",,2023,"Rag Mayur","No Female Lead","Tharun Bhascker"
echo-2023,"Echo",,2023,"Srikanth","Vidhya Pradeep","Nawin Ghanesh"
kannai-nambathe-2023,"Kannai Nambathe",,2023,"Udhayanidhi Stalin","Aathmika","Mu. Maran"
ashtadigbandhanam-2023,"Ashtadigbandhanam",,2023,"Surya Bharath Chandra","Vishika Kota","Baba PR"
devil-2023,"Devil",,2023,"David Dastmalchian","Laura Gordon","Cameron Cairnes"
organic-mama-hybrid-alludu-2023,"Organic Mama Hybrid Alludu",,2023,"Rajendra Prasad","Mirnalini Ravi","S. V. Krishna Reddy"
kisi-ka-bhai-kisi-ki-jaan-2023,"Kisi Ka Bhai... Kisi Ki Jaan",,2023,"Salman Khan","Pooja Hegde","Farhad Samji"
the-eye-2023,"The Eye",,2023,"Mark Rowley","Shruti Haasan","Daphne Schmon"
