Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
rangula-ratnam-2018,"Rangula Ratnam",,2018,"Raj Tarun","Chitra Shukla","Shree Ranjani"
neevevaro-2018,"Neevevaro",,2018,"Aadhi Pinisetty","Taapsee Pannu","Hari Nath"
sivakasipuram-2018,"Sivakasipuram",,2018,"Chammak Chandra","Priyanka Sharma","Santhosh Raj"
chalakkudykkaran-changathy-2018,"Chalakkudykkaran Changathy",,2018,"Senthil Krishna Rajamani","Honey Rose","Vinayan"
krishnarjuna-yuddham-2018,"Krishnarjuna Yuddham",,2018,"Nani","Anupama Parameswaran","Merlapaka Gandhi"
antariksham-9000-kmph-2018,"Antariksham 9000 Kmph",,2018,"Varun Tej","Aditi Rao Hydari","Sankalp Reddy"
needi-naadi-oke-katha-2018,"Needi Naadi Oke Katha",,2018,"Sree Vishnu","Satna Titus","Venu Udugula"
hushaaru-2018,"Hushaaru",,2018,"Tejus Kancherla","Daksha Nagarkar","Sree Harsha Konuganti"
hyderabad-love-story-2018,"Hyderabad Love Story",,2018,"Rahul Ravindran","Sija Rose","Satya"
gayatri-2018,"Gayatri",,2018,"Mohan Babu","Shriya Saran","Madan"
perfect-pati-2018,"Perfect Pati",,2018,"Garrett Wareing","Courtney Eaton","Eddie Alcazar"
devadas-2018,"Devadas",,2018,"Nani","Rashmika Mandanna","Sriram Adittya"
manchi-lakshanalunna-abbayi-2018,"Manchi Lakshanalunna Abbayi",,2018,"Nandamuri Kalyan Ram","Kajal Aggarwal","Upendra Madhav"
naa-nuvve-2018,"Naa Nuvve",,2018,"Nandamuri Kalyan Ram","Tamannaah Bhatia","Jayendra Panchapakesan"
bhale-manchi-chowka-beram-2018,"Bhale Manchi Chowka Beram",,2018,"Raja Ravindra","Yamini Bhaskar","Murali Krishna Mudidani"
srinivasa-kalyanam-2018,"Srinivasa Kalyanam",,2018,"Nitin","Jayasudha","Satish Vegesna"
sammohanam-2018,"Sammohanam",,2018,"Sudheer Babu","Aditi Rao Hydari","Mohana Krishna Indraganti"
ee-nagaraniki-emaindi-2018,"Ee Nagaraniki Emaindi?",,2018,"Vishwak Sen","Anisha Ambrose","Tharun Bhascker"
amoli-2018,"Amoli",,2018,"Rajkummar Rao","Vidya Balan","Jasmine Kaur Roy"
parichayam-2018,"Parichayam",,2018,"Virat Konduru","Simrat Kaur","Lakshman Karya"
anthervedam-2018,"Anthervedam",,2018,"Amar","Santoshini","Ravi Kishore Chandina"
naa-peru-surya-naa-illu-india-2018,"Naa Peru Surya - Naa Illu India",,2018,"Allu Arjun","Anu Emmanuel","Vakkantham Vamsi"
rachayitha-2018,"Rachayitha",,2018,"Jiddu Sriram","Sanchita Padukone","Vidya Sagar Raju"
sarabha-2018,"Sarabha",,2018,"Aakash Sehdev","Mishti Chakraborty","Narayan Nagendra Rao"
mehbooba-2018,"Mehbooba",,2018,"Akash Puri","Neha Shetty","Puri Jagannadh and starring his son"
hello-guru-prema-kosame-2018,"Hello Guru Prema Kosame",,2018,"Ram Pothineni","Anupama Parameswaran","Trinadha Rao Nakkina"
amar-akbar-anthony-2018,"Amar Akbar Anthony",,2018,"Ravi Teja","Ileana D'Cruz","Sreenu Vaitla"
