slug	name_en	occupation	wikipedia_url	twitter	instagram	facebook	official_website	status	notes
celeb-ileana-d-cruz	Ileana D'Cruz	actor	N/A					TODO	
celeb-j-d-chakravarthi	J. D. Chakravarthi	actor	N/A					TODO	
jaggayya	Jaggayya	actor	N/A					TODO	
jaishankar	Jaishankar	actor	N/A					TODO	
jamuna	Jamuna	actor	N/A					TODO	
celeb-janaki	Janaki	actor	N/A					TODO	
celeb-jayachitra	Jayachitra	actor	N/A					TODO	
celeb-jayalalitha	Jayalalitha	actor	N/A					TODO	
celeb-jayanthi	Jayanthi	actor	N/A					TODO	
celeb-jeeva	Jeeva	actor	N/A					TODO	
k-balachander	K. Balachander	actor, director	N/A					TODO	
celeb-k-viswanath	K. Viswanath	director, actor	N/A					TODO	
celeb-kalyani	Kalyani	actor	N/A					TODO	
kanchana	Kanchana	actor	N/A					TODO	
celeb-kanchanamala	Kanchanamala	actor	N/A					TODO	
kanta-rao	Kanta Rao	actor	N/A					TODO	
celeb-karthik	Karthik	actor	N/A					TODO	
celeb-kaveri	Kaveri	actor	N/A					TODO	
celeb-kavitha	Kavitha	actor	N/A					TODO	
celeb-kavya-thapar	Kavya Thapar	actor	N/A					TODO	
celeb-krishna	Krishna	actor, director, producer	N/A					TODO	
krishna-kumari	Krishna Kumari	actor	N/A					TODO	
krishnam-raju	Krishnam Raju	actor, director	N/A					TODO	
celeb-kriti-kharbanda	Kriti Kharbanda	actor	N/A					TODO	
celeb-lakshmi	Lakshmi	actor	N/A					TODO	
celeb-latha	Latha	actor	N/A					TODO	
celeb-madhavi	Madhavi	actor	N/A					TODO	
celeb-maheswari	Maheswari	actor	N/A					TODO	
celeb-malashri	Malashri	actor	N/A					TODO	
celeb-malavika-nair	Malavika Nair	actor	N/A					TODO	
manjula	Manjula	actor, director	N/A					TODO	
manjula-vijayakumar	Manjula Vijayakumar	actor	N/A					TODO	
medha-shankr	Medha Shankr	actor	https://en.wikipedia.org/wiki/Medha_Shankr					TODO	
celeb-meena	Meena	actor	N/A					TODO	
celeb-megha-akash	Megha Akash	actor	N/A					TODO	
celeb-b885ee4f	Mokksha	actor	https://en.wikipedia.org/wiki/Mokksha					TODO	
celeb-mumaith-khan	Mumaith Khan	actor	N/A					TODO	
celeb-muralidhar-goud	Muralidhar Goud	actor	N/A					TODO	
celeb-n-t-rama-rao	N.T. Rama Rao	actor, director, politician	N/A					TODO	
celeb-n-t-rama-rao-jr-	N.T. Rama Rao Jr.	actor, Actor	N/A					TODO	
celeb-nagma	Nagma	actor	N/A					TODO	
namrata-shirodkar	Namrata Shirodkar	actor	https://en.wikipedia.org/wiki/Namrata_Shirodkar					TODO	
celeb-nandamuri-kalyan-ram	Nandamuri Kalyan Ram	actor	N/A					TODO	
celeb-nandita-raj	Nandita Raj	actor	N/A					TODO	
celeb-nandu	Nandu	actor	N/A					TODO	
celeb-nandu-vijay-krishna	Nandu Vijay Krishna	actor	N/A					TODO	
celeb-naresh-agastya	Naresh Agastya	actor	N/A					TODO	
nayana	Nayana	actor	N/A					TODO	
nayanthara	Nayanthara	actor	https://en.wikipedia.org/wiki/Nayanthara					TODO	
celeb-neha-solanki	Neha Solanki	actor	N/A					TODO	
