slug	name_en	occupation	wikipedia_url	awards_found	status	notes
# BATCH 4: PROFILES 61-80 NEEDING AWARDS

celeb-sumanth	Sumanth	actor	https://en.wikipedia.org/wiki/Sumanth		PENDING	
celeb-puri-jagannadh	Puri Jagannadh	director	https://en.wikipedia.org/wiki/Puri_Jagannadh		PENDING	
celeb-gopichand	Gopichand	actor	https://en.wikipedia.org/wiki/Gopichand		PENDING	
celeb-e-v-v-satyanarayana	E.V.V. Satyanarayana	director	https://en.wikipedia.org/wiki/E.V.V._Satyanarayana		PENDING	
prabhas	Prabhas	Actor	https://en.wikipedia.org/wiki/Prabhas		PENDING	
celeb-samantha	Samantha	actress	https://en.wikipedia.org/wiki/Samantha		PENDING	
celeb-simran	Simran	actor	https://en.wikipedia.org/wiki/Simran		PENDING	
celeb-sneha	Sneha	actor	https://en.wikipedia.org/wiki/Sneha		PENDING	
sharada	Sharada	actor	https://en.wikipedia.org/wiki/Sharada		PENDING	
celeb-bhanupriya	Bhanupriya	actor	https://en.wikipedia.org/wiki/Bhanupriya		PENDING	
celeb-pawan-kalyan	Pawan Kalyan	actor	https://en.wikipedia.org/wiki/Pawan_Kalyan		PENDING	
celeb-rambha	Rambha	actor	https://en.wikipedia.org/wiki/Rambha		PENDING	
celeb-trisha-krishnan	Trisha Krishnan	actor	https://en.wikipedia.org/wiki/Trisha_Krishnan		PENDING	
celeb-adurthi-subba-rao	Adurthi Subba Rao	director	https://en.wikipedia.org/wiki/Adurthi_Subba_Rao		PENDING	
celeb-jandhyala	Jandhyala	director	https://en.wikipedia.org/wiki/Jandhyala		PENDING	
celeb-p-pullaiah	P. Pullaiah	director	https://en.wikipedia.org/wiki/P._Pullaiah		PENDING	
celeb-n-t-rama-rao-jr-	N.T. Rama Rao Jr.	actor	https://en.wikipedia.org/wiki/N.T._Rama_Rao_Jr.		PENDING	
celeb-b-gopal	B. Gopal	director	https://en.wikipedia.org/wiki/B._Gopal		PENDING	
celeb-singeetam-srinivasa-rao	Singeetam Srinivasa Rao	director	https://en.wikipedia.org/wiki/Singeetam_Srinivasa_Rao		PENDING	
celeb-jayalalitha	Jayalalitha	actor	https://en.wikipedia.org/wiki/Jayalalitha		PENDING	
