slug	name_en	occupation	wikipedia_url	parents	spouse	children	siblings	relatives	status	notes
celeb-chittor-v-nagaiah	Chittor V. Nagaiah	actor	N/A						TODO	
celeb-devika	Devika	actor	N/A						TODO	
celeb-divya-bharti	Divya Bharti	actor	N/A						TODO	
celeb-divya-vani	Divya Vani	actor	N/A						TODO	
celeb-dulquer-salmaan	Dulquer Salmaan	actor	N/A						TODO	
celeb-eesha-rebba	Eesha Rebba	actor	N/A						TODO	
celeb-faria-abdullah	Faria Abdullah	actor	N/A						TODO	
celeb-gajala	Gajala	actor	N/A						TODO	
celeb-gautami	Gautami	actor	N/A						TODO	
celeb-gautham-vasudev-menon	Gautham Vasudev Menon	actor	N/A						TODO	
celeb-geetha	Geetha	actor	N/A						TODO	
genelia-dsouza	Genelia D'Souza	actor	https://en.wikipedia.org/wiki/Genelia_D%27Souza						TODO	
celeb-gopichand	Gopichand	actor	N/A						TODO	
gowri-munjal	Gowri Munjal	actor	https://en.wikipedia.org/wiki/Gowri_Munjal						TODO	
gummadi	Gummadi	actor, director	N/A						TODO	
celeb-hansika-motwani	Hansika Motwani	actor	N/A						TODO	
celeb-haranath	Haranath	actor	N/A						TODO	
hariprriya	Hariprriya	actor	https://en.wikipedia.org/wiki/Hariprriya						TODO	
celeb-hebah-patel	Hebah Patel	actor	N/A						TODO	
celeb-ileana-d-cruz	Ileana D'Cruz	actor	N/A						TODO	
celeb-indraja	Indraja	actor	N/A						TODO	
celeb-j-d-chakravarthi	J. D. Chakravarthi	actor	N/A						TODO	
celeb-jagapathi-babu	Jagapathi Babu	actor	N/A						TODO	
jaggayya	Jaggayya	actor	N/A						TODO	
jaishankar	Jaishankar	actor	N/A						TODO	
jamuna	Jamuna	actor	N/A						TODO	
celeb-janaki	Janaki	actor	N/A						TODO	
jaya-prada	Jaya Prada	actor, director	N/A						TODO	
celeb-jayachitra	Jayachitra	actor	N/A						TODO	
celeb-jayalalitha	Jayalalitha	actor	N/A						TODO	
