slug	name_en	occupation	wikipedia_url	imdb_id	awards_found	status	notes
genelia-dsouza	Genelia D'Souza	actor	https://en.wikipedia.org/wiki/Genelia_D%27Souza	nm1299510		TODO	
celeb-gopichand	Gopichand	actor	N/A	nm1385228		TODO	
gowri-munjal	Gowri Munjal	actor	https://en.wikipedia.org/wiki/Gowri_Munjal	nm2329982		TODO	
gummadi	Gummadi	actor, director	N/A	nm0347953		TODO	
celeb-hansika-motwani	Hansika Motwani	actor	N/A	nm1394426		TODO	
celeb-haranath	Haranath	actor	N/A	N/A		TODO	
hariprriya	Hariprriya	actor	https://en.wikipedia.org/wiki/Hariprriya	nm1728487		TODO	
celeb-hebah-patel	Hebah Patel	actor	N/A	nm6171293		TODO	
celeb-ileana-d-cruz	Ileana D'Cruz	actor	N/A	nm2299825		TODO	
celeb-indraja	Indraja	actor	N/A	nm0408548		TODO	
celeb-j-d-chakravarthi	J. D. Chakravarthi	actor	N/A	nm0149835		TODO	
jaishankar	Jaishankar	actor	N/A	nm1126254		TODO	
celeb-janaki	Janaki	actor	N/A	nm0417310		TODO	
celeb-jayachitra	Jayachitra	actor	N/A	nm0419655		TODO	
celeb-jayalalitha	Jayalalitha	actor	N/A	nm0412883		TODO	
celeb-jayanthi	Jayanthi	actor	N/A	nm0419682		TODO	
celeb-jeeva	Jeeva	actor	N/A	nm0420091		TODO	
celeb-jhansi	Jhansi	actor	N/A	nm1219922		TODO	
celeb-k-viswanath	K. Viswanath	director, actor	N/A	nm0899649		TODO	
kajal-aggarwal	Kajal Aggarwal	actress	N/A	nm2570245		TODO	
