slug	name_en	occupation	wikipedia_url	awards_found	status	notes
# BATCH 3: PROFILES 41-60 NEEDING AWARDS

mohan-babu	Mohan Babu	actor	https://en.wikipedia.org/wiki/Mohan_Babu		PENDING	
celeb-bhanumathi	Bhanumathi	actor	https://en.wikipedia.org/wiki/Bhanumathi		PENDING	
celeb-tarun	Tarun	actor	https://en.wikipedia.org/wiki/Tarun		PENDING	
celeb-nani	Nani	actor	https://en.wikipedia.org/wiki/Nani		PENDING	
kanchana	Kanchana	actor	https://en.wikipedia.org/wiki/Kanchana		PENDING	
celeb-relangi-narasimha-rao	Relangi Narasimha Rao	director	https://en.wikipedia.org/wiki/Relangi_Narasimha_Rao		PENDING	
celeb-madhavi	Madhavi	actor	https://en.wikipedia.org/wiki/Madhavi		PENDING	
celeb-venu	Venu	actor	https://en.wikipedia.org/wiki/Venu		PENDING	
anushka-shetty	Anushka Shetty	actor	https://en.wikipedia.org/wiki/Anushka_Shetty		PENDING	
celeb-trisha	Trisha	actor	https://en.wikipedia.org/wiki/Trisha		PENDING	
celeb-sivaji	Sivaji	actor	https://en.wikipedia.org/wiki/Sivaji		PENDING	
celeb-vamsy	Vamsy	director	https://en.wikipedia.org/wiki/Vamsy		PENDING	
celeb-muthyala-subbaiah	Muthyala Subbaiah	director	https://en.wikipedia.org/wiki/Muthyala_Subbaiah		PENDING	
celeb-bapu	Bapu	director	https://en.wikipedia.org/wiki/Bapu		PENDING	
celeb-sunil	Sunil	actor	https://en.wikipedia.org/wiki/Sunil		PENDING	
celeb-shobana	Shobana	actor	https://en.wikipedia.org/wiki/Shobana		PENDING	
nayanthara	Nayanthara	actor	https://en.wikipedia.org/wiki/Nayanthara		PENDING	
celeb-ram-gopal-varma	Ram Gopal Varma	director	https://en.wikipedia.org/wiki/Ram_Gopal_Varma		PENDING	
celeb-raasi	Raasi	actor	https://en.wikipedia.org/wiki/Raasi		PENDING	
celeb-rohit	Rohit	actor	https://en.wikipedia.org/wiki/Rohit		PENDING	
