Category,Severity,Title,Year,Genres,TMDB_ID,Slug,URL
"Recent Movies - Poor Genres","high","Utsavam",2024,"Drama",1237537,"utsavam-2024","http://localhost:3000/movies/utsavam-2024"
"Recent Movies - Poor Genres","high","Sheeshmahal",2024,"Drama",563152,"sheeshmahal-2024","http://localhost:3000/movies/sheeshmahal-2024"
"Recent Movies - Poor Genres","high","Akshara",2024,"Drama",408097,"akshara-2024","http://localhost:3000/movies/akshara-2024"
"Recent Movies - Poor Genres","high","Narudi Brathuku Natana",2024,"Drama",1376117,"narudi-brathuku-natana-2024","http://localhost:3000/movies/narudi-brathuku-natana-2024"
"Recent Movies - Poor Genres","high","Sarkaaru Noukari",2024,"Drama",1229853,"sarkaaru-noukari-2024","http://localhost:3000/movies/sarkaaru-noukari-2024"
"Recent Movies - Poor Genres","high","Committee Kurrollu",2024,"Drama",1327213,"committee-kurrollu-2024","http://localhost:3000/movies/committee-kurrollu-2024"
"Recent Movies - Poor Genres","high","Prathinidhi 2",2024,"Drama",1277697,"prathinidhi-2-2024","http://localhost:3000/movies/prathinidhi-2-2024"
"Recent Movies - Poor Genres","high","Drinker Sai",2024,"Drama",1407473,"drinker-sai-2024","http://localhost:3000/movies/drinker-sai-2024"
"Recent Movies - Poor Genres","high","Double Engine",2024,"Drama",1026439,"double-engine-2024","http://localhost:3000/movies/double-engine-2024"
"Recent Movies - Poor Genres","high","Leela Vinodam",2024,"Drama",1396917,"leela-vinodam-2024","http://localhost:3000/movies/leela-vinodam-2024"
"Recent Movies - Poor Genres","high","Zebra",2024,"Drama",1407977,"zebra-2024","http://localhost:3000/movies/zebra-2024"
"Recent Movies - Poor Genres","high","Anthima Theerpu",2024,"Drama",1093029,"anthima-theerpu-2024","http://localhost:3000/movies/anthima-theerpu-2024"
"Recent Movies - Poor Genres","high","Saachi",2023,"Drama",1228860,"saachi-2023","http://localhost:3000/movies/saachi-2023"
"Recent Movies - Poor Genres","high","12th Fail",2023,"Drama",1163258,"12th-fail-2023","http://localhost:3000/movies/12th-fail-2023"
"Recent Movies - Poor Genres","high","Simón",2023,"Drama",1105832,"sim-n-2023","http://localhost:3000/movies/sim-n-2023"
"Recent Movies - Poor Genres","high","Kaathal - The Core",2023,"Drama",1029947,"kaathal-the-core-2023","http://localhost:3000/movies/kaathal-the-core-2023"
"Recent Movies - Poor Genres","high","Karna",2023,"Drama",680017,"karna-2023","http://localhost:3000/movies/karna-2023"
"Recent Movies - Poor Genres","high","Panchatantra Kathalu",2022,"Drama",1006335,"panchatantra-kathalu-2022","http://localhost:3000/movies/panchatantra-kathalu-2022"
"Recent Movies - Poor Genres","high","Kadaisi Vivasayi",2022,"Drama",613703,"kadaisi-vivasayi-2022","http://localhost:3000/movies/kadaisi-vivasayi-2022"
"Recent Movies - Poor Genres","high","Nenu C/o Nuvvu",2022,"Drama",1031948,"nenu-co-nuvvu-2022","http://localhost:3000/movies/nenu-co-nuvvu-2022"
"Recent Movies - Poor Genres","high","Happy Birthday",2022,"Drama",1010403,"happy-birthday-2022","http://localhost:3000/movies/happy-birthday-2022"
"Recent Movies - Poor Genres","high","Mad",2021,"Drama",881486,"mad-2021","http://localhost:3000/movies/mad-2021"
"Too Many Genres","medium","Maa Inti Bangaram",null,"Action; Comedy; Thriller; Drama",1227241,"maa-inti-bangaram-tba","http://localhost:3000/movies/maa-inti-bangaram-tba"
"Too Many Genres","medium","Legacy",null,"Action; Crime; Thriller; Drama",1436202,"legacy-tba","http://localhost:3000/movies/legacy-tba"
"Too Many Genres","medium","Vāranāsi",null,"Adventure; Action; Science Fiction; Fantasy",920708,"varanasi-tba","http://localhost:3000/movies/varanasi-tba"
"Too Many Genres","medium","LYF - Love Your Father",2025,"Romance; Action; Drama; Thriller",1439096,"lyf-love-your-father-2025","http://localhost:3000/movies/lyf-love-your-father-2025"
"Too Many Genres","medium","London Calling",2025,"Action; Crime; Comedy; Thriller",1217602,"london-calling-2025","http://localhost:3000/movies/london-calling-2025"
"Too Many Genres","medium","The King of Kings",2025,"Animation; Family; Fantasy; Drama; Adventure",1407437,"the-king-of-kings-2025","http://localhost:3000/movies/the-king-of-kings-2025"
"Too Many Genres","medium","KPop Demon Hunters",2025,"Fantasy; Music; Comedy; Animation",803796,"kpop-demon-hunters-2025","http://localhost:3000/movies/kpop-demon-hunters-2025"
"Too Many Genres","medium","A Minecraft Movie",2025,"Family; Fantasy; Comedy; Adventure; Action",950387,"a-minecraft-movie-2025","http://localhost:3000/movies/a-minecraft-movie-2025"
"Too Many Genres","medium","Oka Brundavanam",2025,"Family; Action; Adventure; Fantasy",1501237,"oka-brundavanam-2025","http://localhost:3000/movies/oka-brundavanam-2025"
"Too Many Genres","medium","Veera Dheera Sooran: Part 2",2025,"Action; Crime; Drama; Thriller",1198208,"veera-dheera-sooran-part-2-2025","http://localhost:3000/movies/veera-dheera-sooran-part-2-2025"
"Too Many Genres","medium","Hridayapoorvam",2025,"Romance; Comedy; Drama; Family",1314784,"hridayapoorvam-2025","http://localhost:3000/movies/hridayapoorvam-2025"
"Too Many Genres","medium","Elio",2025,"Family; Comedy; Adventure; Animation; Science Fiction",1022787,"elio-2025","http://localhost:3000/movies/elio-2025"
"Too Many Genres","medium","Dude",2025,"Action; Comedy; Drama; Romance",1321108,"dude-2025","http://localhost:3000/movies/dude-2025"
"Too Many Genres","medium","Mowgli",2025,"Romance; Action; Adventure; Drama",1417743,"mowgli-2025","http://localhost:3000/movies/mowgli-2025"
"Too Many Genres","medium","Kishkindhapuri",2025,"Horror; Thriller; Comedy; Drama",1439747,"kishkindhapuri-2025","http://localhost:3000/movies/kishkindhapuri-2025"
"Too Many Genres","medium","The Bad Guys 2",2025,"Family; Comedy; Crime; Adventure; Animation",1175942,"the-bad-guys-2-2025","http://localhost:3000/movies/the-bad-guys-2-2025"
"Too Many Genres","medium","Retro",2025,"Romance; Action; Drama; Crime",1265827,"retro-2025","http://localhost:3000/movies/retro-2025"
"Too Many Genres","medium","Zootopia 2",2025,"Animation; Comedy; Adventure; Family; Mystery",1084242,"zootopia-2-2025","http://localhost:3000/movies/zootopia-2-2025"
"Too Many Genres","medium","The SpongeBob Movie: Search for SquarePants",2025,"Animation; Family; Comedy; Adventure",991494,"the-spongebob-movie-search-for-squarepants-2025","http://localhost:3000/movies/the-spongebob-movie-search-for-squarepants-2025"
"Too Many Genres","medium","Predator: Killer of Killers",2025,"Animation; Action; Science Fiction; Thriller",1376434,"predator-killer-of-killers-2025","http://localhost:3000/movies/predator-killer-of-killers-2025"
"Too Many Genres","medium","How to Train Your Dragon",2025,"Fantasy; Family; Action; Adventure",1087192,"how-to-train-your-dragon-2025","http://localhost:3000/movies/how-to-train-your-dragon-2025"
"Too Many Genres","medium","Thandel",2025,"Romance; Action; Drama; Thriller",1208735,"thandel-2025","http://localhost:3000/movies/thandel-2025"
"Too Many Genres","medium","11:11",2025,"Romance; Drama; Thriller; Mystery",1605210,"1111-2025","http://localhost:3000/movies/1111-2025"
"Too Many Genres","medium","Vidaamuyarchi",2025,"Action; Drama; Mystery; Thriller; Crime",949716,"vidaamuyarchi-2025","http://localhost:3000/movies/vidaamuyarchi-2025"
"Too Many Genres","medium","Andhra King Taluka",2025,"Action; Drama; Romance; Family",1407437,"andhra-king-taluka-2025","http://localhost:3000/movies/andhra-king-taluka-2025"
"Too Many Genres","medium","Kalki 2898-AD",2024,"Drama; Action; Fantasy; Science Fiction",801688,"kalki-2898-ad-2024","http://localhost:3000/movies/kalki-2898-ad-2024"
"Too Many Genres","medium","(Tillu)²",2024,"Romance; Comedy; Thriller; Crime",1039482,"tillu-2024","http://localhost:3000/movies/tillu-2024"
"Too Many Genres","medium","Transformers One",2024,"Animation; Science Fiction; Adventure; Family",698687,"transformers-one-2024","http://localhost:3000/movies/transformers-one-2024"
"Too Many Genres","medium","The Wild Robot",2024,"Animation; Science Fiction; Family; Adventure; Drama",1184918,"the-wild-robot-2024","http://localhost:3000/movies/the-wild-robot-2024"
"Too Many Genres","medium","Soul",2024,"Animation; Family; Comedy; Fantasy; Drama; Music",508442,"soul-2024","http://localhost:3000/movies/soul-2024"
"Too Many Genres","medium","Kill",2024,"Action; Crime; Thriller; Drama",1160018,"kill-2024","http://localhost:3000/movies/kill-2024"
"Too Many Genres","medium","Avatara Purusha 2",2024,"Action; Comedy; Fantasy; Thriller",1268164,"avatara-purusha-2-2024","http://localhost:3000/movies/avatara-purusha-2-2024"
"Too Many Genres","medium","Ultraman: Rising",2024,"Animation; Science Fiction; Family; Action",829402,"ultraman-rising-2024","http://localhost:3000/movies/ultraman-rising-2024"
"Too Many Genres","medium","Tantra",2024,"Romance; Drama; Mythological; Fantasy",1260435,"tantra-2024","http://localhost:3000/movies/tantra-2024"
"Too Many Genres","medium","Gaami",2024,"Adventure; Thriller; Science Fiction; Fantasy",886385,"gaami-2024","http://localhost:3000/movies/gaami-2024"
"Too Many Genres","medium","Do Patti",2024,"Thriller; Mystery; Drama; Crime",1148172,"do-patti-2024","http://localhost:3000/movies/do-patti-2024"
"Too Many Genres","medium","Amaran",2024,"Action; Drama; Adventure; War",927342,"amaran-2024","http://localhost:3000/movies/amaran-2024"
"Too Many Genres","medium","Kishkindha Kaandam",2024,"Thriller; Mystery; Drama; Adventure",1025125,"kishkindha-kaandam-2024","http://localhost:3000/movies/kishkindha-kaandam-2024"
"Too Many Genres","medium","The Family Star",2024,"Family; Romance; Comedy; Drama; Action",1141320,"the-family-star-2024","http://localhost:3000/movies/the-family-star-2024"
"Too Many Genres","medium","Hanu-man",2024,"Fantasy; Action; Comedy; Science Fiction",869760,"hanu-man-2024","http://localhost:3000/movies/hanu-man-2024"
"Too Many Genres","medium","Pushpa 2 - The Rule",2024,"Action; Drama; Thriller; Crime",857598,"pushpa-2-the-rule-2024","http://localhost:3000/movies/pushpa-2-the-rule-2024"
"Too Many Genres","medium","Sikandar Ka Muqaddar",2024,"Thriller; Crime; Mystery; Action",1252470,"sikandar-ka-muqaddar-2024","http://localhost:3000/movies/sikandar-ka-muqaddar-2024"
"Too Many Genres","medium","Spider-Man: Across the Spider-Verse",2023,"Animation; Action; Adventure; Science Fiction",569094,"spider-man-across-the-spider-verse-2023","http://localhost:3000/movies/spider-man-across-the-spider-verse-2023"
"Too Many Genres","medium","Kaatera",2023,"Action; Drama; Family; Comedy",1212788,"kaatera-2023","http://localhost:3000/movies/kaatera-2023"
"Too Many Genres","medium","Toby",2023,"Action; Thriller; Mystery; Drama",1139698,"toby-2023","http://localhost:3000/movies/toby-2023"
"Too Many Genres","medium","Miss. Shetty Mr. Polishetty",2023,"Comedy; Drama; Romance; Thriller",1045385,"miss-shetty-mr-polishetty-2023","http://localhost:3000/movies/miss-shetty-mr-polishetty-2023"
"Too Many Genres","medium","Once Upon a Studio",2023,"Animation; Family; Fantasy; Comedy",1139087,"once-upon-a-studio-2023","http://localhost:3000/movies/once-upon-a-studio-2023"
"Too Many Genres","medium","Nimona",2023,"Animation; Family; Action; Science Fiction; Adventure; Fantasy; Comedy",961323,"nimona-2023","http://localhost:3000/movies/nimona-2023"
"Too Many Genres","medium","Ponniyin Selvan: Part II",2023,"Action; Adventure; History; Drama",858082,"ponniyin-selvan-part-ii-2023","http://localhost:3000/movies/ponniyin-selvan-part-ii-2023"
"Too Many Genres","medium","Jailer",2023,"Action; Crime; Thriller; Comedy; Adventure",937020,"jailer-2023","http://localhost:3000/movies/jailer-2023"
"Generic Drama Only","medium","Illicit Relationship",null,"Drama",857695,"illicit-relationship-tba","http://localhost:3000/movies/illicit-relationship-tba"
"Generic Drama Only","medium","Naa Katha",null,"Drama",1338987,"naa-katha-tba","http://localhost:3000/movies/naa-katha-tba"
"Generic Drama Only","medium","Inner City Blues",null,"Drama",871062,"inner-city-blues-tba","http://localhost:3000/movies/inner-city-blues-tba"
"Generic Drama Only","medium","Lenin",2026,"Drama",1408170,"lenin-tba","http://localhost:3000/movies/lenin-tba"
"Generic Drama Only","medium","Aakasam Lo Oka Tara",2026,"Drama",1322273,"aakasam-lo-oka-tara-2026","http://localhost:3000/movies/aakasam-lo-oka-tara-2026"
"Generic Drama Only","medium","Anantha",2026,"Drama",1608579,"anantha-2026","http://localhost:3000/movies/anantha-2026"
"Generic Drama Only","medium","Shambhala",2025,"Drama",1531435,"shambhala-2025","http://localhost:3000/movies/shambhala-2025"
"Generic Drama Only","medium","Guard: Revenge for Love",2025,"Drama",1234172,"guard-2025","http://localhost:3000/movies/guard-2025"
"Generic Drama Only","medium","Arjun Chakravarthy",2025,"Drama",1541316,"arjun-chakravarthy-2025","http://localhost:3000/movies/arjun-chakravarthy-2025"
"Generic Drama Only","medium","Die My Love",2025,"Drama",1033148,"die-my-love-2025","http://localhost:3000/movies/die-my-love-2025"
"Generic Drama Only","medium","Goodbye June",2025,"Drama",1435092,"goodbye-june-2025","http://localhost:3000/movies/goodbye-june-2025"
"Generic Drama Only","medium","Marty Supreme",2025,"Drama",1317288,"marty-supreme-2025","http://localhost:3000/movies/marty-supreme-2025"
"Generic Drama Only","medium","Paradha",2025,"Drama",1280611,"paradha-2025","http://localhost:3000/movies/paradha-2025"
"Generic Drama Only","medium","Ramam Raghavam",2025,"Drama",1230008,"dhanraj-2025","http://localhost:3000/movies/dhanraj-2025"
"Generic Drama Only","medium","Maa Nanna Superhero",2024,"Drama",1357414,"maa-nanna-superhero-2024","http://localhost:3000/movies/maa-nanna-superhero-2024"
"Generic Drama Only","medium","Sriranga Neethulu",2024,"Drama",1274480,"sriranga-neethulu-2024","http://localhost:3000/movies/sriranga-neethulu-2024"
"Generic Drama Only","medium","Ground",2024,"Drama",1302681,"ground-2024","http://localhost:3000/movies/ground-2024"
"Generic Drama Only","medium","Raajadhani Files",2024,"Drama",1243124,"raajadhani-files-2024","http://localhost:3000/movies/raajadhani-files-2024"
"Generic Drama Only","medium","Aattam",2024,"Drama",957926,"aattam-2024","http://localhost:3000/movies/aattam-2024"
"Generic Drama Only","medium","Pekamedalu",2024,"Drama",1317583,"pekamedalu-2024","http://localhost:3000/movies/pekamedalu-2024"
"Generic Drama Only","medium","Sam Anton",2024,"Drama",608317,"sam-anton-2024","http://localhost:3000/movies/sam-anton-2024"
"Generic Drama Only","medium","Laggam",2024,"Drama",1375193,"laggam-2024","http://localhost:3000/movies/laggam-2024"
"Generic Drama Only","medium","Utsavam",2024,"Drama",1237537,"utsavam-2024","http://localhost:3000/movies/utsavam-2024"
"Generic Drama Only","medium","Sheeshmahal",2024,"Drama",563152,"sheeshmahal-2024","http://localhost:3000/movies/sheeshmahal-2024"
"Generic Drama Only","medium","Akshara",2024,"Drama",408097,"akshara-2024","http://localhost:3000/movies/akshara-2024"
"Generic Drama Only","medium","Narudi Brathuku Natana",2024,"Drama",1376117,"narudi-brathuku-natana-2024","http://localhost:3000/movies/narudi-brathuku-natana-2024"
"Generic Drama Only","medium","Sarkaaru Noukari",2024,"Drama",1229853,"sarkaaru-noukari-2024","http://localhost:3000/movies/sarkaaru-noukari-2024"
"Generic Drama Only","medium","Committee Kurrollu",2024,"Drama",1327213,"committee-kurrollu-2024","http://localhost:3000/movies/committee-kurrollu-2024"
"Generic Drama Only","medium","Prathinidhi 2",2024,"Drama",1277697,"prathinidhi-2-2024","http://localhost:3000/movies/prathinidhi-2-2024"
"Generic Drama Only","medium","Drinker Sai",2024,"Drama",1407473,"drinker-sai-2024","http://localhost:3000/movies/drinker-sai-2024"
"Generic Drama Only","medium","Double Engine",2024,"Drama",1026439,"double-engine-2024","http://localhost:3000/movies/double-engine-2024"
"Generic Drama Only","medium","Leela Vinodam",2024,"Drama",1396917,"leela-vinodam-2024","http://localhost:3000/movies/leela-vinodam-2024"
"Generic Drama Only","medium","Zebra",2024,"Drama",1407977,"zebra-2024","http://localhost:3000/movies/zebra-2024"
"Generic Drama Only","medium","Anthima Theerpu",2024,"Drama",1093029,"anthima-theerpu-2024","http://localhost:3000/movies/anthima-theerpu-2024"
"Generic Drama Only","medium","Saachi",2023,"Drama",1228860,"saachi-2023","http://localhost:3000/movies/saachi-2023"
"Generic Drama Only","medium","12th Fail",2023,"Drama",1163258,"12th-fail-2023","http://localhost:3000/movies/12th-fail-2023"
"Generic Drama Only","medium","Simón",2023,"Drama",1105832,"sim-n-2023","http://localhost:3000/movies/sim-n-2023"
"Generic Drama Only","medium","Kaathal - The Core",2023,"Drama",1029947,"kaathal-the-core-2023","http://localhost:3000/movies/kaathal-the-core-2023"
"Generic Drama Only","medium","Karna",2023,"Drama",680017,"karna-2023","http://localhost:3000/movies/karna-2023"
"Generic Drama Only","medium","Panchatantra Kathalu",2022,"Drama",1006335,"panchatantra-kathalu-2022","http://localhost:3000/movies/panchatantra-kathalu-2022"
"Generic Drama Only","medium","Kadaisi Vivasayi",2022,"Drama",613703,"kadaisi-vivasayi-2022","http://localhost:3000/movies/kadaisi-vivasayi-2022"
"Generic Drama Only","medium","Nenu C/o Nuvvu",2022,"Drama",1031948,"nenu-co-nuvvu-2022","http://localhost:3000/movies/nenu-co-nuvvu-2022"
"Generic Drama Only","medium","Happy Birthday",2022,"Drama",1010403,"happy-birthday-2022","http://localhost:3000/movies/happy-birthday-2022"
"Generic Drama Only","medium","Mad",2021,"Drama",881486,"mad-2021","http://localhost:3000/movies/mad-2021"
"TMDB Available - Generic Genres","medium","Illicit Relationship",null,"Drama",857695,"illicit-relationship-tba","http://localhost:3000/movies/illicit-relationship-tba"
"TMDB Available - Generic Genres","medium","Naa Katha",null,"Drama",1338987,"naa-katha-tba","http://localhost:3000/movies/naa-katha-tba"
"TMDB Available - Generic Genres","medium","Inner City Blues",null,"Drama",871062,"inner-city-blues-tba","http://localhost:3000/movies/inner-city-blues-tba"
"TMDB Available - Generic Genres","medium","Sahakutumbaanaam",2026,"Action",1397395,"sahakutumbaanaam-2026","http://localhost:3000/movies/sahakutumbaanaam-2026"
"TMDB Available - Generic Genres","medium","Vanaveera",2026,"Action",1412497,"vanaveera-2026","http://localhost:3000/movies/vanaveera-2026"
"TMDB Available - Generic Genres","medium","Lenin",2026,"Drama",1408170,"lenin-tba","http://localhost:3000/movies/lenin-tba"
"TMDB Available - Generic Genres","medium","Aakasam Lo Oka Tara",2026,"Drama",1322273,"aakasam-lo-oka-tara-2026","http://localhost:3000/movies/aakasam-lo-oka-tara-2026"
"TMDB Available - Generic Genres","medium","Anantha",2026,"Drama",1608579,"anantha-2026","http://localhost:3000/movies/anantha-2026"
"TMDB Available - Generic Genres","medium","Shambhala",2025,"Drama",1531435,"shambhala-2025","http://localhost:3000/movies/shambhala-2025"
"TMDB Available - Generic Genres","medium","1000 Waala",2025,"Action",1437107,"1000-waala-2025","http://localhost:3000/movies/1000-waala-2025"
"TMDB Available - Generic Genres","medium","Guard: Revenge for Love",2025,"Drama",1234172,"guard-2025","http://localhost:3000/movies/guard-2025"
"TMDB Available - Generic Genres","medium","Arjun Chakravarthy",2025,"Drama",1541316,"arjun-chakravarthy-2025","http://localhost:3000/movies/arjun-chakravarthy-2025"
"TMDB Available - Generic Genres","medium","Die My Love",2025,"Drama",1033148,"die-my-love-2025","http://localhost:3000/movies/die-my-love-2025"
"TMDB Available - Generic Genres","medium","Goodbye June",2025,"Drama",1435092,"goodbye-june-2025","http://localhost:3000/movies/goodbye-june-2025"
"TMDB Available - Generic Genres","medium","Marty Supreme",2025,"Drama",1317288,"marty-supreme-2025","http://localhost:3000/movies/marty-supreme-2025"
"TMDB Available - Generic Genres","medium","Vaamana",2025,"Action",927224,"vaamana-2025","http://localhost:3000/movies/vaamana-2025"
"TMDB Available - Generic Genres","medium","Paradha",2025,"Drama",1280611,"paradha-2025","http://localhost:3000/movies/paradha-2025"
"TMDB Available - Generic Genres","medium","Robinhood",2025,"Action",1120762,"robinhood-2025","http://localhost:3000/movies/robinhood-2025"
"TMDB Available - Generic Genres","medium","Akhanda 2: Thaandavam",2025,"Action",1372588,"akhanda-2-thaandavam-2025","http://localhost:3000/movies/akhanda-2-thaandavam-2025"
"TMDB Available - Generic Genres","medium","Ramam Raghavam",2025,"Drama",1230008,"dhanraj-2025","http://localhost:3000/movies/dhanraj-2025"
"TMDB Available - Generic Genres","medium","Maa Nanna Superhero",2024,"Drama",1357414,"maa-nanna-superhero-2024","http://localhost:3000/movies/maa-nanna-superhero-2024"
"TMDB Available - Generic Genres","medium","Sriranga Neethulu",2024,"Drama",1274480,"sriranga-neethulu-2024","http://localhost:3000/movies/sriranga-neethulu-2024"
"TMDB Available - Generic Genres","medium","Dheera",2024,"Action",1034187,"dheera-2024","http://localhost:3000/movies/dheera-2024"
