Category,Severity,Title,Year,Genres,TMDB_ID,Slug,URL
"TMDB Available - Generic Genres","medium","Ground",2024,"Drama",1302681,"ground-2024","http://localhost:3000/movies/ground-2024"
"TMDB Available - Generic Genres","medium","Krishnamma",2024,"Action",1001632,"krishnamma-2024","http://localhost:3000/movies/krishnamma-2024"
"TMDB Available - Generic Genres","medium","Raajadhani Files",2024,"Drama",1243124,"raajadhani-files-2024","http://localhost:3000/movies/raajadhani-files-2024"
"TMDB Available - Generic Genres","medium","Aattam",2024,"Drama",957926,"aattam-2024","http://localhost:3000/movies/aattam-2024"
"TMDB Available - Generic Genres","medium","Pekamedalu",2024,"Drama",1317583,"pekamedalu-2024","http://localhost:3000/movies/pekamedalu-2024"
"TMDB Available - Generic Genres","medium","Sam Anton",2024,"Drama",608317,"sam-anton-2024","http://localhost:3000/movies/sam-anton-2024"
"TMDB Available - Generic Genres","medium","Laggam",2024,"Drama",1375193,"laggam-2024","http://localhost:3000/movies/laggam-2024"
"TMDB Available - Generic Genres","medium","Utsavam",2024,"Drama",1237537,"utsavam-2024","http://localhost:3000/movies/utsavam-2024"
"TMDB Available - Generic Genres","medium","Sheeshmahal",2024,"Drama",563152,"sheeshmahal-2024","http://localhost:3000/movies/sheeshmahal-2024"
"TMDB Available - Generic Genres","medium","Akshara",2024,"Drama",408097,"akshara-2024","http://localhost:3000/movies/akshara-2024"
"TMDB Available - Generic Genres","medium","Narudi Brathuku Natana",2024,"Drama",1376117,"narudi-brathuku-natana-2024","http://localhost:3000/movies/narudi-brathuku-natana-2024"
"TMDB Available - Generic Genres","medium","Sarkaaru Noukari",2024,"Drama",1229853,"sarkaaru-noukari-2024","http://localhost:3000/movies/sarkaaru-noukari-2024"
"TMDB Available - Generic Genres","medium","Committee Kurrollu",2024,"Drama",1327213,"committee-kurrollu-2024","http://localhost:3000/movies/committee-kurrollu-2024"
"TMDB Available - Generic Genres","medium","Prathinidhi 2",2024,"Drama",1277697,"prathinidhi-2-2024","http://localhost:3000/movies/prathinidhi-2-2024"
"TMDB Available - Generic Genres","medium","Drinker Sai",2024,"Drama",1407473,"drinker-sai-2024","http://localhost:3000/movies/drinker-sai-2024"
"TMDB Available - Generic Genres","medium","Double Engine",2024,"Drama",1026439,"double-engine-2024","http://localhost:3000/movies/double-engine-2024"
"TMDB Available - Generic Genres","medium","Leela Vinodam",2024,"Drama",1396917,"leela-vinodam-2024","http://localhost:3000/movies/leela-vinodam-2024"
"TMDB Available - Generic Genres","medium","Zebra",2024,"Drama",1407977,"zebra-2024","http://localhost:3000/movies/zebra-2024"
"TMDB Available - Generic Genres","medium","Ruslaan",2024,"Action",1196940,"ruslaan-2024","http://localhost:3000/movies/ruslaan-2024"
"TMDB Available - Generic Genres","medium","Anthima Theerpu",2024,"Drama",1093029,"anthima-theerpu-2024","http://localhost:3000/movies/anthima-theerpu-2024"
"TMDB Available - Generic Genres","medium","Saachi",2023,"Drama",1228860,"saachi-2023","http://localhost:3000/movies/saachi-2023"
