slug	name_en	occupation	wikipedia_url	awards_found	status	notes
# BATCH 5: PROFILES 81-100 NEEDING AWARDS

celeb-v-nagayya	V. Nagayya	actor	https://en.wikipedia.org/wiki/V._Nagayya		PENDING	
celeb-shruti-haasan	Shruti Haasan	actor	https://en.wikipedia.org/wiki/Shruti_Haasan		PENDING	
celeb-sarath-babu	Sarath Babu	actor	https://en.wikipedia.org/wiki/Sarath_Babu		PENDING	
celeb-krishna-vamsi	Krishna Vamsi	director	https://en.wikipedia.org/wiki/Krishna_Vamsi		PENDING	
celeb-geetha	Geetha	actor	https://en.wikipedia.org/wiki/Geetha		PENDING	
celeb-sagar	Sagar	director	https://en.wikipedia.org/wiki/Sagar		PENDING	
celeb-pushpavalli	Pushpavalli	actor	https://en.wikipedia.org/wiki/Pushpavalli		PENDING	
jaggayya	Jaggayya	actor	https://en.wikipedia.org/wiki/Jaggayya		PENDING	
celeb-ravi-raja-pinisetty	Ravi Raja Pinisetty	director	https://en.wikipedia.org/wiki/Ravi_Raja_Pinisetty		PENDING	
celeb-shriya-saran	Shriya Saran	actor	https://en.wikipedia.org/wiki/Shriya_Saran		PENDING	
celeb-nithiin	Nithiin	actor	https://en.wikipedia.org/wiki/Nithiin		PENDING	
celeb-dulquer-salmaan	Dulquer Salmaan	actor	https://en.wikipedia.org/wiki/Dulquer_Salmaan		PENDING	
celeb-suresh-krissna	Suresh Krissna	director	https://en.wikipedia.org/wiki/Suresh_Krissna		PENDING	
celeb-b-vittalacharya	B. Vittalacharya	director	https://en.wikipedia.org/wiki/B._Vittalacharya		PENDING	
k-balachander	K. Balachander	actor	https://en.wikipedia.org/wiki/K._Balachander		PENDING	
celeb-p-sambasiva-rao	P. Sambasiva Rao	director	https://en.wikipedia.org/wiki/P._Sambasiva_Rao		PENDING	
celeb-varun-sandesh	Varun Sandesh	actor	https://en.wikipedia.org/wiki/Varun_Sandesh		PENDING	
celeb-prakash-raj	Prakash Raj	actor	https://en.wikipedia.org/wiki/Prakash_Raj		PENDING	
celeb-p-chandrasekhara-reddy	P. Chandrasekhara Reddy	director	https://en.wikipedia.org/wiki/P._Chandrasekhara_Reddy		PENDING	
celeb-rajani	Rajani	actor	https://en.wikipedia.org/wiki/Rajani		PENDING	
