slug	name_en	occupation	wikipedia_url	parents	spouse	children	siblings	relatives	status	notes
celeb-anisha-ambrose	Anisha Ambrose	actor	N/A						TODO	
celeb-anjali	Anjali	actor	N/A						TODO	
anjali-devi	Anjali Devi	actor	N/A						TODO	
annu-kapoor	Annu Kapoor	actor	https://en.wikipedia.org/wiki/Annu_Kapoor						TODO	
celeb-anu-emmanuel	Anu Emmanuel	actor	N/A						TODO	
celeb-anupama-parameswaran	Anupama Parameswaran	actor	N/A						TODO	
anuradha-mehta	Anuradha Mehta	actor	N/A						TODO	
anurag-basu	Anurag Basu	actor	https://en.wikipedia.org/wiki/Anurag_Basu						TODO	
celeb-anusha	Anusha	actor	N/A						TODO	
anushka-shetty	Anushka Shetty	actor	https://en.wikipedia.org/wiki/Anushka_Shetty						TODO	
celeb-archana	Archana	actor	N/A						TODO	
celeb-arjun	Arjun	actor	N/A						TODO	
celeb-aryan-rajesh	Aryan Rajesh	actor	N/A						TODO	
celeb-ashwini	Ashwini	actor	N/A						TODO	
celeb-avika-gor	Avika Gor	actor	N/A						TODO	
celeb-b-saroja-devi	B Saroja Devi	actor	N/A						TODO	
celeb-bellamkonda-srinivas	Bellamkonda Srinivas	actor	N/A						TODO	
celeb-bhanuchander	Bhanuchander	actor	N/A						TODO	
celeb-bhanumathi	Bhanumathi	actor, director	N/A						TODO	
celeb-bhanupriya	Bhanupriya	actor	N/A						TODO	
celeb-bhavana	Bhavana	actor	N/A						TODO	
celeb-bhumika-chawla	Bhumika Chawla	actor	N/A						TODO	
celeb-brahmaji	Brahmaji	actor	N/A						TODO	
celeb-brahmanandam	Brahmanandam	actor, comedian	N/A						TODO	
celeb-c-s-r-anjaneyulu	C.S.R. Anjaneyulu	actor	N/A						TODO	
celeb-camp-sasi	Camp Sasi	actor	N/A						TODO	
celeb-catherine-tresa	Catherine Tresa	actor	N/A						TODO	
celeb-chandini-chowdary	Chandini Chowdary	actor	N/A						TODO	
celeb-chandra-mohan	Chandra Mohan	actor	N/A						TODO	
celeb-charmy-kaur	Charmy Kaur	actor	N/A						TODO	
