slug	name_en	occupation	wikipedia_url	imdb_id	awards_found	status	notes
celeb-amala-akkineni	Amala Akkineni	actor	N/A	nm0023839		TODO	
celeb-amritha-aiyer	Amritha Aiyer	actor	N/A	nm9611627		TODO	
amulya	Amulya	actor	https://en.wikipedia.org/wiki/Amulya	nm5702880		TODO	
celeb-anand-deverakonda	Anand Deverakonda	actor	N/A	nm10710806		TODO	
celeb-anandhi	Anandhi	actor	N/A	nm6695317		TODO	
celeb-ananya-nagalla	Ananya Nagalla	actor	N/A	nm8440701		TODO	
celeb-anasuya-bharadwaj	Anasuya Bharadwaj	actor	N/A	nm7850258		TODO	
celeb-anisha-ambrose	Anisha Ambrose	actor	N/A	nm5598795		TODO	
annu-kapoor	Annu Kapoor	actor	https://en.wikipedia.org/wiki/Annu_Kapoor	nm0438465		TODO	
celeb-anu-emmanuel	Anu Emmanuel	actor	N/A	nm5245022		TODO	
celeb-anupama-parameswaran	Anupama Parameswaran	actor	N/A	nm7322042		TODO	
anuradha-mehta	Anuradha Mehta	actor	N/A	nm1758139		TODO	
anurag-basu	Anurag Basu	actor	https://en.wikipedia.org/wiki/Anurag_Basu	nm1397301		TODO	
celeb-anusha	Anusha	actor	N/A	N/A		TODO	
celeb-archana	Archana	actor	N/A	nm14543550		TODO	
celeb-aryan-rajesh	Aryan Rajesh	actor	N/A	nm2331736		TODO	
celeb-ashwini	Ashwini	actor	N/A	nm1748460		TODO	
celeb-avika-gor	Avika Gor	actor	N/A	nm3597669		TODO	
celeb-b-saroja-devi	B Saroja Devi	actor	N/A	nm0044600		TODO	
celeb-bellamkonda-srinivas	Bellamkonda Srinivas	actor	N/A	nm6618354		TODO	
