slug	name_en	occupation	wikipedia_url	twitter	instagram	facebook	official_website	status	notes
celeb-nirosha	Nirosha	actor	N/A					TODO	
nisha-aggarwal	Nisha Aggarwal	actor	https://en.wikipedia.org/wiki/Nisha_Agarwal					TODO	
celeb-ntr	Ntr	Actor	N/A					TODO	
ooha	Ooha	actor	N/A					TODO	
celeb-p-kannamba	P. Kannamba	actor	N/A					TODO	
padmini	Padmini	actor	N/A					TODO	
celeb-pawan-kalyan	Pawan Kalyan	actor, politician	N/A					TODO	
celeb-pooja-jhaveri	Pooja Jhaveri	actor	N/A					TODO	
celeb-poonam-kaur	Poonam Kaur	actor	N/A					TODO	
celeb-poornima	Poornima	actor	N/A					TODO	
celeb-prema	Prema	actor	N/A					TODO	
celeb-priyanka-sharma	Priyanka Sharma	actor	N/A					TODO	
celeb-punarnavi-bhupalam	Punarnavi Bhupalam	actor	N/A					TODO	
celeb-pushpavalli	Pushpavalli	actor	N/A					TODO	
celeb-r-narayana-murthy	R. Narayana Murthy	actor	N/A					TODO	
celeb-raadhika	Raadhika	actor	N/A					TODO	
celeb-raashi-singh	Raashi Singh	actor	N/A					TODO	
celeb-raasi	Raasi	actor	N/A					TODO	
celeb-rachana	Rachana	actor	N/A					TODO	
celeb-rachana-banerjee	Rachana Banerjee	actor	N/A					TODO	
celeb-radha	Radha	actor	N/A					TODO	
celeb-raja	Raja	actor	N/A					TODO	
celeb-raja-babu	Raja Babu	actor, comedian	N/A					TODO	
celeb-rajani	Rajani	actor	N/A					TODO	
celeb-rajashree	Rajashree	actor	N/A					TODO	
rajasulochana	Rajasulochana	actor	N/A					TODO	
celeb-rajinikanth	Rajinikanth	actor	N/A					TODO	
celeb-rajiv-kanakala	Rajiv Kanakala	actor	N/A					TODO	
rajya-lakshmi	Rajya Lakshmi	actor	N/A					TODO	
celeb-rakshita	Rakshita	actor	N/A					TODO	
celeb-ram-pothineni	Ram Pothineni	actor	N/A					TODO	
celeb-ramakrishna	Ramakrishna	actor	N/A					TODO	
celeb-rambha	Rambha	actor	N/A					TODO	
celeb-rana-daggubati	Rana Daggubati	actor	N/A					TODO	
celeb-rao-gopal-rao	Rao Gopal Rao	actor	N/A					TODO	
rashmika	Rashmika Mandanna	Actress	N/A					TODO	
rasika-dugal	Rasika Dugal	actor, film actor	https://en.wikipedia.org/wiki/Rasika_Dugal					TODO	
celeb-ravali	Ravali	actor	N/A					TODO	
celeb-ravi-varma	Ravi Varma	actor	N/A					TODO	
ravichandran	Ravichandran	actor, director	N/A					TODO	
celeb-reema-sen	Reema Sen	actor	N/A					TODO	
celeb-rekha	Rekha	actor	N/A					TODO	
celeb-rekha-vedavyas	Rekha Vedavyas	actor	N/A					TODO	
celeb-revathi	Revathi	actor	N/A					TODO	
celeb-e7ada5b2	Roshan Kanakala	actor	https://en.wikipedia.org/wiki/Roshan_Kanakala					TODO	
celeb-rukshar-dhillon	Rukshar Dhillon	actor	N/A					TODO	
s-v-ranga-rao	S. V. Ranga Rao	actor	N/A					TODO	
celeb-sada	Sada	actor	N/A					TODO	
celeb-sai-kiran	Sai Kiran	actor	N/A					TODO	
celeb-sai-ronak	Sai Ronak	actor	N/A					TODO	
