id	name_en	name_te	occupation	wikipedia_url	imdb_url	notes	status
# BATCH 2: NEXT 50 PROFILES NEEDING TELUGU NAMES

akkineni-nageswara-rao	Akkineni Nageswara Rao		actor	https://en.wikipedia.org/wiki/Akkineni_Nageswara_Rao	https://www.imdb.com/name/nm0004463/		PENDING
celeb-rajendra-prasad	Rajendra Prasad		actor	https://en.wikipedia.org/wiki/Rajendra_Prasad	https://www.imdb.com/name/nm0707399/		PENDING
celeb-vijayashanti	Vijayashanti		actress	https://en.wikipedia.org/wiki/Vijayashanti	https://www.imdb.com/name/nm0897227/		PENDING
jamuna	Jamuna		actor	https://en.wikipedia.org/wiki/Jamuna	https://www.imdb.com/name/nm0417270/		PENDING
celeb-rajinikanth	Rajinikanth		actor	https://en.wikipedia.org/wiki/Rajinikanth	https://www.imdb.com/name/nm0707425/		PENDING
celeb-suhas	Suhas		actor	https://en.wikipedia.org/wiki/Suhas	https://www.imdb.com/name/nm8819004/		PENDING
celeb-b	B		director	https://en.wikipedia.org/wiki/B	https://www.imdb.com/name/nm5611121/		PENDING
celeb-amala	Amala		actor	https://en.wikipedia.org/wiki/Amala	https://www.imdb.com/name/nm3898762/		PENDING
celeb-k	K		director	https://en.wikipedia.org/wiki/K	N/A		PENDING
celeb-raja	Raja		actor	https://en.wikipedia.org/wiki/Raja	https://www.imdb.com/name/nm0707285/		PENDING
celeb-anjali	Anjali		actor	https://en.wikipedia.org/wiki/Anjali	https://www.imdb.com/name/nm3592766/		PENDING
celeb-jagapathi-babu	Jagapathi Babu		actor	https://en.wikipedia.org/wiki/Jagapathi_Babu	https://www.imdb.com/name/nm0045075/		PENDING
celeb-radha	Radha		actor	https://en.wikipedia.org/wiki/Radha	https://www.imdb.com/name/nm10100146/		PENDING
celeb-brahmanandam	Brahmanandam		actor	https://en.wikipedia.org/wiki/Brahmanandam	https://www.imdb.com/name/nm0103977/		PENDING
kajal-aggarwal	Kajal Aggarwal		actress	https://en.wikipedia.org/wiki/Kajal_Aggarwal	https://www.imdb.com/name/nm2570245/		PENDING
celeb-k-viswanath	K. Viswanath		director	https://en.wikipedia.org/wiki/K._Viswanath	https://www.imdb.com/name/nm0899649/		PENDING
celeb-latha	Latha		actor	https://en.wikipedia.org/wiki/Latha	https://www.imdb.com/name/nm7989363/		PENDING
celeb-rajasekhar	Rajasekhar		director	https://en.wikipedia.org/wiki/Rajasekhar	https://www.imdb.com/name/nm0707362/		PENDING
celeb-suhasini	Suhasini		actor	https://en.wikipedia.org/wiki/Suhasini	N/A		PENDING
celeb-chandra-mohan	Chandra Mohan		actor	https://en.wikipedia.org/wiki/Chandra_Mohan	https://www.imdb.com/name/nm0151526/		PENDING
celeb-tarun	Tarun		actor	https://en.wikipedia.org/wiki/Tarun	https://www.imdb.com/name/nm0850761/		PENDING
celeb-bhanumathi	Bhanumathi		actor	https://en.wikipedia.org/wiki/Bhanumathi	https://www.imdb.com/name/nm0707951/		PENDING
celeb-nani	Nani		actor	https://en.wikipedia.org/wiki/Nani	https://www.imdb.com/name/nm3761004/		PENDING
mohan-babu	Mohan Babu		actor	https://en.wikipedia.org/wiki/Mohan_Babu	https://www.imdb.com/name/nm0595934/		PENDING
kanchana	Kanchana		actor	https://en.wikipedia.org/wiki/Kanchana	https://www.imdb.com/name/nm0437147/		PENDING
celeb-relangi-narasimha-rao	Relangi Narasimha Rao		director	https://en.wikipedia.org/wiki/Relangi_Narasimha_Rao	https://www.imdb.com/name/nm0718784/		PENDING
celeb-madhavi	Madhavi		actor	https://en.wikipedia.org/wiki/Madhavi	https://www.imdb.com/name/nm0534863/		PENDING
celeb-venu	Venu		actor	https://en.wikipedia.org/wiki/Venu	https://www.imdb.com/name/nm0893447/		PENDING
celeb-sivaji	Sivaji		actor	https://en.wikipedia.org/wiki/Sivaji	https://www.imdb.com/name/nm0304262/		PENDING
celeb-trisha	Trisha		actor	https://en.wikipedia.org/wiki/Trisha	N/A		PENDING
celeb-shobana	Shobana		actor	https://en.wikipedia.org/wiki/Shobana	https://www.imdb.com/name/nm0811794/		PENDING
celeb-vamsy	Vamsy		director	https://en.wikipedia.org/wiki/Vamsy	https://www.imdb.com/name/nm0885536/		PENDING
celeb-sunil	Sunil		actor	https://en.wikipedia.org/wiki/Sunil	N/A		PENDING
celeb-muthyala-subbaiah	Muthyala Subbaiah		director	https://en.wikipedia.org/wiki/Muthyala_Subbaiah	https://www.imdb.com/name/nm0836909/		PENDING
celeb-bapu	Bapu		director	https://en.wikipedia.org/wiki/Bapu	https://www.imdb.com/name/nm0003987/		PENDING
celeb-ram-gopal-varma	Ram Gopal Varma		director	https://en.wikipedia.org/wiki/Ram_Gopal_Varma	https://www.imdb.com/name/nm0890060/		PENDING
celeb-raasi	Raasi		actor	https://en.wikipedia.org/wiki/Raasi	https://www.imdb.com/name/nm0704682/		PENDING
celeb-rohit	Rohit		actor	https://en.wikipedia.org/wiki/Rohit	https://www.imdb.com/name/nm3611091/		PENDING
celeb-sumanth	Sumanth		actor	https://en.wikipedia.org/wiki/Sumanth	https://www.imdb.com/name/nm1368731/		PENDING
celeb-puri-jagannadh	Puri Jagannadh		director	https://en.wikipedia.org/wiki/Puri_Jagannadh	https://www.imdb.com/name/nm0700872/		PENDING
celeb-gopichand	Gopichand		actor	https://en.wikipedia.org/wiki/Gopichand	https://www.imdb.com/name/nm1385228/		PENDING
celeb-e-v-v-satyanarayana	E.V.V. Satyanarayana		director	https://en.wikipedia.org/wiki/E.V.V._Satyanarayana	https://www.imdb.com/name/nm0004466/		PENDING
celeb-simran	Simran		actor	https://en.wikipedia.org/wiki/Simran	https://www.imdb.com/name/nm0801264/		PENDING
