id	name_en	name_te	occupation	wikipedia_url	imdb_url	notes	status
# BATCH 5: PROFILES 201-250 NEEDING TELUGU NAMES

celeb-kanchanamala	Kanchanamala		actor	https://en.wikipedia.org/wiki/Kanchanamala	N/A		PENDING
celeb-anil-ravipudi	Anil Ravipudi		director	https://en.wikipedia.org/wiki/Anil_Ravipudi	https://www.imdb.com/name/nm3902889/		PENDING
celeb-srihari	Srihari		actor	https://en.wikipedia.org/wiki/Srihari	https://www.imdb.com/name/nm0820240/		PENDING
celeb-ravali	Ravali		actor	https://en.wikipedia.org/wiki/Ravali	https://www.imdb.com/name/nm0712259/		PENDING
celeb-laya	Laya		actor	https://en.wikipedia.org/wiki/Laya	https://www.imdb.com/name/nm0493483/		PENDING
celeb-amala-akkineni	Amala Akkineni		actor	https://en.wikipedia.org/wiki/Amala_Akkineni	https://www.imdb.com/name/nm0023839/		PENDING
celeb-lavanya-tripathi	Lavanya Tripathi		actor	https://en.wikipedia.org/wiki/Lavanya_Tripathi	https://www.imdb.com/name/nm5194945/		PENDING
celeb-kiran-abbavaram	Kiran Abbavaram		actor	https://en.wikipedia.org/wiki/Kiran_Abbavaram	https://www.imdb.com/name/nm10954569/		PENDING
celeb-pasupuleti-krishna-vamsi	Pasupuleti Krishna Vamsi		director	https://en.wikipedia.org/wiki/Pasupuleti_Krishna_Vamsi	https://www.imdb.com/name/nm0885537/		PENDING
celeb-p-vasu	P. Vasu		director	https://en.wikipedia.org/wiki/P._Vasu	https://www.imdb.com/name/nm0890864/		PENDING
celeb-charmy-kaur	Charmy Kaur		actor	https://en.wikipedia.org/wiki/Charmy_Kaur	https://www.imdb.com/name/nm0996625/		PENDING
celeb-sripriya	Sripriya		actor	https://en.wikipedia.org/wiki/Sripriya	https://www.imdb.com/name/nm0820266/		PENDING
celeb-nandita-swetha	Nandita Swetha		actor	https://en.wikipedia.org/wiki/Nandita_Swetha	https://www.imdb.com/name/nm5626108/		PENDING
m-radhakrishnan	M. Radhakrishnan		Unknown	https://en.wikipedia.org/wiki/M._Radhakrishnan	N/A		PENDING
celeb-t-krishna	T. Krishna		director	https://en.wikipedia.org/wiki/T._Krishna	https://www.imdb.com/name/nm0846615/		PENDING
celeb-akkineni-nagarjuna	Akkineni Nagarjuna		actor	https://en.wikipedia.org/wiki/Akkineni_Nagarjuna	N/A		PENDING
y-v-rao	Y. V. Rao		Unknown	https://en.wikipedia.org/wiki/Y._V._Rao	N/A		PENDING
celeb-tatineni-prakash-rao	Tatineni Prakash Rao		director	https://en.wikipedia.org/wiki/Tatineni_Prakash_Rao	N/A		PENDING
celeb-k-murali-mohan	K. Murali Mohan		director	https://en.wikipedia.org/wiki/K._Murali_Mohan	https://www.imdb.com/name/nm0613517/		PENDING
celeb-tharun-bhascker	Tharun Bhascker		director	https://en.wikipedia.org/wiki/Tharun_Bhascker	N/A		PENDING
celeb-v-ramachandra-rao	V. Ramachandra Rao		director	https://en.wikipedia.org/wiki/V._Ramachandra_Rao	N/A		PENDING
celeb-saritha	Saritha		actor	https://en.wikipedia.org/wiki/Saritha	https://www.imdb.com/name/nm0765248/		PENDING
celeb-eesha-rebba	Eesha Rebba		actor	https://en.wikipedia.org/wiki/Eesha_Rebba	https://www.imdb.com/name/nm5896361/		PENDING
celeb-ruhani-sharma	Ruhani Sharma		actor	https://en.wikipedia.org/wiki/Ruhani_Sharma	https://www.imdb.com/name/nm9202414/		PENDING
celeb-ghantasala-balaramayya	Ghantasala Balaramayya		director	https://en.wikipedia.org/wiki/Ghantasala_Balaramayya	N/A		PENDING
celeb-shraddha-das	Shraddha Das		actor	https://en.wikipedia.org/wiki/Shraddha_Das	https://www.imdb.com/name/nm3642275/		PENDING
celeb-satyadev-kancharana	Satyadev Kancharana		actor	https://en.wikipedia.org/wiki/Satyadev_Kancharana	https://www.imdb.com/name/nm8488982/		PENDING
rajasulochana	Rajasulochana		actor	https://en.wikipedia.org/wiki/Rajasulochana	N/A		PENDING
celeb-srinivas-avasarala	Srinivas Avasarala		actor	https://en.wikipedia.org/wiki/Srinivas_Avasarala	https://www.imdb.com/name/nm4015380/		PENDING
celeb-sriwass	Sriwass		director	https://en.wikipedia.org/wiki/Sriwass	https://www.imdb.com/name/nm6725244/		PENDING
celeb-thrigun	Thrigun		actor	https://en.wikipedia.org/wiki/Thrigun	https://www.imdb.com/name/nm7802204/		PENDING
celeb-vinod-kumar	Vinod Kumar		actor	https://en.wikipedia.org/wiki/Vinod_Kumar	N/A		PENDING
celeb-venu-thottempudi	Venu Thottempudi		actor	https://en.wikipedia.org/wiki/Venu_Thottempudi	https://www.imdb.com/name/nm1002353/		PENDING
celeb-l-v-prasad	L. V. Prasad		director	https://en.wikipedia.org/wiki/L._V._Prasad	https://www.imdb.com/name/nm3804736/		PENDING
celeb-anandhi	Anandhi		actor	https://en.wikipedia.org/wiki/Anandhi	https://www.imdb.com/name/nm6695317/		PENDING
celeb-ashwini	Ashwini		actor	https://en.wikipedia.org/wiki/Ashwini	https://www.imdb.com/name/nm1748460/		PENDING
celeb-b-a-subba-rao	B. A. Subba Rao		director	https://en.wikipedia.org/wiki/B._A._Subba_Rao	N/A		PENDING
celeb-a-karunakaran	A. Karunakaran		director	https://en.wikipedia.org/wiki/A._Karunakaran	https://www.imdb.com/name/nm5369429/		PENDING
celeb-bellamkonda-srinivas	Bellamkonda Srinivas		actor	https://en.wikipedia.org/wiki/Bellamkonda_Srinivas	https://www.imdb.com/name/nm6618354/		PENDING
celeb-c-s-r-anjaneyulu	C.S.R. Anjaneyulu		actor	https://en.wikipedia.org/wiki/C.S.R._Anjaneyulu	N/A		PENDING
celeb-sampoornesh-babu	Sampoornesh Babu		actor	https://en.wikipedia.org/wiki/Sampoornesh_Babu	https://www.imdb.com/name/nm7151781/		PENDING
celeb-anu-emmanuel	Anu Emmanuel		actor	https://en.wikipedia.org/wiki/Anu_Emmanuel	https://www.imdb.com/name/nm5245022/		PENDING
celeb-surender-reddy	Surender Reddy		director	https://en.wikipedia.org/wiki/Surender_Reddy	N/A		PENDING
celeb-rahul-ravindran	Rahul Ravindran		actor	https://en.wikipedia.org/wiki/Rahul_Ravindran	https://www.imdb.com/name/nm4591136/		PENDING
celeb-r-s-prakash	R. S. Prakash		director	https://en.wikipedia.org/wiki/R._S._Prakash	N/A		PENDING
celeb-chandra-siddhartha	Chandra Siddhartha		director	https://en.wikipedia.org/wiki/Chandra_Siddhartha	https://www.imdb.com/name/nm2485654/		PENDING
celeb-suman-talwar	Suman Talwar		actor	https://en.wikipedia.org/wiki/Suman_Talwar	https://www.imdb.com/name/nm0838520/		PENDING
celeb-sairam-shankar	Sairam Shankar		actor	https://en.wikipedia.org/wiki/Sairam_Shankar	https://www.imdb.com/name/nm2515284/		PENDING
celeb-chandra-mahesh	Chandra Mahesh		director	https://en.wikipedia.org/wiki/Chandra_Mahesh	N/A		PENDING
celeb-nandu-vijay-krishna	Nandu Vijay Krishna		actor	https://en.wikipedia.org/wiki/Nandu_Vijay_Krishna	N/A		PENDING
