slug	title_en	title_te	year	director	tmdb_id	has_poster	has_synopsis	url
the-paradise-2026	The Paradise		2026	Srikanth Odela	1376856	YES	YES	http://localhost:3000/movies/the-paradise-2026
sahakutumbaanaam-2026	Sahakutumbaanaam		2026	Uday Sharma	1397395	YES	YES	http://localhost:3000/movies/sahakutumbaanaam-2026
rao-bahadur-2026	Rao Bahadur		2026	Venkatesh Maha	1443961	YES	YES	http://localhost:3000/movies/rao-bahadur-2026
bhartha-mahasayulaku-wignyapthi-2026	Bhartha Mahasayulaku Wignyapthi		2026	Kishore Tirumala	1442975	YES	YES	http://localhost:3000/movies/bhartha-mahasayulaku-wignyapthi-2026
vanaveera-2026	Vanaveera		2026	Avinash Thiruveedhula	1412497	YES	YES	http://localhost:3000/movies/vanaveera-2026
ustaad-bhagat-singh-2026	Ustaad Bhagat Singh		2026	Harish Shankar	1022788	YES	YES	http://localhost:3000/movies/ustaad-bhagat-singh-2026
funky-2026	Funky		2026	Anudeep	1403737	YES	YES	http://localhost:3000/movies/funky-2026
madham-2026	Madham		2026	Vamsee Krishna Malla	1409540	YES	YES	http://localhost:3000/movies/madham-2026
nilakanta-2026	Nilakanta		2026	Rakesh Madhavan	1107009	YES	YES	http://localhost:3000/movies/nilakanta-2026
dacoit-2026	Dacoit	డకాయిట్	2026	Shaneil Deo	1220522	YES	YES	http://localhost:3000/movies/dacoit-2026
dark-chocolate-2026	Dark Chocolate		2026	Shashank Srivatsavaya	1445172	YES	YES	http://localhost:3000/movies/dark-chocolate-2026
alcohol-2026	Alcohol		2026	Meher Tej	1403166	YES	YES	http://localhost:3000/movies/alcohol-2026
spirit	Spirit		2026	Sandeep Reddy Vanga	1022789	YES	YES	http://localhost:3000/movies/spirit
anaganaga-oka-raju-2026	Anaganaga Oka Raju		2026	Maari	1407432	YES	YES	http://localhost:3000/movies/anaganaga-oka-raju-2026
peddi-2026	Peddi	పెద్ది	2026	Buchi Babu Sana	1057265	YES	YES	http://localhost:3000/movies/peddi-2026
swayambhu-2026	Swayambhu		2026	Bharath Krishnamachari	1177134	YES	YES	http://localhost:3000/movies/swayambhu-2026
