id	name_en	name_te	occupation	wikipedia_url	imdb_url	notes	status
# BATCH 4: PROFILES 151-200 NEEDING TELUGU NAMES

celeb-sree-vishnu	Sree Vishnu		actor	https://en.wikipedia.org/wiki/Sree_Vishnu	https://www.imdb.com/name/nm6783918/		PENDING
celeb-jayanthi	Jayanthi		actor	https://en.wikipedia.org/wiki/Jayanthi	https://www.imdb.com/name/nm0419682/		PENDING
celeb-aamani	Aamani		actor	https://en.wikipedia.org/wiki/Aamani	https://www.imdb.com/name/nm0007404/		PENDING
celeb-mamta-mohandas	Mamta Mohandas		actor	https://en.wikipedia.org/wiki/Mamta_Mohandas	https://www.imdb.com/name/nm1952830/		PENDING
celeb-archana	Archana		actor	https://en.wikipedia.org/wiki/Archana	https://www.imdb.com/name/nm14543550/		PENDING
celeb-suhasini-maniratnam	Suhasini Maniratnam		actor	https://en.wikipedia.org/wiki/Suhasini_Maniratnam	https://www.imdb.com/name/nm0007124/		PENDING
celeb-k-s-prakash-rao	K. S. Prakash Rao		director	https://en.wikipedia.org/wiki/K._S._Prakash_Rao	N/A		PENDING
celeb-raashii-khanna	Raashii Khanna		actor	https://en.wikipedia.org/wiki/Raashii_Khanna	https://www.imdb.com/name/nm5637317/		PENDING
celeb-sreenu-vaitla	Sreenu Vaitla		director	https://en.wikipedia.org/wiki/Sreenu_Vaitla	https://www.imdb.com/name/nm1626425/		PENDING
celeb-poorna	Poorna		actor	https://en.wikipedia.org/wiki/Poorna	https://www.imdb.com/name/nm4486082/		PENDING
celeb-v-madhusudhan-rao	V. Madhusudhan Rao		director	https://en.wikipedia.org/wiki/V._Madhusudhan_Rao	https://www.imdb.com/name/nm0710615/		PENDING
celeb-haranath	Haranath		actor	https://en.wikipedia.org/wiki/Haranath	N/A		PENDING
celeb-bharathiraja	Bharathiraja		director	https://en.wikipedia.org/wiki/Bharathiraja	https://www.imdb.com/name/nm0707300/		PENDING
celeb-nithya-menen	Nithya Menen		actor	https://en.wikipedia.org/wiki/Nithya_Menen	https://www.imdb.com/name/nm3383930/		PENDING
celeb-nandu	Nandu		actor	https://en.wikipedia.org/wiki/Nandu	N/A		PENDING
celeb-sai-kumar	Sai Kumar		actor	https://en.wikipedia.org/wiki/Sai_Kumar	https://www.imdb.com/name/nm0474871/		PENDING
celeb-samuthirakani	Samuthirakani		actor	https://en.wikipedia.org/wiki/Samuthirakani	https://www.imdb.com/name/nm2284321/		PENDING
celeb-gautami	Gautami		actor	https://en.wikipedia.org/wiki/Gautami	https://www.imdb.com/name/nm2511167/		PENDING
celeb-jeeva	Jeeva		actor	https://en.wikipedia.org/wiki/Jeeva	https://www.imdb.com/name/nm0420091/		PENDING
celeb-k-vijaya-bhaskar	K. Vijaya Bhaskar		director	https://en.wikipedia.org/wiki/K._Vijaya_Bhaskar	https://www.imdb.com/name/nm0080278/		PENDING
celeb-v-v-vinayak	V. V. Vinayak		director	https://en.wikipedia.org/wiki/V._V._Vinayak	https://www.imdb.com/name/nm1352172/		PENDING
celeb-avika-gor	Avika Gor		actor	https://en.wikipedia.org/wiki/Avika_Gor	https://www.imdb.com/name/nm3597669/		PENDING
celeb-posani-krishna-murali	Posani Krishna Murali		actor	https://en.wikipedia.org/wiki/Posani_Krishna_Murali	https://www.imdb.com/name/nm0692586/		PENDING
celeb-sreeleela	Sreeleela		actor	https://en.wikipedia.org/wiki/Sreeleela	https://www.imdb.com/name/nm10033951/		PENDING
celeb-adivi-sesh	Adivi Sesh		actor	https://en.wikipedia.org/wiki/Adivi_Sesh	https://www.imdb.com/name/nm3414188/		PENDING
celeb-srinivasa-reddy	Srinivasa Reddy		director	https://en.wikipedia.org/wiki/Srinivasa_Reddy	https://www.imdb.com/name/nm2210188/		PENDING
celeb-b-v-prasad	B. V. Prasad		director	https://en.wikipedia.org/wiki/B._V._Prasad	N/A		PENDING
celeb-kota-srinivasa-rao	Kota Srinivasa Rao		actor	https://en.wikipedia.org/wiki/Kota_Srinivasa_Rao	https://www.imdb.com/name/nm0004469/		PENDING
celeb-varun-tej	Varun Tej		actor	https://en.wikipedia.org/wiki/Varun_Tej	https://www.imdb.com/name/nm7674551/		PENDING
celeb-sudheer-varma	Sudheer Varma		director	https://en.wikipedia.org/wiki/Sudheer_Varma	N/A		PENDING
celeb-prema	Prema		actor	https://en.wikipedia.org/wiki/Prema	https://www.imdb.com/name/nm0695910/		PENDING
celeb-vani-viswanath	Vani Viswanath		actor	https://en.wikipedia.org/wiki/Vani_Viswanath	https://www.imdb.com/name/nm0899804/		PENDING
celeb-harish-shankar	Harish Shankar		director	https://en.wikipedia.org/wiki/Harish_Shankar	https://www.imdb.com/name/nm2356507/		PENDING
celeb-maheswari	Maheswari		actor	https://en.wikipedia.org/wiki/Maheswari	N/A		PENDING
celeb-santosh-shoban	Santosh Shoban		actor	https://en.wikipedia.org/wiki/Santosh_Shoban	https://www.imdb.com/name/nm9922589/		PENDING
celeb-lakshmi-manchu	Lakshmi Manchu		actor	https://en.wikipedia.org/wiki/Lakshmi_Manchu	https://www.imdb.com/name/nm1711203/		PENDING
celeb-payal-rajput	Payal Rajput		actor	https://en.wikipedia.org/wiki/Payal_Rajput	https://www.imdb.com/name/nm8906537/		PENDING
celeb-gautham-vasudev-menon	Gautham Vasudev Menon		actor	https://en.wikipedia.org/wiki/Gautham_Vasudev_Menon	https://www.imdb.com/name/nm1069826/		PENDING
celeb-c-pullaiah	C. Pullaiah		director	https://en.wikipedia.org/wiki/C._Pullaiah	N/A		PENDING
celeb-v-samudra	V. Samudra		director	https://en.wikipedia.org/wiki/V._Samudra	https://www.imdb.com/name/nm1229151/		PENDING
celeb-tanikella-bharani	Tanikella Bharani		actor	https://en.wikipedia.org/wiki/Tanikella_Bharani	https://www.imdb.com/name/nm0080238/		PENDING
celeb-tulasi	Tulasi		actor	https://en.wikipedia.org/wiki/Tulasi	https://www.imdb.com/name/nm0876310/		PENDING
celeb-gajala	Gajala		actor	https://en.wikipedia.org/wiki/Gajala	https://www.imdb.com/name/nm1271794/		PENDING
celeb-kranthi-kumar	Kranthi Kumar		director	https://en.wikipedia.org/wiki/Kranthi_Kumar	N/A		PENDING
celeb-amala-akkineni	Amala Akkineni		actor	https://en.wikipedia.org/wiki/Amala_Akkineni	https://www.imdb.com/name/nm0023839/		PENDING
celeb-srihari	Srihari		actor	https://en.wikipedia.org/wiki/Srihari	https://www.imdb.com/name/nm0820240/		PENDING
celeb-anil-ravipudi	Anil Ravipudi		director	https://en.wikipedia.org/wiki/Anil_Ravipudi	https://www.imdb.com/name/nm3902889/		PENDING
m-radhakrishnan	M. Radhakrishnan		Unknown	https://en.wikipedia.org/wiki/M._Radhakrishnan	N/A		PENDING
celeb-t-krishna	T. Krishna		director	https://en.wikipedia.org/wiki/T._Krishna	https://www.imdb.com/name/nm0846615/		PENDING
celeb-kaveri	Kaveri		actor	https://en.wikipedia.org/wiki/Kaveri	https://www.imdb.com/name/nm0442641/		PENDING
