slug	name_en	occupation	wikipedia_url	imdb_id	awards_found	status	notes
celeb-bhanuchander	Bhanuchander	actor	N/A	nm0080223		TODO	
celeb-bhanupriya	Bhanupriya	actor	N/A	nm0080228		TODO	
celeb-bhavana	Bhavana	actor	N/A	nm1418952		TODO	
celeb-bhumika-chawla	Bhumika Chawla	actor	N/A	nm0154653		TODO	
celeb-brahmaji	Brahmaji	actor	N/A	nm0103976		TODO	
celeb-c-s-r-anjaneyulu	C.S.R. Anjaneyulu	actor	N/A	N/A		TODO	
celeb-camp-sasi	Camp Sasi	actor	N/A	nm8300767		TODO	
celeb-catherine-tresa	Catherine Tresa	actor	N/A	nm5528429		TODO	
celeb-chandini-chowdary	Chandini Chowdary	actor	N/A	nm5687607		TODO	
celeb-chandra-mohan	Chandra Mohan	actor	N/A	nm0151526		TODO	
celeb-charmy-kaur	Charmy Kaur	actor	N/A	nm0996625		TODO	
celeb-chittor-v-nagaiah	Chittor V. Nagaiah	actor	N/A	N/A		TODO	
celeb-devika	Devika	actor	N/A	N/A		TODO	
celeb-divya-bharti	Divya Bharti	actor	N/A	nm0080251		TODO	
celeb-divya-vani	Divya Vani	actor	N/A	N/A		TODO	
celeb-eesha-rebba	Eesha Rebba	actor	N/A	nm5896361		TODO	
celeb-faria-abdullah	Faria Abdullah	actor	N/A	nm12260942		TODO	
celeb-gajala	Gajala	actor	N/A	nm1271794		TODO	
celeb-gautami	Gautami	actor	N/A	nm2511167		TODO	
celeb-gautham-vasudev-menon	Gautham Vasudev Menon	actor	N/A	nm1069826		TODO	
