Year	Title_EN	Director	Hero	Title_TE
2025	Show Time	Madhan Kumar Dhakshinamoorthy	Naveen Chandra	
2025	Sikandar	A. R. Murugadoss	Salman Khan	
2025	Solo Boy	P. Naveen Kumar	Posani Krishna Murali	
2025	Subham	Praveen Kandregula	Srinivas Gavireddy	
2025	Sundarakanda	Venkatesh Nimmalapudi	Nara Rohith	
2025	Suryapet Junction	Rajesh Nadendla	Eeswar	
2025	Thala	Amma Rajasekhar	Rajiv Kanakala	
2025	Thank You Dear	Thota Srikanth Kumar	Dhanush Raghumudri	
2025	The 100	Raghav Omkar Sasidhar	Anand	
2025	The Girlfriend	Rahul Ravindran	Dheekshith Shetty	
2025	The Great Pre-Wedding Show	Rahul Srinivas	Thiruveer Reddy	
2025	Tuk Tuk	Supreeth C Krishna	Harsh Roshan	
2025	Uppu Kappurambu	Ani I. V. Sasi	Suhas	
