Action,Title,Year,Actor,Reason
Added,"Kaloori",2007,"Tamannaah Bhatia",""
Added,"Kedi",2006,"Tamannaah Bhatia",""
Added,"Bāhubali: The Beginning",2015,"Tamannaah Bhatia",""
Added,"Humshakals",2014,"Tamannaah Bhatia",""
Added,"It's Entertainment",2014,"Tamannaah Bhatia",""
Added,"Babli Bouncer",2022,"Tamannaah Bhatia",""
Added,"Plan A Plan B",2022,"Tamannaah Bhatia",""
Added,"Bandra",2023,"Tamannaah Bhatia",""
Added,"Ananda Thandavam",2009,"Tamannaah Bhatia",""
Added,"Vasuvum Saravananum Onna Padichavanga",2015,"Tamannaah Bhatia",""
Added,"Bāhubali 2: The Conclusion",2017,"Tamannaah Bhatia",""
Added,"Devi(L)",2016,"Tamannaah Bhatia",""
Added,"Anbanavan Asaradhavan Adangadhavan",2017,"Tamannaah Bhatia",""
Added,"Netru Indru Naalai",2008,"Tamannaah Bhatia",""
Added,"Sketch",2018,"Tamannaah Bhatia",""
Added,"Khamoshi",2019,"Tamannaah Bhatia",""
Added,"Kanne Kalaimaane",2019,"Tamannaah Bhatia",""
Added,"Aa Bb Kk",2018,"Tamannaah Bhatia",""
Added,"Devi 2",2019,"Tamannaah Bhatia",""
Added,"Chand Sa Roshan Chehra",2005,"Tamannaah Bhatia",""
Added,"Petromax",2019,"Tamannaah Bhatia",""
Added,"Action",2019,"Tamannaah Bhatia",""
Added,"Sikandar Ka Muqaddar",2024,"Tamannaah Bhatia",""
Added,"Ranger",2026,"Tamannaah Bhatia",""
Added,"VVAN",2026,"Tamannaah Bhatia",""
Added,"Bāhubali: The Epic",2025,"Tamannaah Bhatia",""
Added,"O'Romeo",2026,"Tamannaah Bhatia",""
Added,"Sree",2005,"Tamannaah Bhatia",""
Added,"Kalloori",2007,"Tamannaah Bhatia",""
Added,"Badrinadh",2011,"Tamannaah Bhatia",""
Added,"Thadaka",2013,"Tamannaah Bhatia",""
Added,"Entertainment",2014,"Tamannaah Bhatia",""
Added,"Baahubali: The Beginning",2015,"Tamannaah Bhatia",""
Added,"Baahubali: The Beginning",2016,"Tamannaah Bhatia",""
Added,"Ranveer Ching Returns",2016,"Tamannaah Bhatia",""
Added,"Baahubali: The Beginning",2017,"Tamannaah Bhatia",""
