Year,Title,Slug,Hero,Heroine,Director,Music_Director,Cinematographer,Editor,Writer,Producer,TMDB_ID,Genres
1981,Oorukichina Maata,oorukichina-maata-1981,Chiranjeevi,Madhavi,M. Balaiah,M.S. Viswanathan,S. Navakanth,N. R. Kittu,M. Balaiah,M. Balaiah,320390,Drama
1981,Chattaniki Kallu Levu,chattaniki-kallu-levu-1981,Chiranjeevi,"Madhavi, Lakshmi",S. A. Chandrasekhar,K. Chakravarthy,V. S. R. Swamy,V. Rajeshwara Rao,S. A. Chandrasekhar,A. L. Abhinandhan,114993,Action; Crime
1981,Nyayam Kavali,nyayam-kavali-1981,Chiranjeevi,Radhika,A. Kodandarami Reddy,K. Chakravarthy,Lok Singh,Kotagiri Venkateswara Rao,D. Kaluvala,Kranthi Kumar,114995,Drama
1981,Rani Kasula Rangamma,rani-kasula-rangamma-1981,Chiranjeevi,Sridevi,T. L. V. Prasad,K. Chakravarthy,M. V. Raghu,G.G. Krishna Rao,Satyanand,T. R. Srinivas,303501,Drama
1980,Love In Singapore,love-in-singapore-1980,Chiranjeevi,Latha,O. S. R. Das,Shankar-Ganesh,S. Navakanth,N. R. Kittu,O. S. R. Das,Pinjala Nageswara Rao,1537233,Action
1980,Thathayya Premaleelalu,thathayya-premaleelalu-1980,Chiranjeevi,Geetha,B. V. Prasad,Rajan-Nagendra,B. Koteswara Rao,G. G. Krishna Rao,B. V. Prasad,B. V. Prasad,1298416,Comedy
1980,Rakta Bandham,rakta-bandham-1980,Chiranjeevi,Suvarna,Aluri Ravi,G.K. Venkatesh,P. Bhaskar Rao,N. Maheshwara Rao,Aluri Ravi,S. Vijayalakshmi,320385,Action
1980,Agni Samskaram,agni-samskaram-1980,Chiranjeevi,Maadhavi,G. V. Prabhakar,Giovanna Marini,M. V. Raghu,V. Rajeshwara Rao,G. V. Prabhakar,G. V. Prabhakar,1540960,Drama
1980,Jathara,jathara-1980,Chiranjeevi,Sripriya,Dhavala Satyam,G.K. Venkatesh,P. S. Prakash,K. Rammohan Rao,Dhavala Satyam,D. V. S. Raju,417180,Drama
1980,Nakili Manishi,nakili-manishi-1980,Chiranjeevi,Sangeeta,S. D. Lal,Satyam,S. Navakanth,N. R. Kittu,Satyanand,Vijaya Madhavi Combines,303498,Action
1980,Mogudu Kaavali,mogudu-kaavali-1980,Chiranjeevi,Jaya Prada,K. Kattama Raju,J.V. Raghavulu,S. Navakanth,N. R. Kittu,K. Kattama Raju,K. Kattama Raju,114633,Comedy
1980,Punnami Naagu,punnami-naagu-1980,Chiranjeevi,Rati Agnihotri,M. Rajendra Prasad,K. Chakravarthy,S. Gopal Reddy,V. Rajeshwara Rao,M. Rajendra Prasad,Alaparthi Suryanarayana,303496,Horror; Thriller
1980,Aarani Mantalu,aarani-mantalu-1980,Chiranjeevi,Kavita,K. Vasu,Satyam,P. S. Prakash,K. Nageswara Rao,K. Vasu,K. Vasu,1152060,Action
1980,Chandipriya,chandipriya-1980,Chiranjeevi,Jayaprada,V. Madhusudhan Rao,P. Adinarayana Rao,V. S. R. Swamy,G. G. Krishna Rao,V. Madhusudhan Rao,P. Adinarayana Rao,441221,Drama
1979,Kotta Alludu,kotta-alludu-1979,Chiranjeevi,Jaya Prada,P. Sambasiva Rao,K.V. Mahadevan,S. Navakanth,G.G. Krishna Rao,Satyanand,M. Satyanarayana,246011,Drama
1979,Kukka Katuku Cheppu Debba,kukka-katuku-cheppu-debba-1979,Chiranjeevi,Madhavi,Eeranki Sharma,M. S. Viswanathan,M. V. Raghu,G. G. Krishna Rao,Eeranki Sharma,S. R. Santhanam,417277,Drama
1979,Punadhirallu,punadhirallu-1979,Chiranjeevi,Roja Ramani,Rajkumar,Afzal Ali,P. S. Nivas,K. Balu,Rajkumar,Kranthi Kumar,303494,Drama
1979,I Love You,i-love-you-1979,Chiranjeevi,Suvarna,Vayu Nandana Rao,Satyam,S. Navakanth,N. R. Kittu,Vayu Nandana Rao,Vayu Nandana Rao,311029,Romance
1979,Sri Rama Bantu,sri-rama-bantu-1979,Chiranjeevi,Geetha,I.S. Murthy,Satyam,V. S. R. Swamy,V. Rajeshwara Rao,I.S. Murthy,Y. V. Rao,1301213,Action
1979,Kothala Raayudu,kothala-raayudu-1979,Chiranjeevi,Madhavi,K. Vasu,J. V. Raghavulu,P. S. Prakash,K. Nageswara Rao,K. Vasu,K. Vasu,358316,Comedy
1978,Pranam Khareedu,pranam-khareedu-1978,Chiranjeevi,Jayasudha,K. Vasu,K. Chakravarthy,B.S. Lokanath,K. Nageswara Rao,C.S. Rao,Kranthi Kumar,279365,Drama
