Year,Title,Slug,Hero,Heroine,Director,Music_Director,Cinematographer,Editor,Writer,Producer,TMDB_ID,Genres
1995,Alluda Majaka,alluda-majaka-1995,Chiranjeevi,Ramya Krishna,E.V.V. Satyanarayana,Koti,Chota K. Naidu,Kotagiri Venkateswara Rao,E.V.V. Satyanarayana,Devi Vara Prasad,56391,Comedy; Action
1994,The Gentleman,the-gentleman-1994,Chiranjeevi,Juhi Chawla,Mahesh Bhatt,Anu Malik,Jeeva,Zafar Sultan,Mahesh Bhatt,Allu Aravind,410224,Action; Thriller
1994,Mugguru Monagallu,mugguru-monagallu-1994,Chiranjeevi,"Nagma, Roja",K. Raghavendra Rao,Vidyasagar,Ajay Vincent,Kotagiri Venkateswara Rao,Satyanand,Nagendra Babu,115049,Action; Comedy
1994,S.P. Parasuram,sp-parasuram-1994,Chiranjeevi,Sridevi,Ravi Raja Pinisetty,M.M. Keeravani,Lok Singh,Gautham Raju,Ravi Raja Pinisetty,G.K. Reddy,318859,Action; Crime
1993,Mechanic Alludu,mechanic-alludu-1993,Chiranjeevi,Vijayashanti,B. Gopal,Raj-Koti,V.S.R. Swamy,Kotagiri Venkateswara Rao,Satyanand,Allu Aravind,115046,Action; Comedy
1993,Muta Mestri,muta-mestri-1993,Chiranjeevi,"Meena, Roja",A. Kodandarami Reddy,Raj-Koti,Lok Singh,Gowtham Raju,Satyanand,K.C. Reddy,115045,Action; Drama
1992,Aaj Ka Goonda Raaj,aaj-ka-goonda-raaj-1992,Chiranjeevi,Meenakshi Seshadri,Ravi Raja Pinisetty,Anand-Milind,Lok Singh,Vellai Swamy,Ravi Raja Pinisetty,Suresh Krissna,242907,Action; Drama
1992,Gharana Mogudu,gharana-mogudu-1992,Chiranjeevi,Nagma,K. Raghavendra Rao,M.M. Keeravani,Ajay Vincent,Ferris Webster,Satyanand,K. Devi Vara Prasad,43232,Action; Comedy
1992,Aapadbandhavudu,aapadbandhavudu-1992,Chiranjeevi,Meenakshi Seshadri,K. Viswanath,M.M. Keeravani,Kasturi,Gianfranco Amicucci,K. Viswanath,Edida Nageswara Rao,115042,Drama; Romance
1991,Rowdy Alludu,rowdy-alludu-1991,Chiranjeevi,"Shobana, Divya Bharti",K. Raghavendra Rao,Bappi Lahiri,Ajay Vincent,Kotagiri Venkateswara Rao,Satyanand,Allu Aravind,108503,Action; Comedy
1991,Stuartpuram Police Station,stuartpuram-police-station-1991,Chiranjeevi,Vijayashanti,Yandamoori Veerendranath,Ilaiyaraaja,Lok Singh,Gautham Raju,Yandamuri Veerendranath,K.S. Rama Rao,115038,Action; Thriller
1991,Gang Leader,gang-leader-1991,Chiranjeevi,Vijayashanti,Vijaya Bapineedu,Bappi Lahiri,Lok Singh,Hemanti Sarkar,Vijaya Bapineedu,Maganti Ravindranth,410214,Action; Drama
1991,Stuvartpuram Dongalu,stuvartpuram-dongalu-1991,Chiranjeevi,Vijayashanti,Malineni Lakshman,Mani Sharma,Lok Singh,V. Nageswara Rao,Malineni Lakshman,Nagendra Babu,410228,Action; Crime
1990,Raja Vikramarka,raja-vikramarka-1990,Chiranjeevi,"Amala, Radhika",Ravi Raja Pinisetty,Raj-Koti,Lok Singh,Gautham Raju,Paltu,P. Amaranatha Reddy,279123,Action; Comedy
1990,Pratibandh,pratibandh-1990,Chiranjeevi,Juhi Chawla,Ravi Raja Pinisetty,Laxmikant-Pyarelal,S. Gopal Reddy,Vellai Swamy,Ravi Raja Pinisetty,Allu Aravind,109631,Action
1990,Jagadeka Veerudu Athiloka Sundari,jagadeka-veerudu-athiloka-sundari-1990,Chiranjeevi,Sridevi,K. Raghavendra Rao,Ilaiyaraaja,Ajay Vincent,Patrick G. Donahue,Jandhyala,C. Ashwini Dutt,108501,Fantasy; Action
1990,Kodama Simham,kodama-simham-1990,Chiranjeevi,"Sonam, Radha",K. Murali Mohana Rao,Raj-Koti,Lok Singh,Jerry Young,Satyanand,Kaikala Satyanarayana,115037,Western; Action
1990,Kondaveeti Donga,kondaveeti-donga-1990,Chiranjeevi,"Vijayashanti, Radha",A. Kodandarami Reddy,Ilaiyaraaja,Lok Singh,V. Nageswara Rao,Yandamuri Veerendranath,T. Trivikrama Rao,115035,Action; Adventure
