"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Missamma","1955","lead","Yes","","tmdb","0.50","Exists","86148",""
"Sri Krishnavataram","1967","lead","Yes","","tmdb","0.50","Exists","414241",""
"Babruvahana","1964","lead","Yes","","tmdb","0.50","Exists","1325592",""
"Nindu Hrudayalu","1969","lead","Yes","","tmdb","0.50","Exists","420502",""
"Sri Ramaanjaneya Yuddham","1975","lead","Yes","","tmdb","0.50","Exists","420508",""
"Bobbili Yuddham","1964","lead","Yes","","tmdb","0.50","Exists","307395",""
"Sampoorna Ramayanam","1958","lead","Yes","","tmdb","0.50","Added","467510",""
"Ali Baba 40 Dongalu","1970","lead","Yes","","tmdb","0.50","Exists","489433",""
"Parivartana","1954","lead","Yes","","tmdb","0.50","Exists","514434",""
"Aaptha Mithrulu","1963","lead","Yes","","tmdb","0.50","Exists","529118",""
"Aaradhana","1976","lead","Yes","","tmdb","0.50","Added","361739",""
"Badi Panthulu","1972","lead","Yes","","tmdb","0.50","Exists","304932",""
"Bandipotu","1963","lead","Yes","","tmdb","0.50","Exists","307379",""
"Appu Chesi Pappu Koodu","1959","lead","Yes","","tmdb","0.50","Exists","307129",""
"Tenali Ramakrishna","1956","lead","Yes","","tmdb","0.50","Exists","205728",""
"Bhishma","1962","lead","Yes","","tmdb","0.50","Exists","307392",""
"Pandava Vanavasamu","1965","lead","Yes","","tmdb","0.50","Exists","86147",""
"Yugapurushudu","1978","lead","Yes","","tmdb","0.50","Added","651576",""
"Sardar Papa Rayudu","1980","lead","Yes","","tmdb","0.50","Exists","663111",""
"Intiguttu","1958","lead","Yes","","tmdb","0.50","Exists","307470",""
"Eduruleni Manishi","1975","lead","Yes","","tmdb","0.50","Exists","675970",""
"Jayam Manade","1956","lead","Yes","","tmdb","0.50","Exists","690107",""
"Chandirani","1953","lead","Yes","","tmdb","0.50","Exists","307403",""
"Bobbili Puli","1982","lead","Yes","","tmdb","0.50","Exists","85954",""
"Bala Nagamma","1959","lead","Yes","","tmdb","0.50","Exists","307421",""
"Srimadvirat Veerabrahmendra Swami Charitra","1984","lead","Yes","","tmdb","0.50","Exists","706757",""
"Brahmarshi Vishwamitra","1991","lead","Yes","","tmdb","0.50","Exists","724073",""
"Chikkadu Dorakadu","1967","lead","Yes","","tmdb","0.50","Exists","302144",""
"Ramu","1968","lead","Yes","","tmdb","0.50","Exists","262362",""
"Palnati Yudham","1966","lead","Yes","","tmdb","0.50","Exists","302236",""
"Banda Ramudu","1959","lead","Yes","","tmdb","0.50","Exists","302134",""
"Sangham","1954","lead","Yes","","tmdb","0.50","Exists","714210",""
"Vayyari Bhamalu Vagalamari Bhartalu","1982","lead","Yes","","tmdb","0.50","Added","517718",""
"Aatagadu","1980","lead","Yes","","tmdb","0.50","Added","503585",""
"Vetagadu","1979","lead","Yes","","tmdb","0.50","Added","304374",""
"Yamagola","1977","lead","Yes","","tmdb","0.50","Exists","306962",""
"Aggi Barata","1966","lead","Yes","","tmdb","0.50","Added","113772",""
"Pelli Chesi Choodu","1952","lead","Yes","","tmdb","0.50","Exists","833737",""
"Kathanayakudu","1969","lead","Yes","","tmdb","0.50","Exists","1383494",""
"Sri Krishnarjuna Yudham","1963","lead","Yes","","tmdb","0.50","Exists","226290",""
"Sri Krishna Tulabharam","1966","lead","Yes","","tmdb","0.50","Exists","1397445",""
"Gudi Gantalu","1964","lead","Yes","","tmdb","0.50","Added","1403464",""
"Mangamma Sapatham","1965","lead","Yes","","tmdb","0.50","Exists","319767",""
"Baghdad Gaja Donga","1968","lead","Yes","","tmdb","0.50","Exists","1453682",""
"Ekaveera","1969","lead","Yes","","tmdb","0.50","Added","1449457",""
"Samsaram","1950","lead","Yes","","tmdb","0.50","Added","1567967",""
