#	Year	Title	Heroine	Director	Music	Cinematographer	Producer	Supporting Cast
30	2000	Manasunna Maaraju	Laya	Muppalaneni Siva	Vandemataram Srinivas	Muppalaneni Shiva	DVV Danayya	Rajitha, Kota Srinivasa Rao, Flora Saini, Brahmanandam
31	2000	Kalisundam Raa	Simran	Udayasankar	S A Rajkumar	S. Gopal Reddy	Daggubati Suresh Babu	K. Viswanath, Ranganath, Srihari, Brahmanandam
32	2000	Jayam Manadera	Soundarya	N.Shankar	Vandemataram Srinivas	S. Gopal Reddy	Daggubati Suresh Babu	Meena Vasu, Bhanupriya, Ali Basha, Brahmanandam
33	1999	Raja	Soundarya	Muppalaneni Shiva	S A Rajkumar	Prasad Murella	R. B. Choudary	Abbas, Tanikella Bharani, Brahmanandam, Y. Vijaya
34	1999	Seenu	Twinkle Khanna	Sasi	Mani Sharma	A. Ramaraju	R. B. Choudary	Sudhakar, Brahmaji, Prakash Raj, Brahmanandam
35	1999	Maa Balaji	Maheswari	Kodi Ramakrishna	S.A. Rajkumar	Venu	S.P. Naidu	Brahmanandam, Kota Srinivasa Rao, Suthi Velu
36	1999	Bobbili Vamsam	Rambha	A. Kodandarami Reddy	M.M. Keeravani	S. Gopal Reddy	V. Doraswamy Raju	Meena, Satyanarayana, Kota Srinivasa Rao
37	1998	Ganesh	Madhoo	Tirupathi Swamy	Mani Sharma	Balu	Daggubati Suresh Babu	Keerthana, Chandramohan, Rambha, Brahmanandam
38	1998	Premante Ideraa	Preity Zinta	Jayant Paranji	Ramana Gogula	Rasool Ellore	Sivarama Krishna B	Prema
39	1997	Pelli Chesukundam	Soundarya	Muthyala Subbaiah	Saluri Koteswara Rao	A. Ravindra Babu	G. Sivaraju	Laila, Sudhakar, Mohanraj, Prakash Raj
40	1997	Preminchukundam Raa	Anjala Zaveri	Jayant Paranji	Mahesh Mahadevan	A. Ravindra Babu	Siva Rama Krishna B.	Chandramohan, Sudha, Jayaprakash Reddy, Brahmanandam
41	1997	Veedevadandi Babu	Shilpa Shetty	E.V.V. Satyanarayana	Koti	Rajan Kothari	Davuluri Rama Rao	Brahmanandam, Kota Srinivasa Rao, Reema Sen
42	1997	Chinnabbayi	Ramya Krishnan	K. Viswanath	Ilaiyaraaja	P.S. Prakash	M. Narasimha Rao	Kota Srinivasa Rao, Sarath Babu, Brahmanandam
43	1996	Saahasa Veerudu Saagara Kanya	Shilpa Shetty Kundra	K Raghavendra Rao	M.M. Keeravaani	S. Gopal Reddy	Burugupalli Shiva Rama Krishna	Malashri, Kaikala Satyanarayana, Brahmanandam, Kota Srinivasa Rao
44	1996	Intlo Illalu Vantintlo Priyuralu	Soundarya	E.V.V. Satyanarayana	Saluri Koteswara Rao	Rajan Kothari	K. L. Narayana	Vinita, Brahmanandam, Kota Srinivasa Rao, Mallikarjuna Rao
45	1996	Sarada Bullodu	Nagma	Ravi Raja Pinisetty	Saluri Koteswara Rao	A. Ravindra Babu	Trivikrama Rao T.	Brahmanandam
46	1996	Dharma Chakram	Srividya	Suresh Krissna	M M Sreelekha	P.S. Prakash	D. Rama Naidu	Girish Karnad, Ramya Krishnan, Prema, Amanchi Venkata Subrahmanyam
