#,Year,Title,Slug,TMDB_ID,Hero,Heroine,Supporting_Cast,Director,Music_Director,Cinematographer,Producer,Editor,Writer,Choreographer,Art_Director,Lyricist
"18","2006","Lakshmi","lakshmi-2006","77035","Daggubati Venkatesh","Nayanthara","Charmy Kaur; Rajiv Kanakala; Sharwanand; Sayaji Shinde; Sunil Varma","V. V. Vinayak","Ramana Gogula","Chota K. Naidu","Nallamalupu Bujji","Gautham Raju","V. V. Vinayak","","",""
"19","2005","Subash Chandra Bose","subash-chandra-bose-2005","279461","Daggubati Venkatesh","Genelia D'souza","Prakash Raj; Venkateswara Rao Paruchuri; Tanikella Bharani; Brahmanandam","K Raghavendra Rao","Mani Sharma","Ravindra Babu","C. Ashwini Dutt","Kotagiri Venkateswara Rao","Paruchuri Brothers","","",""
"20","2005","Sankranti","sankranti-2005","256729","Daggubati Venkatesh","Sneha, Aarti Agarwal","Aarti Agarwal[heroine2]; Siva Balaji; Sharwanand; Sangeetha","Muppalaneni Shiva","S.A. Rajkumar","Prasad Murella","R.B. Choudary","Nandamuri Hari","Paruchuri brothers","","",""
"21","2004","Malliswari","malliswari-2004","81082","Daggubati Venkatesh","Katrina Kaif","Kota Srinivasa Rao; Sunil Varma; Brahmanandam; Hema; Tanikella Bharani","K. Vijaya Bhaskar","Mani Sharma, Koti","Shyam K. Naidu","D. Suresh Babu","Sreekar Prasad","Trivikram Srinivas","","",""
"22","2004","Gharshana","gharshana-2004","63671","Daggubati Venkatesh","Asin Thottumkal","Salim Baig; Ravi Prakash; Daniel Balaji; Vamsi Krishna; Yana Gupta","Gautham Vasudev Menon","Harris Jayaraj","Ravi K. Chandran","G. Sivaraju C. Venkataraju","Anthony","Gautham Vasudev Menon","","",""
"23","2004","Shivashankar","shivashankar-2004","354674","Daggubati Venkatesh","Soundarya","Mohan Babu; Jayasudha","Kapuganti Rajendra","Ilaiyaraaja","K. S. Hari","Mohan Babu","","","","",""
"24","2003","Vasantam","vasantam-2003","218846","Daggubati Venkatesh","Aarti Agarwal","Kalyani; Akash","Vikraman","S.A. Rajkumar","S. Saravanan","N.V. Prasad","Marthand K. Venkatesh","Chintapalli Ramana","","",""
"25","2002","Gemeni","gemeni-2002","279464","Daggubati Venkatesh","Namitha","Kalabhavan Mani; Kota Srinivasa Rao; Murali; Brahmanandam; Posani Krishna Murali","Saran","R. P. Patnaik","A. Venkatesh","B. Gurunath","Suresh Urs","Saran","","",""
"26","2002","Vasu","vasu-2002","82723","Daggubati Venkatesh","Bhumika Chawla","Vijayakumar; Sunil Varma; Brahmaji; Achyuth; Ali Basha","A. Karunakaran","Harris Jayaraj","P.S. Vinod","K. S. Rama Rao","Marthand K Venkatesh","A. Karunakaran","","",""
"27","2001","Prematho Raa","prematho-raa-2001","279466","Daggubati Venkatesh","Simran","Flora Saini; Prema; Kota Srinivasa Rao; Suresh; Murali Mohan","Udayasankar","Mani Sharma","S. Gopal Reddy","T. Trivikrama Rao","Marthand K Venkatesh","","","",""
