Year	Title	Slug	Hero	Heroine	Director	Music Director	Cinematographer	Editor	Writer	Producer	TMDB ID	Genres
2010	Betting Bangarraju	betting-bangarraju-2010	Allari Naresh	Surekha Vani	E. Sathi Babu	Shekar Chandra			Nagaraju Gandham	Ramoji Rao	77799	Drama; Comedy; Thriller
2010	Shubhapradham	shubhapradham-2010	Allari Naresh	Manjari Phadnis	K. Viswanath	K. Viswanath	K. Viswanath			Allari Naresh		Drama; Family; Comedy
2010	Kathi Kantha Rao	kathi-kantha-rao-2010	Allari Naresh	Kamna Jethmalani	E V V Satyanarayana	E. V. V. Satyanarayana	E. V. V. Satyanarayana	Mallikarjun		Allari Naresh		Comedy; Action; Romance
2010	Saradaga Kasepu	saradaga-kasepu-2010	Allari Naresh	Madhuri Itagi	Vamsy	Vamsy			Sankaramanchi	Allari Naresh	200305	Comedy; Romance; Family
2009	Bendu Apparao R.M.P	bendu-apparao-r-m-p-2009	Allari Naresh	Kamna Jethmalani	E. V. V. Satyanarayana	Koti	V. Jayaram	Gautham Raju	E. V. V. Satyanarayana Veligonda Srinivas  (dialogues)	D. Ramanaidu	117008	Comedy
2008	Aapada Mokkulavaadu	aapada-mokkulavaadu-2008	Allari Naresh	Ankita	Ram Gopal Varma							Comedy; Action; Drama
2008	Vishaka Express	vishaka-express-2008	Allari Naresh	Vijayalakshmi	C. Ramakrishna	Vijay Kurakula	P.K.H. Das	Ravindra Babu	Chandra Sekhar Yeleti	P. Tulasi Gopal	281937	Action; Drama; Thriller
2008	Blade Babji	blade-babji-2008	Allari Naresh	Hema	Devi Prasad	Koti	A. Raja	Nandamuri Hari	Satish Vegesna	Muthyala Satya Kumar	80943	Comedy; Romance
2008	Bommana Brothers Chandana Sisters	bommana-brothers-chandana-sisters-2008	Allari Naresh	Krishna Bhagavan	Srinivas Reddy	M. M. Srilekha		Marthand K Venkatesh		Ammiraju Kanumilli	117010	Comedy; Drama
2008	Dongala Bandi	dongala-bandi-2008	Allari Naresh	Kovai Sarala	Satish Vegesna	Valluri Raja Sekhar			Satish Vegesna		307892	Adventure; Comedy
2008	Siddu from Srikakulam	siddu-from-srikakulam-2008	Allari Naresh	Manjari Fadnnis	Eashwar	K M Radha Krishnan	Dasaradhi Sivendra	Kotagiri Venkateswara Rao	Eashwar	Malla Vijaya Prasad	82570	Comedy
2008	Sundarakanda	sundarakanda-2008	Allari Naresh	Charmme Kaur	Bapu	Vidyasagar	P. R. K. Raju	A. Sreekar Prasad	Mullapudi Venkata Ramana	K. Aparna		Drama; Romance; Family; Mythological
2007	Allare Allari	allare-allari-2007	Allari Naresh	Parvati Melton	Muppalaneni Siva	Chakri		K. Ramesh		S. K. Basheed		Comedy; Romance; Drama
2007	Athili Sathibabu LKG	athili-sathibabu-lkg-2007	Allari Naresh	Kausha Rach	E.V.V. Satyanarayana				E.V.V. Satyanarayana	E.V.V. Satyanarayana	200029	Comedy
2006	Kittu	kittu-2006	Allari Naresh	Gowri Pandit	Evv Satyanarayana				Hota Agni Kumar &amp; B. Satya	Bhargava Kodavanti		Drama; Romance; Family; Comedy
2006	Kithakithalu	kithakithalu-2006	Allari Naresh	Madhavi Latha	Evani Shivaji	Sathyam	V. Jayaram	Gautham Raju	E. V. V. Satyanarayana	E. V. V. Satyanarayana		Comedy; Romance; Drama; Family
2006	Gopi Goda Meeda Pilli	gopi-goda-meeda-pilli-2006	Allari Naresh	Jagapati Babu	Janardhan Maharshi	Saluri Koteswara Rao	V Srinivasa Reddy	Kotagiri Venkateswara Rao		Polisetti Rambabu	531025	Comedy
2006	Party	party-2006	Allari Naresh	Shashank	Ravi Babu	Chakri			Ravi Babu	Kumar Katineni	410268	Comedy; Drama; Family
2004	Nenu	nenu-2004	Allari Naresh	Veda Archana	E	Vidyasagar	C. Ramprasad		Selva Raghavan	Maullapudi Brahmanandam	869246	Drama; Romance; Comedy
2003	Maa Alludu Very Good	maa-alludu-very-good-2003	Allari Naresh	Mounica	Rajendra Prasad, Allari Naresh, Ramya Krishna, Mounika, Kovai Sarala	M. M. Keeravani	V. Srinivasa Reddy	Gautham Raju	Janardhana Maharshi	M.Ramalinga Raju	117847	Comedy; Drama; Romance
2003	Pelli Kani Prasad	pelli-kani-prasad-2008	Allari Naresh	Sridevi Vijaykumar	Satyam Dwarapudi	Sekar Chandra	Sujatha Siddharth	Madhu	.mw-parser-output .plainlist ol	K. Y. Babu	1142514	Drama; Romance; Family
2003	Juniors	juniors-2003	Allari Naresh	Shirya	J. Pulla Rao	Chakri		Gautham Raju	Marudhuri Raja	D. V. V. Danayya		Drama; Romance; Family
2002	Thotti Gang	thotti-gang-2002	Allari Naresh	Gajala	E.V.V. Satyanarayana	Devi Sri Prasad	Loganathan Srinivasan	Marthand K. Venkatesh	E. V. V. Satyanarayana	E. V. V. Satyanarayana	228341	Comedy; Drama; Family
2002	Dhanalakshmi, I Love You	dhanalakshmi-i-love-you-2002	Allari Naresh	Aditya Om	Siva Nageswara Rao							Drama; Romance; Family; Comedy
2002	Allari	allari-2002	Allari Naresh	Shweta Agarwal	Ravi Babu	Paul J	Loganathan Srinivasan	Marthand K. Venkatesh	Nivas  (dialogues)	Ravi Babu	115056	Comedy; Romance
