"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Kallukkul Eeram","1980","supporting","No","","wikidata","0.50","Added","","tt0155793"
"Pelleedu Pillalu","1982","supporting","No","","wikidata","0.50","Exists","","tt0155952"
"Nizhal Thedum Nenjangal","1982","supporting","No","","wikidata","0.50","Added","","tt0280997"
"Sangharshana","1983","supporting","No","","wikidata","0.50","Exists","","tt0246213"
"Agni Parvatam","1985","supporting","No","","wikidata","0.50","Exists","","tt0257374"
"Dhairyavanthudu","1986","supporting","No","","wikidata","0.50","Exists","","tt0245851"
"Padamati Sandhya Ragam","1986","supporting","No","","wikidata","0.50","Exists","","tt0251919"
"Pratighatana","1986","supporting","No","","wikidata","0.50","Exists","","tt0250665"
"Swayam Krushi","1987","supporting","No","","wikidata","0.50","Added","","tt0246262"
"Athaku Yamudu Ammayiki Mogudu","1989","supporting","No","","wikidata","0.50","Exists","","tt0245731"
"Kartavyam","1990","supporting","No","","wikidata","0.50","Exists","","tt0250463"
"Maga Rayudu","1994","supporting","No","","wikidata","0.50","Exists","","tt1579622"
"Gunda Gardi","1997","supporting","No","","wikidata","0.50","Added","",""
"Kallu Kondoru Pennu","1998","supporting","No","","wikidata","0.50","Added","","tt0280815"
"Naayudamma","2006","supporting","No","","wikidata","0.50","Added","","tt23732084"
