Section,Title,Year,Slug,Current Value,Suggested Value,Action
Missing producer,"Babayi-Abbayi",1985,babayi-abbayi-1985,,,"Fill"
Missing tmdb_id,"Babayi-Abbayi",1985,babayi-abbayi-1985,,,"Fill"
Missing cinematographer,"Bhale Thammudu",1985,bhale-thammudu-1985,,,"Fill"
Missing editor,"Bhale Thammudu",1985,bhale-thammudu-1985,,,"Fill"
Missing writer,"Bhale Thammudu",1985,bhale-thammudu-1985,,,"Fill"
Missing producer,"Bhale Thammudu",1985,bhale-thammudu-1985,,,"Fill"
Missing tmdb_id,"Bhale Thammudu",1985,bhale-thammudu-1985,,,"Fill"
Missing cinematographer,"Babai Abbai",1985,babai-abbai-1985,,,"Fill"
Missing editor,"Babai Abbai",1985,babai-abbai-1985,,,"Fill"
Missing writer,"Babai Abbai",1985,babai-abbai-1985,,,"Fill"
Missing producer,"Babai Abbai",1985,babai-abbai-1985,,,"Fill"
Missing tmdb_id,"Babai Abbai",1985,babai-abbai-1985,,,"Fill"
Missing cinematographer,"Pattabhishekam",1985,pattabhishekam-1985,,,"Fill"
Missing editor,"Pattabhishekam",1985,pattabhishekam-1985,,,"Fill"
Missing writer,"Pattabhishekam",1985,pattabhishekam-1985,,,"Fill"
Missing producer,"Pattabhishekam",1985,pattabhishekam-1985,,,"Fill"
Missing tmdb_id,"Pattabhishekam",1985,pattabhishekam-1985,,,"Fill"
Missing cinematographer,"Justice Chakravarthy",1984,justice-chakravarthy-1984,,,"Fill"
Missing editor,"Justice Chakravarthy",1984,justice-chakravarthy-1984,,,"Fill"
