"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Puli","1985","supporting","No","","wikidata","0.50","Added","","tt0246175"
"Adavi Donga","1985","supporting","No","","wikidata","0.50","Exists","","tt0245683"
"Chattamtho Poratam","1985","supporting","No","","wikidata","0.50","Exists","",""
"Donga","1985","supporting","No","","wikidata","0.50","Exists","","tt0245871"
"Raktha Sindhuram","1985","supporting","No","","wikidata","0.50","Added","","tt0246188"
"Veta","1986","supporting","No","","wikidata","0.50","Exists","","tt0246313"
"Rakshasudu","1986","supporting","No","","wikidata","0.50","Exists","","tt0246186"
"Kirathakudu","1986","supporting","No","","wikidata","0.50","Exists","","tt0245995"
"Chantabbai","1986","supporting","No","","wikidata","0.50","Exists","","tt0245829"
"Dhairyavanthudu","1986","supporting","No","","wikidata","0.50","Exists","","tt0245851"
"Kodama Simham","1986","supporting","No","","wikidata","0.50","Added","","tt0246007"
"Kondaveeti Raja","1986","supporting","No","","wikidata","0.50","Exists","","tt0246009"
"Magadheerudu","1986","supporting","No","","wikidata","0.50","Exists","","tt0246052"
"Chakravarthy","1987","supporting","No","","wikidata","0.50","Exists","","tt0245824"
"Pasivadi Pranam","1987","supporting","No","","wikidata","0.50","Exists","","tt0246144"
"Aradhana","1987","supporting","No","","wikidata","0.50","Exists","","tt0092578"
"Donga Mogudu","1987","supporting","No","","wikidata","0.50","Exists","","tt0245872"
"Jebu Donga","1987","supporting","No","","wikidata","0.50","Exists","","tt0245980"
"Swayam Krushi","1987","supporting","No","","wikidata","0.50","Added","","tt0246262"
"Trinetrudu","1988","supporting","No","","wikidata","0.50","Exists","","tt0246290"
"Yamudiki Mogudu","1988","supporting","No","","wikidata","0.50","Exists","","tt0246339"
"Yudda Bhoomi","1988","supporting","No","","wikidata","0.50","Exists","","tt0246342"
"Rudraveena","1988","supporting","No","","wikidata","0.50","Exists","","tt0155124"
"Khaidi No.786","1988","supporting","No","","wikidata","0.50","Exists","","tt0245998"
"Manchi Donga","1988","supporting","No","","wikidata","0.50","Exists","","tt0246062"
"Marana Mrudangam","1988","supporting","No","","wikidata","0.50","Exists","","tt0246064"
"Athaku Yamudu Ammayiki Mogudu","1989","supporting","No","","wikidata","0.50","Exists","","tt0245731"
"Lankeshwarudu","1989","supporting","No","","wikidata","0.50","Exists","","tt0246032"
"Rudranetra","1989","supporting","No","","wikidata","0.50","Exists","","tt0246204"
"State Rowdy","1989","supporting","No","","wikidata","0.50","Exists","","tt0246254"
"Jagadeka Veerudu Athiloka Sundari","1990","supporting","No","","wikidata","0.50","Exists","","tt0177484"
"Kodama Simham","1990","supporting","No","","wikidata","0.50","Exists","","tt0246007"
"Kondaveeti Donga","1990","supporting","No","","wikidata","0.50","Exists","","tt0246008"
"Pratibandh","1990","supporting","No","","wikidata","0.50","Added","","tt0100401"
"Raja Vikramarka","1990","supporting","No","","wikidata","0.50","Exists","","tt0246184"
"Gang Leader","1991","supporting","No","","wikidata","0.50","Exists","","tt0245911"
"Rowdy Alludu","1991","supporting","No","","wikidata","0.50","Exists","","tt0246203"
"Aaj Ka Goonda Raj","1992","supporting","No","","wikidata","0.50","Added","","tt0247909"
"Gharana Mogudu","1992","supporting","No","","wikidata","0.50","Exists","","tt0245917"
"Mutha Mestri","1993","supporting","No","","wikidata","0.50","Added","","tt0246095"
"Mechanic Alludu","1993","supporting","No","","wikidata","0.50","Exists","","tt0246073"
"The Gentleman","1994","supporting","No","","wikidata","0.50","Added","","tt0172487"
"Mugguru Monagallu","1994","supporting","No","","wikidata","0.50","Exists","","tt0246090"
"S. P. Parasuram","1994","supporting","No","","wikidata","0.50","Added","","tt0275708"
"Alluda Majaka","1995","supporting","No","","wikidata","0.50","Exists","","tt0245704"
"Big Boss","1995","supporting","No","","wikidata","0.50","Exists","","tt0245768"
"Rikshavodu","1995","supporting","No","","wikidata","0.50","Exists","","tt0246198"
"Sipayi","1996","supporting","No","","wikidata","0.50","Added","","tt13802196"
"Hitler","1997","supporting","No","","wikidata","0.50","Exists","","tt0245944"
"Master","1997","supporting","No","","wikidata","0.50","Exists","","tt0246070"
"Bavagaru Bagunnara?","1998","supporting","No","","wikidata","0.50","Exists","","tt0245755"
"Choodalani Vundi","1998","supporting","No","","wikidata","0.50","Exists","","tt0245835"
"Iddaru Mitrulu","1999","supporting","No","","wikidata","0.50","Exists","","tt0245961"
"Hands Up!","2000","supporting","No","","wikidata","0.50","Added","","tt1575559"
"Annayya","2000","supporting","No","","wikidata","0.50","Exists","","tt0239236"
"Sri Manjunatha","2001","supporting","No","","wikidata","0.50","Added","","tt0249783"
"Mrugaraju","2001","supporting","No","","wikidata","0.50","Exists","","tt0249818"
"Daddy","2001","supporting","No","","wikidata","0.50","Exists","","tt0297067"
"Tagore","2003","supporting","No","","wikidata","0.50","Exists","","tt0361037"
"Anji","2004","supporting","No","","wikidata","0.50","Exists","","tt0239235"
"Andarivaadu","2005","supporting","No","","wikidata","0.50","Exists","","tt0431776"
"Jai Chiranjeeva","2005","supporting","No","","wikidata","0.50","Exists","","tt0457391"
"Stalin","2006","supporting","No","","wikidata","0.50","Exists","","tt0366180"
"Shankar Dada Zindabad","2007","supporting","No","","wikidata","0.50","Exists","","tt0944233"
"State Rowdy","2007","supporting","No","","wikidata","0.50","Added","","tt0246254"
"Magadheera","2009","supporting","No","","wikidata","0.50","Added","","tt1447500"
"Khaidi No. 150","2017","supporting","No","","wikidata","0.50","Exists","","tt6054058"
"Sye Raa Narasimha Reddy","2019","supporting","No","","wikidata","0.50","Exists","","tt7283064"
"Waltair Veerayya","2023","supporting","No","","wikidata","0.50","Exists","","tt15281402"
"Mana Shankara Vara Prasad Garu","2026","supporting","No","","wikidata","0.50","Exists","","tt28629017"
