Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
ghost_entry,"Chakravarthy",1987,hero,"Chiranjeevi","Mel Blanc",60%,"Only 1 source suggests Mel Blanc - manual review recommended",flag_review
ghost_entry,"Magadheerudu",1986,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Simhapuri Simham",1983,hero,"Chiranjeevi","Matt Smith",60%,"Only 1 source suggests Matt Smith - manual review recommended",flag_review
ghost_entry,"Inti Guttu",1984,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Kirayi Rowdylu",1981,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Adavi Donga",1985,hero,"Chiranjeevi","Rosângela Dias",60%,"Only 1 source suggests Rosângela Dias - manual review recommended",flag_review
ghost_entry,"Yamakinkarudu",1982,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Rana",1984,hero,"Chiranjeevi","Roberta Fattor",60%,"Only 1 source suggests Roberta Fattor - manual review recommended",flag_review
ghost_entry,"Bandhalu Anubandhalu",1982,hero,"Chiranjeevi","Viveca Lindfors",60%,"Only 1 source suggests Viveca Lindfors - manual review recommended",flag_review
ghost_entry,"Radha My Darling",1982,hero,"Chiranjeevi","చిరంజీవి",60%,"Only 1 source suggests చిరంజీవి - manual review recommended",flag_review
ghost_entry,"I Love You",1979,hero,"Chiranjeevi","Kenichi Matsuyama",60%,"Only 1 source suggests Kenichi Matsuyama - manual review recommended",flag_review
ghost_entry,"Mega 159",2026,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Auto Jaani",2026,hero,"Chiranjeevi","Élie Semoun",60%,"Only 1 source suggests Élie Semoun - manual review recommended",flag_review
ghost_entry,"Tirugu Leni Manishi",1981,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Intlo Ramayya Veedhilo Krishnayya",1982,hero,"Chiranjeevi","Ada Choi Siu-Fan",60%,"Only 1 source suggests Ada Choi Siu-Fan - manual review recommended",flag_review
ghost_entry,"Mana Shankara Vara Prasad Garu",2026,hero,"Chiranjeevi","Rodrigo Ramirez",60%,"Only 1 source suggests Rodrigo Ramirez - manual review recommended",flag_review
ghost_entry,"Alluda Majaka",1995,hero,"Chiranjeevi","Aleksey Batalov",60%,"Only 1 source suggests Aleksey Batalov - manual review recommended",flag_review
ghost_entry,"Manchi Donga",1988,hero,"Chiranjeevi","Burton Cummings",60%,"Only 1 source suggests Burton Cummings - manual review recommended",flag_review
ghost_entry,"Parvathi Parameswarulu",1981,hero,"Chiranjeevi","Gavin McInnes",60%,"Only 1 source suggests Gavin McInnes - manual review recommended",flag_review
ghost_entry,"Mrugaraju",2001,hero,"Chiranjeevi","Silvio Orlando",60%,"Only 1 source suggests Silvio Orlando - manual review recommended",flag_review
ghost_entry,"Annayya",2000,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Iddaru Mitrulu",1999,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Choodalani Vundi",1998,hero,"Chiranjeevi","Guy Madison",60%,"Only 1 source suggests Guy Madison - manual review recommended",flag_review
ghost_entry,"Bavagaru Bagunnara",1998,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Big Boss",1995,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Rudranetra",1989,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Donga Mogudu",1987,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Kondaveeti Raja",1986,hero,"Chiranjeevi","Florian David Fitz",60%,"Only 1 source suggests Florian David Fitz - manual review recommended",flag_review
ghost_entry,"Chattamtho Poratam",1985,hero,"Chiranjeevi","చిరంజీవి",60%,"Only 1 source suggests చిరంజీవి - manual review recommended",flag_review
ghost_entry,"Jwala",1985,hero,"Chiranjeevi","Kayo Matsuo",60%,"Only 1 source suggests Kayo Matsuo - manual review recommended",flag_review
ghost_entry,"Naagu",1984,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Koteeswarudu",1984,hero,"Chiranjeevi","Nizhalgal Ravi",60%,"Only 1 source suggests Nizhalgal Ravi - manual review recommended",flag_review
ghost_entry,"Hero",1984,hero,"Chiranjeevi","Piotr Rogucki",60%,"Only 1 source suggests Piotr Rogucki - manual review recommended",flag_review
ghost_entry,"Gudachari No.1",1983,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Jaggu",1982,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Vishwambhara",2026,hero,"Chiranjeevi","Su Ling Chan",60%,"Only 1 source suggests Su Ling Chan - manual review recommended",flag_review
ghost_entry,"Jebu Donga",1987,hero,"Chiranjeevi","Franco Franchi",60%,"Only 1 source suggests Franco Franchi - manual review recommended",flag_review
ghost_entry,"Donga",1985,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Rustum",1984,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Srirasthu Subhamasthu",1981,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Maga Maharaju",1983,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Rakta Sindhuram",1985,hero,"Chiranjeevi","Antoine Bonnaire",60%,"Only 1 source suggests Antoine Bonnaire - manual review recommended",flag_review
ghost_entry,"Palleturi Monagadu",1983,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Tagore",2003,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Stuvartpuram Dongalu",1991,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Sneham Kosam",1999,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Patnam Vachina Pativrathalu",1981,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Love In Singapore",1980,hero,"Chiranjeevi","Esteban Bigliardi",60%,"Only 1 source suggests Esteban Bigliardi - manual review recommended",flag_review
ghost_entry,"Khaidi No.786",1988,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Punadhirallu",1979,hero,"Chiranjeevi","Faidon Georgitsis",60%,"Only 1 source suggests Faidon Georgitsis - manual review recommended",flag_review
ghost_entry,"Kukka Katuku Cheppu Debba",1979,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Rikshavodu",1995,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
