Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
conflicting_data,"Jaggu",1982,tmdb_id,"114998","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Vishwambhara",2026,tmdb_id,"1211111","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Jebu Donga",1987,tmdb_id,"115026","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Donga",1985,tmdb_id,"115014","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rustum",1984,tmdb_id,"115010","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Srirasthu Subhamasthu",1981,tmdb_id,"320389","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Maga Maharaju",1983,tmdb_id,"115000","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rakta Sindhuram",1985,tmdb_id,"115017","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Palleturi Monagadu",1983,tmdb_id,"114999","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Tagore",2003,tmdb_id,"54170","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Stuvartpuram Dongalu",1991,tmdb_id,"410228","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Sneham Kosam",1999,tmdb_id,"109630","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Patnam Vachina Pativrathalu",1981,tmdb_id,"114992","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Love In Singapore",1980,tmdb_id,"1537233","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Puli Bebbuli",1983,tmdb_id,"279340","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Khaidi No.786",1988,tmdb_id,"115031","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Punadhirallu",1979,tmdb_id,"303494","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Andarivadu",2005,tmdb_id,"115066","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Waltair Veerayya",2023,tmdb_id,"989017","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Acharya",2022,tmdb_id,"679919","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Kukka Katuku Cheppu Debba",1979,tmdb_id,"417277","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Rikshavodu",1995,tmdb_id,"115051","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Pranam Khareedu",1978,tmdb_id,"279365","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Inspector Pratap",1988,tmdb_id,"115030","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Kotta Alludu",1979,tmdb_id,"246011","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Lankeswarudu",1989,tmdb_id,"279128","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Todu Dongalu",1981,tmdb_id,"279353","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Allullostunnaru",1984,tmdb_id,"369147","-",70%,"TMDB ID not found - ID should be cleared",flag_review
conflicting_data,"Maro Maya Bazaar",1983,tmdb_id,"410211","-",70%,"TMDB ID not found - ID should be cleared",flag_review
missing_field,"Godfather",2022,editor,"-","Venu Gopal Rao",64%,"Multi-source consensus from 1 source(s)",flag_review
missing_field,"Sye Raa Narasimha Reddy",2019,editor,"-","Sreekar Prasad",64%,"Multi-source consensus from 1 source(s)",flag_review
missing_field,"Shankar Dada Zindabad",2007,editor,"-","Marthand K Venkatesh",64%,"Multi-source consensus from 1 source(s)",flag_review
missing_field,"Jai Chiranjeeva",2005,editor,"-","Kotagiri Venkateswara Rao",64%,"Multi-source consensus from 1 source(s)",flag_review
missing_field,"Mana ShankaraVaraPrasad Garu",2026,movie,"-","Add Mana ShankaraVaraPrasad Garu (2026) as lead",95%,"",flag_review
missing_field,"Jagadguru Adi Shankara",2013,movie,"-","Add Jagadguru Adi Shankara (2013) as lead",95%,"",flag_review
missing_field,"Sri Manjunatha",2001,movie,"-","Add Sri Manjunatha (2001) as lead",95%,"",flag_review
missing_field,"Alludaa Majakaa",1995,movie,"-","Add Alludaa Majakaa (1995) as lead",95%,"",flag_review
missing_field,"Chanakya Shapadham",1986,movie,"-","Add Chanakya Shapadham (1986) as lead",95%,"",flag_review
missing_field,"Dairyavanthudu",1986,movie,"-","Add Dairyavanthudu (1986) as lead",95%,"",flag_review
missing_field,"Puli",1985,movie,"-","Add Puli (1985) as lead",95%,"",flag_review
missing_field,"Chattam Tho Poratam",1985,movie,"-","Add Chattam Tho Poratam (1985) as lead",95%,"",flag_review
missing_field,"Simhapoori Simham",1983,movie,"-","Add Simhapoori Simham (1983) as lead",95%,"",flag_review
missing_field,"Ooriki Ichina Maata",1981,movie,"-","Add Ooriki Ichina Maata (1981) as lead",95%,"",flag_review
missing_field,"Prema Tarangalu",1980,movie,"-","Add Prema Tarangalu (1980) as lead",95%,"",flag_review
missing_field,"Mosagadu",1980,movie,"-","Add Mosagadu (1980) as lead",95%,"",flag_review
missing_field,"Kottapeta Rowdy",1980,movie,"-","Add Kottapeta Rowdy (1980) as lead",95%,"",flag_review
missing_field,"Idi Katha Kaadu",1979,movie,"-","Add Idi Katha Kaadu (1979) as lead",95%,"",flag_review
missing_field,"Bruce Lee - The Fighter",2015,movie,"-","Add Bruce Lee - The Fighter (2015) as cameo",90%,"",flag_review
missing_field,"Style",2006,movie,"-","Add Style (2006) as cameo",90%,"",flag_review
missing_field,"Hands Up",2000,movie,"-","Add Hands Up (2000) as cameo",90%,"",flag_review
missing_field,"Manavoori Pandavulu",1978,movie,"-","Add Manavoori Pandavulu (1978) as support",85%,"",flag_review
