#,Year,Title,Slug,TMDB_ID,Hero,Heroine,Director,Music,Producer,Cinematographer,Supporting_Cast
"1","2025","Sankranthiki Vasthunam","sankranthiki-vasthunam-2025","1380920","Daggubati Venkatesh","Aishwarya Rajesh","Anil Ravipudi","Bheems Ceciroleo","Dil Raju","","Meenakshi Chaudhary(supporting); Upendra Limaye(supporting); Sai Kumar(supporting); Srinivasa Reddy(supporting); Naresh(supporting)"
"2","2024","Saindhav","saindhav-2024","1089737","Daggubati Venkatesh","Shraddha Srinath","Sailesh Kolanu","Santhosh Narayanan","Venkat Boyanapalli","","Baby Sara(supporting); Shraddha Srinath(supporting); Andrea Jeremiah(supporting); Ruhani Sharma(supporting); Jayaprakash(supporting)"
"3","2022","F3: Fun and Frustration","f3-fun-and-frustration-2022","802065","Daggubati Venkatesh","Tamannaah Bhatia","Anil Ravipudi","Devi Sri Prasad","Dil Raju","","Varun Tej(hero2); Mehreen Pirzada(heroine2); Sunil(supporting)"
"4","2021","Narappa","narappa-2021","666564","Daggubati Venkatesh","Priyamani","Srikanth Addala","Mani Sharma","Daggubati Suresh Babu","","Karthik Rathnam(supporting); Prakash Raj(supporting); Murali Sharma(supporting); Sampath Raj(supporting); Rao Ramesh(supporting)"
"5","2021","Drushyam 2","drushyam-2-2021","847767","Daggubati Venkatesh","Meena","Jeethu Joseph","Anup Rubens","Daggubati Suresh Babu","","Nadhiya(supporting); Sampath Raj(supporting); Kruthika Jayakumar(supporting); Esther Anil(supporting); Naresh(supporting)"
"6","2019","F2: Fun and Frustration","f2-fun-and-frustration-2019","566914","Daggubati Venkatesh","Tamannaah Bhatia","Anil Ravipudi","Devi Sri Prasad","Dil Raju","","Varun Tej(hero2); Mehreen Pirzada(heroine2); Sunil(supporting)"
"7","2019","Venky Mama","venky-mama-2019","613853","Daggubati Venkatesh","Payal Rajput","Bobby Kolli","S. Thaman","Sujith Kumar Kolli","","Naga Chaitanya(hero2); Raashii Khanna(heroine2)"
"8","2017","Guru","guru-2017","447965","Daggubati Venkatesh","Ritika Singh","Sudha Kongara Prasad","Santhosh Narayanan","S. Sashikanth","","Mumtaz Sorcar(supporting); Nassar(supporting); Tanikella Bharani(supporting); Zakir Hussain(supporting); Raghu Babu(supporting)"
"9","2014","Drushyam","drushyam-2014","279450","Daggubati Venkatesh","Meena","Sripriya","Sharreth","Daggubati Suresh Babu","","Nadhiya(supporting); Naresh(supporting); Kruthika Jayakumar(supporting); Esther Anil(supporting); Ravi Kale(supporting)"
"10","2013","Shadow","shadow-2013","184346","Daggubati Venkatesh","Taapsee Pannu","Meher Ramesh","S. Thaman","Paruchuri Kireeti","","Nuot Arquint(supporting); Chris Coppola(supporting); Ottaviano Blitch(supporting); Matt Patresi(supporting); Emilio De Marchi(supporting)"
"11","2013","Seethamma Vakitlo Sirimalle Chettu","seethamma-vakitlo-sirimalle-chettu-2013","193197","Daggubati Venkatesh","Anjali","Srikanth Addala","Mickey J Meyer","Dil Raju","","Mahesh Babu(hero2); Samantha Ruth Prabhu(heroine2); Prakash Raj(supporting)"
