ID,Title (English),Title (Telugu),Year,Image URL,Source,Confidence,Updated At
11aa4331-8288-4544-bb02-e5a398716cf3,"Brahmarshi Viswamitra","Brahmarshi Vishwamitra",1991,"https://image.tmdb.org/t/p/w500/xBWvj4O0egGjxX7RPv5uNytz6ny.jpg","TMDB",0.95,"2026-01-12T16:36:46.056646+00:00"
aa2aaf0e-7042-490c-8f10-8cc351f3f9bc,"Kuttrapathirikai","-",2007,"https://image.tmdb.org/t/p/w500/hL7H9b2PjmnzOPp0vhD2Y79mNe0.jpg","tmdb",0.95,"2026-01-12T08:43:51.818859+00:00"
c1b12143-412a-4c03-869b-2864611b9c07,"Parijatham","-",2006,"https://image.tmdb.org/t/p/w500/knI6wi4F7ohNc3M3Hv0JqicqiUG.jpg","tmdb",0.95,"2026-01-12T08:43:51.623888+00:00"
034a4d8c-803d-43cd-9d89-4579074dfbad,"Maurya","-",2004,"https://image.tmdb.org/t/p/w500/pUGEzI4HbpkO73QZhshv1cPSzBL.jpg","tmdb",0.95,"2026-01-12T08:43:51.266681+00:00"
b0f1d7d9-d8db-4192-8aa8-b9fe933b5814,"Arasu","-",2003,"https://image.tmdb.org/t/p/w500/sStMufzt8EJZZ4RoDTfbW7nf2BD.jpg","tmdb",0.95,"2026-01-12T08:43:51.086509+00:00"
5262a824-36b8-4121-9599-614adf954fd1,"Malayali Mamanu Vanakkam","-",2002,"https://image.tmdb.org/t/p/w500/hc3SSJ9WNrw6IM9x8d48Z4mZpcK.jpg","tmdb",0.95,"2026-01-12T08:43:50.716018+00:00"
53888702-5231-4c81-84b9-01234aa1eaf1,"Kottai Mariamman","-",2001,"https://image.tmdb.org/t/p/w500/ptWHyP4DvXmEUoWFKe4eW0iTL1B.jpg","tmdb",0.95,"2026-01-12T08:43:50.344438+00:00"
fccc90b7-97f4-461c-86ca-5a561169f763,"Thirunelveli","-",2000,"https://image.tmdb.org/t/p/w500/z8WVZolBU8YwEhi05Kg90GjofSr.jpg","tmdb",0.95,"2026-01-12T08:43:49.74096+00:00"
137e3189-0da3-4bab-9ebf-42f15b35c109,"Eazhaiyin Sirippil","-",2000,"https://image.tmdb.org/t/p/w500/pi9xv2aeLZoWZGQPne6IotEHfEV.jpg","tmdb",0.95,"2026-01-12T08:43:49.364792+00:00"
75501982-c0f2-4194-8352-651e97519b62,"Chinna Durai","-",1999,"https://image.tmdb.org/t/p/w500/eI611J365KlvHZrH97tOyargM4o.jpg","tmdb",0.95,"2026-01-12T08:43:48.790854+00:00"
4d02a2a9-4ca1-4b18-a73c-6cc0ddb102e4,"Unnidathil Ennai Koduthen","-",1998,"https://image.tmdb.org/t/p/w500/58iugAOSOwWP6dvR7wyaDAWU5m9.jpg","tmdb",0.95,"2026-01-12T08:43:48.594143+00:00"
f6cd100d-3bfc-4fbf-9e53-d49bfdc43ca1,"Adimai Changili","-",1997,"https://image.tmdb.org/t/p/w500/3osw323XESFJCnINOvFiapXpSuP.jpg","tmdb",0.95,"2026-01-12T08:43:47.938294+00:00"
f6cd0d92-ac4f-4c21-a18a-ff1c263596e1,"Mirai (2025 film)","-",2025,"https://upload.wikimedia.org/wikipedia/en/9/9f/Mirai_%282025_film%29_poster.jpg","wikipedia",0.9,"2026-01-12T01:37:54.070845+00:00"
39bea815-2012-4dfb-b198-1557795f3e91,"Jack & Daniel","-",2019,"https://image.tmdb.org/t/p/w500/tCad25r7nkbjLipOZMpJ1uxYWk0.jpg","tmdb",0.95,"2026-01-12T01:37:53.85124+00:00"
79bf6a89-ffa0-40bc-b984-43575d36fa1c,"Bujjigadu","-",2008,"https://image.tmdb.org/t/p/w500/fVDPpKS4ylQf1qtEvfaDjh6ehhP.jpg","tmdb",0.95,"2026-01-12T01:37:53.059873+00:00"
8d150ef3-11af-40b2-a751-a582dda273a8,"Filmfare Awards South","-",2017,"https://archive.org/download/42ndAnnualFilmfaresouthawardsTeluguMalayalamwinners/IMG_20161006_074048[1].jpg","internet_archive",0.75,"2026-01-12T01:37:52.944749+00:00"
565a96a9-ebff-4cdf-ae39-bdb26c4acfb6,"The Rajasaab","-",2026,"https://image.tmdb.org/t/p/w500/nvK6gYa4diCnQkDVN42uoYXPrdT.jpg","tmdb",0.95,"2026-01-12T01:37:52.066937+00:00"
40671ff1-229b-4ea8-90e7-a8b118aa9747,"Adipurush","-",2023,"https://image.tmdb.org/t/p/w500/1H2xEZOixs0z0JKwyjANZiKNNVJ.jpg","tmdb",0.95,"2026-01-12T01:37:51.938248+00:00"
388b05da-5217-4eb5-ac82-7cc7401b3f48,"RRR: Behind & Beyond","-",2024,"https://image.tmdb.org/t/p/w500/g2drmlviqoEBZSfVeuASPWMv10S.jpg","tmdb",0.95,"2026-01-12T01:34:49.604922+00:00"
c85c61b9-d154-4828-bf78-d94b2e731f92,"Adurs","-",2010,"https://image.tmdb.org/t/p/w500/xcrwqmzYY9t6RQOHfS7KtnMbDRj.jpg","tmdb",0.95,"2026-01-12T01:34:47.780892+00:00"
