Year,Title,Slug,Director,Heroine,Music,Cinematographer,Editor,Writer,Producer,TMDB_ID,Missing
1995,"Alluda Majaka",alluda-majaka-1995,"E. V. V. Satyanarayana","Ramya Krishna, Lakshmi, Ooha","Saluri Koteswara Rao","","Kotagiri Venkateswara Rao","Posani Krishna Murali","Devi Vara Prasad",76116,"Cine"
1994,"Mugguru Monagallu",mugguru-monagallu-1994,"K. Raghavendra Rao","Nagma","Vidyasagar","","","","Nagendra Babu",279116,"Cine; Edit; Writ"
1994,"S.P. Parasuram",sp-parasuram-1994,"Ravi Raja Pinisetty","Sridevi","M.M. Keeravaani","","","P. Vasu","Allu Aravind",279118,"Cine; Edit"
1993,"Mechanic Alludu",mechanic-alludu-1993,"B. Gopal","Vijayashanti","Saluri Koteswara Rao","","","","Allu Aravind",279119,"Cine; Edit; Writ"
1993,"Muta Mestri",muta-mestri-1993,"A. Kodandarami Reddy","Meena","Thotakura Somaraju","","Kotagiri Venkateswara Rao","Venkateswara Rao Paruchuri","Siva Prasad",279121,"Cine"
1992,"Aapadbandhavudu",aapadbandhavudu-1992,"K. Viswanath","Meenakshi Sheshadri","M.M. Keeravaani","","","K. Viswanath","Edida Nageswara Rao",180638,"Cine; Edit"
1992,"Gharana Mogudu",gharana-mogudu-1992,"K. Raghavendra Rao","Nagma, Vani Viswanath","M.M. Keeravaani","","","","Devi Vara Prasad",278184,"Cine; Edit; Writ"
1991,"Rowdy Alludu",rowdy-alludu-1991,"K Raghavendra Rao","Shobana","Bappi Lahiri","","","","Venkata Rao",279122,"Cine; Edit; Writ"
1991,"Gang Leader",gang-leader-1991,"Vijaya Bapineedu","Vijayashanti","Bappi Lahiri","","","","Maganti Ravindranath Chowdary",78596,"Cine; Edit; Writ"
1991,"Stuartpuram Police Station",stuartpuram-police-station-1991,"Yandamuri Veerendranath","Vijaya Shanti","Ilaiyaraaja","","","","K. S. Rama Rao",,"Cine; Edit; Writ; TMDB"
1991,"Stuvartpuram Dongalu",stuvartpuram-dongalu-1991,"K Surya Prakash Rao","Divya Vani","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
1990,"Jagadeka Veerudu Athiloka Sundari",jagadeka-veerudu-athiloka-sundari-1990,"K Raghavendra Rao","Sridevi","Ilaiyaraaja","","Kotagiri Venkateswara Rao","Jandhyala Subramanya Sastry","C. Ashwini Dutt",77031,"Cine"
1990,"Raja Vikramarka",raja-vikramarka-1990,"Ravi Raja Pinisetty","Amala Akkineni","Saluri Koteswara Rao","","","Ravi Raja Pinisetty","Amarendhra Reddy P",279123,"Cine; Edit"
