ID,Title,Year,Current_Hero,Current_Heroine,Current_Director,Has_Poster,NEW_Heroine,NEW_Director
d3cc338c-f3b6-4ced-b16e-95c862c5d8cd,Captain Krishna,1979,Krishna,,,Yes,,
7e309a84-eb89-401a-a14c-bab95c790e18,Dongalaku Savaal,1979,Krishna,,,Yes,,
6470fbea-7d86-482c-8d6d-976c8d722d8d,Bandodu Gundamma,1980,Krishna,,,Yes,,
eaead374-d4ed-4894-8048-b9a7b4bc1bc1,Devudichina Koduku,1980,Krishna,,,Yes,,
edf03aba-fb65-4895-b39c-8de570b77b02,Ragile Hrudayalu,1980,Krishna,,,Yes,,
2d320607-8159-440b-9180-528a89ac18b3,Allari Bava,1980,Krishna,,,Yes,,
60eb07bb-2a6b-43e7-b2e0-f3cd2586e79c,Adhrustavanthudu,1980,Krishna,,,Yes,,
95b6bb73-fbea-46ff-ad93-251787827086,Hare Krishna Hallo Radha,1980,Krishna,,,Yes,,
6efe9780-ac1c-44a2-a3f9-fed50e71c54c,Maa Inti Devatha,1980,Krishna,,,Yes,,
8189a985-4783-40d1-8362-51da95660455,Gadasari Atha Sogasari Kodalu,1981,Krishna,,,Yes,,
c11a6394-9269-4a25-8a98-ec92d2fc0567,Mayadari Alludu,1981,Krishna,,,Yes,,
ce1390a1-940c-4590-a5f5-d75e14c32336,Jathagadu,1981,Krishna,,,Yes,,
f35ab8c9-de5d-4a2c-bde8-626eeb5799af,Thodu Dongalu,1981,Krishna,,,Yes,,
6e97dc8d-58b6-4f0d-812a-8b469bf083bf,Bhoga Bagyalu,1981,Krishna,,,Yes,,
2ebb7c19-7136-4dba-8cbe-073a3c8fa9d0,Antham Kaadidi Aarambham,1981,Krishna,,,Yes,,
2454ce4b-6d23-478c-82fa-91b9929f30eb,Nayudu gari Abbai,1981,Krishna,,,Yes,,
8fd64134-9ec6-47cb-ac2d-cdf8ff21562a,Rahasya Gudachari,1981,Krishna,,,Yes,,
1cc11b7e-96cf-45f5-a96a-e10ea3a39879,Doctor Cine Actor,1982,Krishna,,,Yes,,
44f16014-ce4c-44c5-a6a1-75145dedd217,Shamshare Shankar,1982,Krishna,,,Yes,,
6712c7c7-734b-4f85-b2e1-e2a7ebadcf84,Krishnaarjunulu,1982,Krishna,,,Yes,,
9ad4d972-73fe-4c46-8d29-8e2acf38011a,Pagabattina Simham,1982,Krishna,,,Yes,,
1c313a4f-edae-42ef-a23f-36d5a193f78b,Prema Nakshathram,1982,Krishna,,,Yes,,
a808a99a-b312-4a2d-a936-ddf6420c11aa,Jagannatha Radhachakralu,1982,Krishna,,,Yes,,
03fc282a-0009-4fe6-975a-bf2c6c9036fd,Bangaru Koduku,1982,Krishna,,,Yes,,
22e305a7-41e2-4015-809d-c3b8e14672fd,Kalavari Samsaram,1982,Krishna,,,Yes,,
4928ce91-1a69-481d-bf8b-7e6a9d34195a,Lankebindelu,1983,Krishna,,,Yes,,
ea255a02-b452-47af-9e91-7b29890a9dfa,Uddhandudu,1984,Krishna,,,Yes,,
bea79920-e985-4cfb-9bc3-86c8714843ed,Kirai Alludu,1984,Krishna,,,Yes,,
2781335e-3245-42d0-874e-c323e3d89f95,Mukhyamanthri,1984,Krishna,,,Yes,,
34d0456a-4d90-4f72-ab5d-d91f64ad33b4,Bangaru Kapuram,1984,Krishna,,,Yes,,
d82fc1c8-52a8-4b82-ba24-a24934d66a75,Pulijoodam,1984,Krishna,,,Yes,,
19f855d5-4c9d-4e66-8afc-3ab2422ccc2f,Andharikante Monagadu,1985,Krishna,,,Yes,,
2b8c03e3-9e52-44bd-bc6c-d1a01c4034e3,Khaidi Rudraiah,1986,Krishna,,,Yes,,
619b4273-6a96-487c-b0db-30795fc5449f,Brahmasthram,1986,Krishna,,,Yes,,
97d2ba05-cff4-41b7-91cd-013658ae83fb,Santhi Nivasam,1986,Krishna,,,Yes,,
1a396f01-d1be-4cab-86b3-a6670bafe007,Parasuramudu,1986,Krishna,,,Yes,,
c715a5e6-8618-406a-9e9d-32c1ec1071f6,Krishna Paramathma,1986,Krishna,,,Yes,,
f07f07e2-d6af-4501-b66e-6acb0e8529be,Naa Pilupe Prabahanajam,1986,Krishna,,,Yes,,
92aec1e4-47a7-49d4-9169-c95563a4ee80,Muddayi,1987,Krishna,,,Yes,,
ed8154ff-d2b0-4b35-a218-8b24c860e672,Dongodochhadu,1987,Krishna,,,Yes,,
d8ba2880-d3be-4364-9b4d-ebd027ee0663,Shankharavam,1987,Krishna,,,Yes,,
3d76c890-949e-4246-915a-ce1b250558c5,Tene Manasulu,1987,Krishna,,,Yes,,
a551f58f-07d0-4475-855d-2ee0e828eb87,Dorakani Donga,1988,Krishna,,,Yes,,
939b71e2-c536-483f-8dad-ee6d19337f5e,Maharajasri Mayagadu,1988,Krishna,,,Yes,,
30b79e6d-aa8c-4009-9d74-93f7f046cb02,Praja Prathinidhi,1988,Krishna,,,Yes,,
e421f20f-05e5-4ca9-bcef-cb56959d31ec,Parthudu,1989,Krishna,,,Yes,,
13696ef1-0ae7-44ba-a7a7-fa0abf1d1967,Nagastram,1990,Krishna,,,Yes,,
6b1589a7-33e0-4c9c-b800-42be6601f51e,Prajala Manishi,1990,Krishna,,,Yes,,
ce42d0e4-ef18-4693-a90d-1779a32ada95,Vishnu,1990,Krishna,,,Yes,,
c6c614a8-0e36-45b9-b836-c8cfec53441b,Raktha Tarpanam,1992,Krishna,,,Yes,,
f532cbd5-b3c3-48d2-956f-22662814aa3d,Kirayi Gunda,1993,Krishna,,,Yes,,
f5412bd1-775c-48d3-b65b-3452a09e7ca8,Raitu Bharatam,1994,Krishna,,,Yes,,
63a42b99-c280-4372-a918-9ca8803e68c9,Yes Nenante Nene,1994,Krishna,,,Yes,,
45743030-fdb4-4012-bf61-4faedead79e2,Police Alludu,1994,Krishna,,,Yes,,
0845888a-a4c7-45bf-b06c-460f88f213ff,Doragariki Donga Pellam,1994,Krishna,,,Yes,,
ca6eb5e6-e4ec-4289-826c-413c10ea44bd,Dear Brother,1995,Krishna,,,Yes,,
52daaa92-384a-42c8-8519-fb40b644b377,Real Hero,1995,Krishna,,,Yes,,
b6188415-bef1-4361-b065-59ef6e027bcb,Bharata Simham,1995,Krishna,,,Yes,,
e9e3bd4b-a940-43fb-a47b-c3765b5b4da0,Super Mogudu,1995,Krishna,,,Yes,,
e5e4d317-d0fd-4875-af54-d82766e3e766,Jagadeka Veerudu,1996,Krishna,,,Yes,,
f8021a22-2722-42b9-bc24-098ad5ada94e,Puttinti Gowravam,1996,Krishna,,,Yes,,
9f64bf52-d930-4b88-93e7-8c80891eafe2,Sampradayam,1996,Krishna,,,Yes,,
c99c15d3-6b06-45aa-bf67-f386c3bdfddd,Pellala Rajyam,1996,Krishna,Jayasudha,,Yes,,
26a96d53-674b-4b80-aa33-f767ff13071b,Adhirindhi Guru,1997,Krishna,,,Yes,,
aea336d8-45b4-492b-bf4d-56e3bc420a5f,Bobbili Dora,1997,Krishna,,,Yes,,
0bde6bf3-d979-428f-b4b3-86a016d3bc53,Sambhavam,1998,Krishna,,,Yes,,
5ab34a76-3589-4e96-a38d-fdeb4d77df40,Vaibhavam,1998,Krishna,,,Yes,,
e1ed5b2a-2103-4d17-bbff-53924ab9e374,Prathista,1998,Krishna,,,Yes,,
332afa52-4b47-4437-bbb8-1493665402f6,Vareva Moguda,1998,Krishna,,,Yes,,
eb8cfe6b-3d53-48d9-8842-db7d6ebcac0a,Maanavudu Daanavudu,1999,Krishna,,,Yes,,
76f52f3c-50c5-4d4a-9d25-c6dbe151aeca,Yee Taram Nehru,2000,Krishna,,,Yes,,
43a9287d-1e16-45b9-b466-fb2a4e4104ce,Dadagiri,2001,Krishna,,,Yes,,
8218eff9-b45b-4da6-8bd8-ec34629afc2e,24 Gantalu,2004,Krishna,,,Yes,,
b9fa13d1-6932-45c4-a8ef-c22697ba8227,CBI Officer,2004,Krishna,,,Yes,,
8b935f81-fd21-4f4f-a422-b9af10fdc2fb,Evaru Nenu,2005,Krishna,,,Yes,,
f804d85a-c725-47d4-a395-a3c0a7fc1d9b,Sardar Papanna,2006,Krishna,,,Yes,,
06778b0d-6d7b-4757-b445-37bdc25cf9ab,Amma Nanna Lekunte,2007,Krishna,,,Yes,,
6dca1a30-1bc2-4f43-879c-70eacfd6720b,Shirdi,2007,Krishna,,,Yes,,
