id,slug,title,year,issue_type,issue_description,current_value,suggested_action,severity
"2bf98562-c545-4a87-9fb8-cc8370b53941","napoleon-2017","Napoleon",2017,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Napoleon","Verify if this is a feature film or should be removed/reclassified","medium"
"448e40ba-d800-47fe-9ffb-68014fa30aaf","muduvandala-muppai-nalugo-katha-2017","Muduvandala Muppai Nalugo Katha",2017,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Muduvandala Muppai Nalugo Katha","Verify if this is a feature film or should be removed/reclassified","medium"
"9610fea5-10e1-4d27-8796-8a8e41c6d274","qarib-qarib-singlle-2017","Qarib Qarib Singlle",2017,"BAD_SLUG","Slug is a Wikidata ID instead of proper slug","qarib-qarib-singlle-2017","Generate proper slug from title","medium"
"cf48dc2a-a14e-43d5-9488-0fd1f55a7802","piper-2016","Piper",2016,"MISSING_HEROINE","Heroine is missing","Hero: Piper (Sandpiper Hatchling)","Research and add heroine","medium"
"5ae41f9e-7f4c-4809-a82a-bfaefc8f229a","vangaveeti-2016","Vangaveeti",2016,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Vangaveeti","Verify if this is a feature film or should be removed/reclassified","medium"
"f603f3fd-5f09-4070-8093-864bb22e1180","intlo-deyyam-nakem-bhayam-2016","Intlo Deyyam Nakem Bhayam",2016,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Intlo Deyyam Nakem Bhayam","Verify if this is a feature film or should be removed/reclassified","medium"
"48cd41ce-bdab-4e2e-b69c-908da6dbc187","entertainment-2014","Entertainment",2014,"MISSING_HEROINE","Heroine is missing","Hero: Kinzō Sakura","Research and add heroine","medium"
"dad2971a-ec65-4c2e-9c9f-cd5d405323e8","unlocking-sherlock-2014","Unlocking Sherlock",2014,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "series")","Unlocking Sherlock","Verify if this is a feature film or should be removed/reclassified","medium"
"ed71d9e9-2812-429d-938a-e6cb98fbdd5c","queen-2014","Queen",2014,"BAD_SLUG","Slug is a Wikidata ID instead of proper slug","queen-2014","Generate proper slug from title","medium"
"687561cd-b46f-467c-8c15-4741a9c9e377","john-mulaney-new-in-town-2012","John Mulaney: New in Town",2012,"MISSING_HEROINE","Heroine is missing","Hero: John Mulaney","Research and add heroine","medium"
"f59600c8-228c-49ce-8ab3-e3117cc82763","avunu-2012","Avunu",2012,"SUSPICIOUS_ENTRY","May not be a feature film (contains: "event")","Avunu","Verify if this is a feature film or should be removed/reclassified","medium"
