ID,Title,Year,Hero,Director,Rating,Has Poster,Synopsis (first 100),Missing Data,Research Notes
863ad6f1-6b43-4e86-bd23-84999161ef4b,"Time Pass",2001,"Ajay","MISSING",,NO,"","DIRECTOR","Modern era - IMDb should have data"
d5edc733-e59b-42c0-ae51-6980c71906fd,"Sapnon Ka Mandir",1991,"Jaya Prada","MISSING",,NO,"A 1991 Telugu film starring Jaya Prada and Jaya Prada.","DIRECTOR","Check IMDb or Telugu film databases"
32d1e7f0-d06e-4892-aaa9-38e68cb3fd06,"Sardar&#91;41&#93;",1984,"Jaya Prada","MISSING",,NO,"A 1984 Telugu film starring Jaya Prada.","DIRECTOR","Classic era - may need deeper research"
da08244c-b75c-4473-9abe-088555ce819e,"Main Awara Hoon",1983,"Jaya Prada","MISSING",,NO,"A 1983 Telugu film starring Jaya Prada and Raj Babbar.","DIRECTOR","Classic era - may need deeper research"
5cb44bbf-dd51-48d3-99d9-2834bb09fe16,"Bala Mitrula Katha",1972,"Gummadi","MISSING",,NO,"","DIRECTOR","Vintage film - Wikipedia or archives"
076745f1-ed22-4c60-80b4-de2cd38e198c,"Vallavanukku Vallavan",1965,"Gemini Ganesan","MISSING",,NO,"","DIRECTOR","Vintage film - Wikipedia or archives"
c2ff5c7e-7bd0-4ec4-9967-7d69c261810a,"Ganga Ki Lahren",1964,"Dharmendra","MISSING",,NO,"","DIRECTOR","Vintage film - Wikipedia or archives"
