slug,title_en,year,hero,director,title_te
n-a-2019,"—N/a",2019,"Eric Burdon","Hannes Rossacher",
1st-rank-raju-2019,"1st Rank Raju",2019,"Chetan Maddineni","Naresh Kumar H. N.",
2-hours-love-2019,"2 Hours Love",2019,"Srikanth Pawar","Srikanth Pawar",
4-letters-2019,"4 Letters",2019,"Eeshwar","R Raghuraj",
90ml-2019,"90ML",2019,"Kartikeya Gummakonda","Sekhar Reddy Yerra",
aa-nimisham-2019,"Aa Nimisham",2019,"Prasad Reddy","Kala Rajesh",
aaviri-2019,"Aaviri",2019,"Ravi Babu","Ravi Babu",
abcd-american-born-confused-desi-2019,"Abcd: American-born Confused Desi",2019,"Allu Sirish","Sanjeev Reddy",
abhinetri-2-2019,"Abhinetri 2",2019,"Prabhu Deva","A. L. Vijay",
action-2019,"Action",2019,"Tamannaah Bhatia","Sundar C",
amma-rajyam-lo-kadapa-biddalu-2019,"Amma Rajyam Lo Kadapa Biddalu",2019,"Ajmal Ameer","Ram Gopal Varma",
bailampudi-2019,"Bailampudi",2019,"Harish Vinay","Anil PG Raj",
beach-road-chetan-2019,"Beach Road Chetan",2019,"Chetan Maddineni","Chetan Maddineni",
bhagya-nagara-veedhullo-gammathu-2019,"Bhagya Nagara Veedhullo Gammathu",2019,"Srinivasa Reddy","Srinivasa Reddy",
bilalpur-police-station-2019,"Bilalpur Police Station",2019,"Maganti Srinath","Naga Sai Makam",
brochevarevarura-2019,"Brochevarevarura",2019,"Sree Vishnu","Vivek Athreya",
burra-katha-2019,"Burra Katha",2019,"Aadi","Diamond Ratnababu",
chanakya-2019,"Chanakya",2019,"Gopichand","Thiru",
chikati-gadilo-chithakotudu-2019,"Chikati Gadilo Chithakotudu",2019,"Thrigun","Santhosh P. Jayakumar",
crazy-crazy-feeling-2019,"Crazy Crazy Feeling",2019,"Vennela Kishore","Sanjay Kartik",
danger-love-story-2019,"Danger Love Story",2019,"Khayyum","Shekar Chandra",
darpanam-2019,"Darpanam",2019,"Tanneru Tanish","Jeevan Reddy",
dhrushti-2019,"Dhrushti",2019,"Rahul Ravindran","Ram Abbaraju",
dorasaani-2019,"Dorasaani",2019,"Anand Deverakonda","KVR Mahendra",
edaina-jaragocchu-2019,"Edaina Jaragocchu",2019,"Bobby Simha","K. Ramkanth",
ek-2019,"Ek",2019,"Aadhi","Sri Saripalli",
eureka-2019,"Eureka",2019,"Kavin","Kavin",
evadu-thakkuva-kaadu-2019,"Evadu Thakkuva Kaadu",2019,"Madhusudhan Rao","Raghu Jaya",
evvarikee-cheppoddu-2019,"Evvarikee Cheppoddu",2019,"Keshav Deepak","Basava Shankar",
falaknuma-das-2019,"Falaknuma Das",2019,"Vishwak Sen","Vishwak Sen",
george-reddy-2019,"George Reddy",2019,"Sandeep Madhav","Jeevan Reddy",
guna-369-2019,"Guna 369",2019,"Kartikeya Gummakonda","Arjun Jandyala",
heza-2019,"Heza",2019,"Nutan Naidu","Munna Kasi",
hippi-2019,"Hippi",2019,"Karthikeya","T. N. Krishna",
hulchul-2019,"Hulchul",2019,"Rudraksh Utam","Sripati Karri",
iddari-lokam-okate-2019,"Iddari Lokam Okate",2019,"Raj Tarun","Krishnareddy Gangadhasuu",
jack-daniel-2019,"Jack & Daniel",2019,"Dileep","S.L Puram Jayasurya",
jessie-2019,"Jessie",2019,"Ashima Narwal","Prajwal",
jodi-2019,"Jodi",2019,"Rana Jung Bahadur","Aditya Sood",
kalki-2019,"Kalki",2019,"Tovino Thomas","Praveen Prabharam",
kanne-kalaimaane-2019,"Kanne Kalaimaane",2019,"Tamannaah Bhatia","Seenu Ramasamy",
