Slug,Title (English),Title (Telugu - FILL THIS),Release Year,Hero,Heroine,Director
show-time-2025,"Show Time",,2025,"Naveen Chandra","Kamakshi Bhaskarla","Madhan Kumar Dhakshinamoorthy"
meghalu-cheppina-prema-katha-2025,"Meghalu Cheppina Prema Katha",,2025,"Naresh Agastya","Rabiya Khatoon","Vipin"
tuk-tuk-2025,"Tuk Tuk",,2025,"Harsh Roshan","Saanve Meghana","Supreeth C Krishna"
santhana-prapthirasthu-2025,"Santhana Prapthirasthu",,2025,"Tharun Bhascker","Chandini Chowdary","Sanjeev Reddy"
premistunnaa-2025,"Premistunnaa",,2025,"Subbu Panchu","Viji Chandrasekhar","Shankar Bhanu"
elumale-2025,"Elumale",,2025,"Jagapathi Babu","Priyanka Achar","Punit Rangaswamy"
dinasari-2025,"Dinasari",,2025,"Srikanth","Meera Krishnan","G. Sankar"
blackmail-2025,"Blackmail",,2025,"Srikanth","Teju Ashwini","Mu. Maran"
konjam-kadhal-konjam-modhal-2025,"Konjam Kadhal Konjam Modhal",,2025,"Srikanth","Pujita Ponnada","K. Rangaraj"
ramam-raghavam-2025,"Ramam Raghavam",,2025,"Samuthirakani","Mokksha","Dhanraj"
shashtipoorthi-2025,"Shashtipoorthi",,2025,"Rajendra Prasad","Archana","Pavan Prabha"
premante-2025,"Premante",,2025,"Priyadarshi Pullikonda","Anandhi","Navaneeth Sriram"
chiranjeeva-2025,"Chiranjeeva",,2025,"Raj Tarun","Kushitha Kallapu","Abhinaya Krishna"
thala-2025,"Thala",,2025,"Rajiv Kanakala","Indraja","Amma Rajasekhar"
hit-the-third-case-2025,"HIT: The Third Case",,2025,"Nani","Srinidhi Shetty","Sailesh Kolanu"
1111-2025,"11:11",,2025,"Saluri Koteswara Rao","Varsha Vishwanath","Kittu Nalluri"
pontons-heart-2025,"Ponton's Heart",,2025,"Marija Labudović","Jadranka Mamić","Senad Šahmanović"
sankranthiki-vasthunam-2025,"Sankranthiki Vasthunam",,2025,"Daggubati Venkatesh","Aishwarya Rajesh","Anil Ravipudi"
chaurya-paatam-2025,"Chaurya Paatam",,2025,"Mast Ali","Paayal Radhakrishna","Nikhil Gollamari"
hathya-2025,"Hathya",,2025,"Ravi Varma","Dhanya Balakrishna","Srividya Basawa"
single-2025,"#Single",,2025,"Sree Vishnu","Ketika Sharma","Caarthick Raju"
