Title,Year,Director,Hero,TMDB ID,Slug,Review URL
"Amara Deepam",1977,"K. Raghavendra Rao","Krishnam Raju",,amara-deepam-1977,http://localhost:3000/reviews/amara-deepam-1977
"Chillarakottu Chittemma",1977,"K Vasu","Krishnam Raju",,chillarakottu-chittemma-1977,http://localhost:3000/reviews/chillarakottu-chittemma-1977
"Secretary",1976,"K. Vasu","Akkineni Nageswara Rao",,secretary-1976,http://localhost:3000/reviews/secretary-1976
"Bhale Dongalu",1976,"K.S.R. Das","Krishna",,bhale-dongalu-1976,http://localhost:3000/reviews/bhale-dongalu-1976
"Jyothi",1976,"K. Vasu","Sobhan Babu",,jyothi-1976,http://localhost:3000/reviews/jyothi-1976
"Magaadu",1976,"Krasna","N.T. Rama Rao",,magaadu-1976,http://localhost:3000/reviews/magaadu-1976
"America Ammayi",1976,"Singheetam Srinivasa Rao","Krishnam Raju",,america-ammayi-1976,http://localhost:3000/reviews/america-ammayi-1976
"Ramarajyamlo Rakthapasam",1976,"P. Chandrasekhara Reddy","Krishna",,ramarajyamlo-rakthapasam-1976,http://localhost:3000/reviews/ramarajyamlo-rakthapasam-1976
"Bhakta Kannappa",1976,"Bapu","Krishnam Raju",,bhakta-kannappa-1976,http://localhost:3000/reviews/bhakta-kannappa-1976
"Monagadu",1976,"Krasna","Sobhan Babu",,monagadu-1976,http://localhost:3000/reviews/monagadu-1976
"Chinninati Kalalu",1975,"K. Vasu","Krishnam Raju",,chinninati-kalalu-1975,http://localhost:3000/reviews/chinninati-kalalu-1975
"Lakshmana Rekha",1975,"N. Gopala Krishna","Chandra Mohan",,lakshmana-rekha-1975,http://localhost:3000/reviews/lakshmana-rekha-1975
"Maa Inti Devudu",1975,"B. V. Prasad","Vijaya Lalitha",,maa-inti-devudu-1975,http://localhost:3000/reviews/maa-inti-devudu-1975
"Sri Chamundeswari Mahima",1975,"Addala Narayana Rao","B. Saroja Devi",,sri-chamundeswari-mahima-1975,http://localhost:3000/reviews/sri-chamundeswari-mahima-1975
"Yashoda Krishna",1975,"C.S. Rao","Ramakrishna",,yashoda-krishna-1975,http://localhost:3000/reviews/yashoda-krishna-1975
"Santanam Soubhagyam",1975,"D. S. Prakash Rao","Krishna",,santanam-soubhagyam-1975,http://localhost:3000/reviews/santanam-soubhagyam-1975
"Cinema Vaibhavam",1975,"Multiple Directors","Ensemble Cast",,cinema-vaibhavam-1975,http://localhost:3000/reviews/cinema-vaibhavam-1975
"Rakthasambandhalu",1975,"M. Mallikarjuna Rao","Krishna",,rakthasambandhalu-1975,http://localhost:3000/reviews/rakthasambandhalu-1975
"Chittamma Chilakamma",1975,"B. Bhaskara Rao","Murali Mohan",,chittamma-chilakamma-1975,http://localhost:3000/reviews/chittamma-chilakamma-1975
"Anuragalu",1975,"K. Vasu","Murali Mohan",,anuragalu-1975,http://localhost:3000/reviews/anuragalu-1975
"Ammayila Sapatham",1975,"Dasari Narayana Rao","Krishnam Raju",,ammayila-sapatham-1975,http://localhost:3000/reviews/ammayila-sapatham-1975
"Moguda? Pellama?",1975,"K Vasu","Krishnam Raju",,moguda-pellama-1975,http://localhost:3000/reviews/moguda-pellama-1975
"Aadhani Adrustam",1975,"K Vasu","Krishnam Raju",,aadhani-adrustam-1975,http://localhost:3000/reviews/aadhani-adrustam-1975
"Bullemma Sapatham",1975,"Dasari Narayana Rao","Krishnam Raju",,bullemma-sapatham-1975,http://localhost:3000/reviews/bullemma-sapatham-1975
"Samsaram",1975,"Dasari Narayana Rao","Krishna",,samsaram-1975,http://localhost:3000/reviews/samsaram-1975
"Raktha Sambandham",1975,"Dasari Narayana Rao","Shobhan Babu",,raktha-sambandham-1975,http://localhost:3000/reviews/raktha-sambandham-1975
"Bharathi",1975,"K. Viswanath","Krishnam Raju",,bharathi-1975,http://localhost:3000/reviews/bharathi-1975
"Pandati Samsaram",1975,"Dasari Narayana Rao","Krishna",,pandati-samsaram-1975,http://localhost:3000/reviews/pandati-samsaram-1975
"Babu",1975,"K. Balachander","Shobhan Babu",,babu-1975,http://localhost:3000/reviews/babu-1975
"Santhanam Soubhagyam",1975,"Dasari Narayana Rao","Krishnam Raju",,santhanam-soubhagyam-1975,http://localhost:3000/reviews/santhanam-soubhagyam-1975
"Kothakapuram",1975,"K. Vasu","Krishna",,kothakapuram-1975,http://localhost:3000/reviews/kothakapuram-1975
"Annadammula Katha",1975,"Dasari Narayana Rao","N.T. Rama Rao",,annadammula-katha-1975,http://localhost:3000/reviews/annadammula-katha-1975
"Annadammula Anubandham",1975,"B. Vittalacharya","Nandamuri Balakrishna",,annadammula-anubandham-1975,http://localhost:3000/reviews/annadammula-anubandham-1975
"Ramayya Thandri",1975,"K. Vasu","Krishna",,ramayya-thandri-1975,http://localhost:3000/reviews/ramayya-thandri-1975
"Jeevana Jyothi",1975,"K. Vasu","Murali Mohan",,jeevana-jyothi-1975,http://localhost:3000/reviews/jeevana-jyothi-1975
"Cheekati Velugulu",1975,"K. Vasu","Krishna",,cheekati-velugulu-1975,http://localhost:3000/reviews/cheekati-velugulu-1975
"Thulambaram",1974,"K Vasu","Krishnam Raju",,thulambaram-1974,http://localhost:3000/reviews/thulambaram-1974
"Thathamma Kala",1974,"Dadasaheb","Krishna",,thathamma-kala-1974,http://localhost:3000/reviews/thathamma-kala-1974
"Uthama Illalu",1974,"Dasari Narayana Rao","Krishna",,uthama-illalu-1974,http://localhost:3000/reviews/uthama-illalu-1974
"Manshulu Mati Bommalu",1974,"B. Baskar","Krishna",,manshulu-mati-bommalu-1974,http://localhost:3000/reviews/manshulu-mati-bommalu-1974
"Dorababu",1974,"Tatineni Rama Rao","Akkineni Nageswara Rao",,dorababu-1974,http://localhost:3000/reviews/dorababu-1974
"Gundelu Teesina Monagaadu",1974,"N. B. Chakravarthi","Kanta Rao",,gundelu-teesina-monagaadu-1974,http://localhost:3000/reviews/gundelu-teesina-monagaadu-1974
"Deergha Sumangali",1974,"Adurthi Subba Rao","Krishna",,deergha-sumangali-1974,http://localhost:3000/reviews/deergha-sumangali-1974
"Nomu",1974,"P. Chandrasekhara Reddy","Sobhan Babu",,nomu-1974,http://localhost:3000/reviews/nomu-1974
"Urvasi",1974,"K. Bapayya","Sanjeev Kumar",,urvasi-1974,http://localhost:3000/reviews/urvasi-1974
"Bantrotu Bharya",1974,"Dasari Narayana Rao","Akkineni Nageswara Rao",,bantrotu-bharya-1974,http://localhost:3000/reviews/bantrotu-bharya-1974
"Intiniti Katha",1974,"K. Balachander","Krishna",,intiniti-katha-1974,http://localhost:3000/reviews/intiniti-katha-1974
"Gowri",1974,"P. Chandrasekhara Reddy","Krishna",,gowri-1974,http://localhost:3000/reviews/gowri-1974
"Adapillala Tandri",1974,"Dasari Narayana Rao","Krishna",,adapillala-tandri-1974,http://localhost:3000/reviews/adapillala-tandri-1974
"Desoddharakulu",1973,"Dasari Narayana Rao","Krishna",,desoddharakulu-1973,http://localhost:3000/reviews/desoddharakulu-1973
"Mayadari Malligadu",1973,"Adurthi Subba Rao","Krishna",,mayadari-malligadu-1973,http://localhost:3000/reviews/mayadari-malligadu-1973
"Lokam Marali (tamil Dub Naangu Suvargal)",1973,"K Balachander","Jaishankar",,lokam-marali-tamil-dub-naangu-suvargal-1973,http://localhost:3000/reviews/lokam-marali-tamil-dub-naangu-suvargal-1973
"Sthri Chandra Kala",1973,"C.S. Rao","Krishna",,sthri-chandra-kala-1973,http://localhost:3000/reviews/sthri-chandra-kala-1973
"Dhanama? Daivama?",1973,"Dasari Narayana Rao","Akkineni Nageswara Rao",,dhanama-daivama-1973,http://localhost:3000/reviews/dhanama-daivama-1973
"Visali",1973,"C.S. Rao","Krishna",,visali-1973,http://localhost:3000/reviews/visali-1973
"Andala Ramudu",1973,"Bapu","Akkineni Nageswara Rao",,andala-ramudu-1973,http://localhost:3000/reviews/andala-ramudu-1973
"Geetaanjali",1973,"K. Balachander","Akkineni Nageswara Rao",,geetaanjali-1973,http://localhost:3000/reviews/geetaanjali-1973
"Snehabandam",1973,"K. Vasu","Sobhan Babu",,snehabandam-1973,http://localhost:3000/reviews/snehabandam-1973
"Vaade Veedu",1973,"Dadasaheb Padamanabh","N.T. Rama Rao",,vaade-veedu-1973,http://localhost:3000/reviews/vaade-veedu-1973
"Vintha Katha",1973,"K. Balachander","Krishna",,vintha-katha-1973,http://localhost:3000/reviews/vintha-katha-1973
"Sneha Bandham",1973,"K. Viswanath","Krishna",,sneha-bandham-1973,http://localhost:3000/reviews/sneha-bandham-1973
"Samsaram Sagaram",1973,"Dasari Narayana Rao","Krishna",,samsaram-sagaram-1973,http://localhost:3000/reviews/samsaram-sagaram-1973
"Meghamala",1973,"K. Balachander","Krishnam Raju",,meghamala-1973,http://localhost:3000/reviews/meghamala-1973
"Number One",1973,"KSF Vissu","N.T. Rama Rao",,number-one-1994,http://localhost:3000/reviews/number-one-1994
"Abhimanavantulu",1973,"K Vasu","N.T. Rama Rao",,abhimanavantulu-1973,http://localhost:3000/reviews/abhimanavantulu-1973
"Paropakari (Kannada Dub)",1973,"Y. R. Swamy","Rajkumar",,paropakari-kannada-dub-1973,http://localhost:3000/reviews/paropakari-kannada-dub-1973
"Raj Mahal",1972,"K. Vasu","Krishna",,raj-mahal-1972,http://localhost:3000/reviews/raj-mahal-1972
"Manchi Rojulu Vachchaayi",1972,"V. Madhusudan Rao","ANR Kanchana",,manchi-rojulu-vachchaayi-1972,http://localhost:3000/reviews/manchi-rojulu-vachchaayi-1972
"Guduputani",1972,"P. Lakshmi Deepak","Krishna",,guduputani-1972,http://localhost:3000/reviews/guduputani-1972
"Kula Gowravam",1972,"K Vasu","Akkineni Nageswara Rao",,kula-gowravam-1972,http://localhost:3000/reviews/kula-gowravam-1972
"Hantakulu Devantakulu",1972,"Dasari Narayana Rao","Krishna",,hantakulu-devantakulu-1972,http://localhost:3000/reviews/hantakulu-devantakulu-1972
"Datta Putrudu",1972,"Dasari Narayana Rao","N.T. Rama Rao",,datta-putrudu-1972,http://localhost:3000/reviews/datta-putrudu-1972
"Vinta Dampatulu",1972,"Dasari Narayana Rao","Akkineni Nageswara Rao",,vinta-dampatulu-1972,http://localhost:3000/reviews/vinta-dampatulu-1972
"Antha Mana Manichike",1972,"Bhanumathi Ramakrishna","Krishna",,antha-mana-manichike-1972,http://localhost:3000/reviews/antha-mana-manichike-1972
"Sri Krishnanjaneya Yuddham",1972,"C. S. Rao","N.T. Rama Rao",,sri-krishnanjaneya-yuddham-1972,http://localhost:3000/reviews/sri-krishnanjaneya-yuddham-1972
"Monagadostunnadu Jagratha",1972,"K Vasu","Akkineni Nageswara Rao",,monagadostunnadu-jagratha-1972,http://localhost:3000/reviews/monagadostunnadu-jagratha-1972
"Kattula Rattayya",1972,"K.S.R. Das","Krishna",,kattula-rattayya-1972,http://localhost:3000/reviews/kattula-rattayya-1972
"Maa Oori Monagallu",1972,"K.S.R. Das","Krishna",,maa-oori-monagallu-1972,http://localhost:3000/reviews/maa-oori-monagallu-1972
"Nijam Nirupista",1972,"S.S. Devadas","Krishna",,nijam-nirupista-1972,http://localhost:3000/reviews/nijam-nirupista-1972
"Bala Bharatam",1972,"Kamalakara Kameswara Rao","Sobhan Babu",,bala-bharatam-1972,http://localhost:3000/reviews/bala-bharatam-1972
"Bale Mosagadu",1972,"P. Sambasiva Rao","Krishna",,bale-mosagadu-1972,http://localhost:3000/reviews/bale-mosagadu-1972
"Monagadostunnadu Jagartta",1972,"K.S.R. Das","Krishna",,monagadostunnadu-jagartta-1972,http://localhost:3000/reviews/monagadostunnadu-jagartta-1972
"Vooriki Vupakari",1972,"K. Vasu","Akkineni Nageswara Rao",,vooriki-vupakari-1972,http://localhost:3000/reviews/vooriki-vupakari-1972
"Beedala Patlu",1972,"Adurthi Subba Rao","Krishna",,beedala-patlu-1972,http://localhost:3000/reviews/beedala-patlu-1972
"Sabhash Baby?",1972,"K. Vasu","Sobhan Babu",,sabhash-baby-1972,http://localhost:3000/reviews/sabhash-baby-1972
"Neeti-Nijayiti",1972,"Singham","Akkineni Nageswara Rao",,neeti-nijayiti-1972,http://localhost:3000/reviews/neeti-nijayiti-1972
"Muhammad Bin Tuglak",1972,"K. Raghavendra Rao","Nagabhushanam",,muhammad-bin-tuglak-1972,http://localhost:3000/reviews/muhammad-bin-tuglak-1972
"Kodalupilla",1972,"M. Mallikarjuna Rao","Krishna",,kodalupilla-1972,http://localhost:3000/reviews/kodalupilla-1972
"Kalam Marindi",1972,"K. Vasu","Krishna",,kalam-marindi-1972,http://localhost:3000/reviews/kalam-marindi-1972
"Vichitra Bandham",1972,"Adurthi Subba Rao","Akkineni Nageswara Rao",,vichitra-bandham-1972,http://localhost:3000/reviews/vichitra-bandham-1972
"Chinnanati Snehitulu",1971,"K Vasu","N.T. Rama Rao",,chinnanati-snehitulu-1971,http://localhost:3000/reviews/chinnanati-snehitulu-1971
"Vichithra Kutumbam",1971,"Adeyachenna","N.T. Rama Rao",,vichithra-kutumbam-1971,http://localhost:3000/reviews/vichithra-kutumbam-1971
"Adrusta Jathakudu",1971,"K. Vasu","Akkineni Nageswara Rao",,adrusta-jathakudu-1971,http://localhost:3000/reviews/adrusta-jathakudu-1971
"Prema Nagar",1971,"K Vasu","Akkineni Nageswara Rao",,prema-nagar-1971,http://localhost:3000/reviews/prema-nagar-1971
"James Bond 777",1971,"K.S.R. Das","Krishna",,james-bond-777-1971,http://localhost:3000/reviews/james-bond-777-1971
"Nenu Manishine",1971,"Adurthi Subba Rao","Krishna",,nenu-manishine-1971,http://localhost:3000/reviews/nenu-manishine-1971
"Vikramarka Vijayam",1971,"Kamalakara Kameswara Rao","N.T. Rama Rao",,vikramarka-vijayam-1971,http://localhost:3000/reviews/vikramarka-vijayam-1971
"Amaayakuraalu",1971,"Shakti Samanta","Akkineni Nageswara Rao",,amaayakuraalu-1971,http://localhost:3000/reviews/amaayakuraalu-1971
"Anuradha",1971,"V. Madhusudhan Rao","Krishna",,anuradha-1971,http://localhost:3000/reviews/anuradha-1971
"Sampoorna Ramayanam",1971,"Bapu","N.T. Rama Rao",,sampoorna-ramayanam-1971,http://localhost:3000/reviews/sampoorna-ramayanam-1971
"Bhagyavantudu",1971,"D. Yoganand","Akkineni Nageswara Rao",,bhagyavantudu-1971,http://localhost:3000/reviews/bhagyavantudu-1971
"Gudachari 003",1971,"A. R. K. Prasad","Krishna",,gudachari-003-1971,http://localhost:3000/reviews/gudachari-003-1971
"Sati Ansuya",1971,"Kadri Venkata Reddy","Akkineni Nageswara Rao",,sati-ansuya-1971,http://localhost:3000/reviews/sati-ansuya-1971
"Agni Pariksha",1970,"K. Varaprasada Rao","Krishna",,agni-pariksha-1970,http://localhost:3000/reviews/agni-pariksha-1970
"Desamante Manushuloyi",1970,"C.S. Rao","N.T. Rama Rao",,desamante-manushuloyi-1970,http://localhost:3000/reviews/desamante-manushuloyi-1970
"Andarki Monagadu",1970,"M. Mallikarjuna Rao","Krishna",,andarki-monagadu-1970,http://localhost:3000/reviews/andarki-monagadu-1970
"Paga Sadista",1970,"K. S. R. Das","Krishna",,paga-sadista-1970,http://localhost:3000/reviews/paga-sadista-1970
"Balaraju Katha",1970,"Bapu","N.T. Rama Rao",,balaraju-katha-1970,http://localhost:3000/reviews/balaraju-katha-1970
"Chitti Chellelu",1970,"K. Vasu","Akkineni Nageswara Rao",,chitti-chellelu-1970,http://localhost:3000/reviews/chitti-chellelu-1970
"Akka Chellelu",1970,"A. Sheshagiri Rao","Krishna",,akka-chellelu-1970,http://localhost:3000/reviews/akka-chellelu-1970
"Pachhani Samsaram",1970,"P. Lakshmi Deepak","Krishna",,pachhani-samsaram-1970,http://localhost:3000/reviews/pachhani-samsaram-1970
"Pelli Koothuru",1970,"V. Ramachandra Rao","Krishna",,pelli-koothuru-1970,http://localhost:3000/reviews/pelli-koothuru-1970
"Maayani Mamata",1970,"Kamalakara K. Rao","N.T. Rama Rao",,maayani-mamata-1970,http://localhost:3000/reviews/maayani-mamata-1970
"Drohi",1970,"Krasna","Krishna",,drohi-1970,http://localhost:3000/reviews/drohi-1970
"Dharma Daata",1970,"A Sanjeevi","N.T. Rama Rao",,dharma-daata-1970,http://localhost:3000/reviews/dharma-daata-1970
"Malli Pelli",1970,"Adurthi Subba Rao","Krishna",,malli-pelli-1970,http://localhost:3000/reviews/malli-pelli-1970
"Oke Kutumbham",1970,"Adurthi Subba Rao","Akkineni Nageswara Rao",,oke-kutumbham-1970,http://localhost:3000/reviews/oke-kutumbham-1970
"Aatmiyulu",1969,"V. Madhusudhana Rao","Akkineni Nageswara Rao",,aatmiyulu-1969,http://localhost:3000/reviews/aatmiyulu-1969
"Manishichina Maguva",1969,"K Vasu","N.T. Rama Rao",,manishichina-maguva-1969,http://localhost:3000/reviews/manishichina-maguva-1969
"Jagath Kiladeelu",1969,"Dasari Narayana Rao","Krishna",,jagath-kiladeelu-1969,http://localhost:3000/reviews/jagath-kiladeelu-1969
"Annadammulu",1969,"K. Viswanath","Krishna",,annadammulu-1969,http://localhost:3000/reviews/annadammulu-1969
"Bandipotu Bheemanna",1969,"K. Pratyagatma","Krishna",,bandipotu-bheemanna-1969,http://localhost:3000/reviews/bandipotu-bheemanna-1969
"Mathru Devata",1969,"Sadhana","N.T. Rama Rao",,mathru-devata-1969,http://localhost:3000/reviews/mathru-devata-1969
"Karpoora Harathi",1969,"K. Viswanath","Krishna",,karpoora-harathi-1969,http://localhost:3000/reviews/karpoora-harathi-1969
"Gandaragandudu",1969,"K Hemambharadhara Rao","N.T. Rama Rao",,gandaragandudu-1969,http://localhost:3000/reviews/gandaragandudu-1969
"Astulu Anthastulu",1969,"K. Viswanath","Krishna",,astulu-anthastulu-1969,http://localhost:3000/reviews/astulu-anthastulu-1969
"Bangaru Panjaram",1969,"Vehapally Bhanumathi","N.T. Rama Rao",,bangaru-panjaram-1969,http://localhost:3000/reviews/bangaru-panjaram-1969
"Kathanayakudu",1969,"K Vasu","N.T. Rama Rao",,kathanayakudu-1969,http://localhost:3000/reviews/kathanayakudu-1969
"Bommalu Cheppina Katha",1969,"K. Viswanath","Krishna",,bommalu-cheppina-katha-1969,http://localhost:3000/reviews/bommalu-cheppina-katha-1969
"Saptaswaralu",1969,"Vasu Menon","Akkineni Nageswara Rao",,saptaswaralu-1969,http://localhost:3000/reviews/saptaswaralu-1969
"Ukkupidugu",1969,"Adurthi Subba Rao","N.T. Rama Rao",,ukkupidugu-1969,http://localhost:3000/reviews/ukkupidugu-1969
"Bhale Abbailu",1969,"K. Viswanath","Krishna",,bhale-abbailu-1969,http://localhost:3000/reviews/bhale-abbailu-1969
"Manushulu Marali",1969,"V. Ramachandra Rao","N.T. Rama Rao",,manushulu-marali-1969,http://localhost:3000/reviews/manushulu-marali-1969
"Poovanam",1969,"Bapu","Sobhan Babu",,poovanam-1969,http://localhost:3000/reviews/poovanam-1969
"Muhrutha Balam",1969,"K. Viswanath","Krishna",,muhrutha-balam-1969,http://localhost:3000/reviews/muhrutha-balam-1969
"Nadamanthrapu Siri",1968,"T Rama Rao","N.T. Rama Rao",,nadamanthrapu-siri-1968,http://localhost:3000/reviews/nadamanthrapu-siri-1968
"Devadichina Bharta",1968,"C Pullaiah","N.T. Rama Rao",,devadichina-bharta-1968,http://localhost:3000/reviews/devadichina-bharta-1968
"Kumkuma Barani",1968,"K Vasu","N.T. Rama Rao",,kumkuma-barani-1968,http://localhost:3000/reviews/kumkuma-barani-1968
"Panthaalu Pattimpulu",1968,"V. Rao","N.T. Rama Rao",,panthaalu-pattimpulu-1968,http://localhost:3000/reviews/panthaalu-pattimpulu-1968
"Aggi Meeda Guggilam",1968,"G. Viswanatham","Tadepalli Lakshmi Kanta Rao",,aggi-meeda-guggilam-1968,http://localhost:3000/reviews/aggi-meeda-guggilam-1968
"Amayakudu",1968,"V. Ramachandra Rao","Krishna",,amayakudu-1968,http://localhost:3000/reviews/amayakudu-1968
"Attagaru Kotha Kodalu",1968,"Sanjeevi","Krishna",,attagaru-kotha-kodalu-1968,http://localhost:3000/reviews/attagaru-kotha-kodalu-1968
