Title,Year,Director,Hero,TMDB ID,Slug,Review URL
"Malle Pandiri",1982,"K. Vasu","S. P. Balasubramaniam",,malle-pandiri-1982,http://localhost:3000/reviews/malle-pandiri-1982
"Vamsha Gowravam",1982,"Dasari Narayana Rao","Krishnam Raju",,vamsha-gowravam-1982,http://localhost:3000/reviews/vamsha-gowravam-1982
"Shamsher Shankar",1982,"K.S.R. Das","Krishnam Raju",,shamsher-shankar-1982,http://localhost:3000/reviews/shamsher-shankar-1982
"Kilinjalgal",1982,"Bhimsingh","Kamal Haasan",,kilinjalgal-1982,http://localhost:3000/reviews/kilinjalgal-1982
"Ee Charithra Ye Siratho",1982,"Vejella Satyanarayana","Siva Krishna",,ee-charithra-ye-siratho-1982,http://localhost:3000/reviews/ee-charithra-ye-siratho-1982
"Trisulam",1982,"K. Vasu","Krishnam Raju",,trisulam-1982,http://localhost:3000/reviews/trisulam-1982
"Raja Chandra",1982,"Kodandarami Reddy","Krishnam Raju",,raja-chandra-1982,http://localhost:3000/reviews/raja-chandra-1982
"Jagannadha Rathachakralu",1982,"Kodandarami Reddy","Krishnam Raju",,jagannadha-rathachakralu-1982,http://localhost:3000/reviews/jagannadha-rathachakralu-1982
"Shamshare Shankar",1982,"K.S.R. Das","Krishna",,shamshare-shankar-1982,http://localhost:3000/reviews/shamshare-shankar-1982
"Telugunaadu",1982,"K. Vasu","Sarath Babu",,telugunaadu-1982,http://localhost:3000/reviews/telugunaadu-1982
"O Adadhi O Magadu",1982,"Dasari Narayana Rao","Alekhya",,o-adadhi-o-magadu-1982,http://localhost:3000/reviews/o-adadhi-o-magadu-1982
"Viplava Shankam",1982,"K Vasu","Krishnam Raju",,viplava-shankam-1982,http://localhost:3000/reviews/viplava-shankam-1982
"Mantralaya Raghavendra Vaibhavam",1982,"Ramakrishna, Chandra Kala","Akkineni Nageswara Rao",,mantralaya-raghavendra-vaibhavam-1982,http://localhost:3000/reviews/mantralaya-raghavendra-vaibhavam-1982
"Kommineni",1982,"K Vasu","Somayajulu",,kommineni-1982,http://localhost:3000/reviews/kommineni-1982
"Dharma Vaddi",1982,"B. Bhaskara Rao","Murali Mohan",,dharma-vaddi-1982,http://localhost:3000/reviews/dharma-vaddi-1982
"Idi Pellantara",1982,"Kodandarami Reddy","Krishnam Raju",,idi-pellantara-1982,http://localhost:3000/reviews/idi-pellantara-1982
"Illanta Sandadi",1982,"Relangi Narasimha Rao","Chiranjeevi",,illanta-sandadi-1982,http://localhost:3000/reviews/illanta-sandadi-1982
"Krishnarjunulu",1982,"Dasari Narayana Rao","Krishnam Raju",,krishnarjunulu-1982,http://localhost:3000/reviews/krishnarjunulu-1982
"Prema Murthulu",1982,"Kodandarami Reddy","Sarath Babu",,prema-murthulu-1982,http://localhost:3000/reviews/prema-murthulu-1982
"Jaggu",1982,"Kodandarami Reddy","Chiranjeevi",,jaggu-1982,http://localhost:3000/reviews/jaggu-1982
"Prathikaram",1982,"K. Vasu","Sarath Babu",,prathikaram-1982,http://localhost:3000/reviews/prathikaram-1982
"Doctor Cine Actor",1982,"Vijaya Nirmala","Krishna",,doctor-cine-actor-1982,http://localhost:3000/reviews/doctor-cine-actor-1982
"Pralaya Rudrudu",1982,"A. Kodandarami Reddy","Krishna",,pralaya-rudrudu-1982,http://localhost:3000/reviews/pralaya-rudrudu-1982
"Maro Malupu",1982,"K. Balachander","Gummadi",,maro-malupu-1982,http://localhost:3000/reviews/maro-malupu-1982
"Bairisetty Bhaskara Rao",1982,"Chiranjeevi","R. Narayana Murthy",,bairisetty-bhaskara-rao-1982,http://localhost:3000/reviews/bairisetty-bhaskara-rao-1982
"Prema Nakshatram",1982,"Indra Kumar","Naresh",,prema-nakshatram-1982,http://localhost:3000/reviews/prema-nakshatram-1982
"Radhamma Mogudu",1982,"A. Kodandarami Reddy","Krishnam Raju",,radhamma-mogudu-1982,http://localhost:3000/reviews/radhamma-mogudu-1982
"Devatha",1982,"K. Vasu","Sobhan Babu",,devatha-1982,http://localhost:3000/reviews/devatha-1982
"Jagannatha Radhachakralu",1982,"V. Madhusudhan Rao","Krishna",,jagannatha-radhachakralu-1982,http://localhost:3000/reviews/jagannatha-radhachakralu-1982
"Chandamama",1982,"Kodandarami Reddy","N.T. Rama Rao",,chandamama-1982,http://localhost:3000/reviews/chandamama-1982
"Ee Kaalam Katha",1982,"Madhav Rao","Sarath Babu",,ee-kaalam-katha-1982,http://localhost:3000/reviews/ee-kaalam-katha-1982
"Eenadu",1982,"K. Viswanath","Krishna",,eenadu-1982,http://localhost:3000/reviews/eenadu-1982
