"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"ali","Super","2010","Actor (Supporting)","✓ EXISTS","Super","సూపర్","2010","100","b86e2547-0dfb-4a5f-b046-72e49fc6c39f","Add ali to cast/crew"
"amala","Velaikaran","1987","Actor (Supporting)","✓ EXISTS","Velaikaran","","1987","100","549a78c3-ae33-43d7-8df9-6eb655f8ddfd","Add amala to cast/crew"
"amala","Mappillai","1989","Actor (Supporting)","✓ EXISTS","Mappillai","","1989","100","00d89f19-ccce-49ba-ab22-f4dde8c8d63c","Add amala to cast/crew"
"amala","Kirayi Dada","1987","Actor (Supporting)","✓ EXISTS","Kirayi Dada","కిరాయి డాడా","1987","100","a8051101-a362-444b-a194-183081691ec9","Add amala to cast/crew"
"amala","Chinababu","1988","Actor (Supporting)","✓ EXISTS","Chinababu","కహినాబాబు","1988","100","ee0c5ca5-76a7-44be-9233-462efabbea68","Add amala to cast/crew"
"amala","Siva","1989","Actor (Supporting)","✓ EXISTS","Siva","సివా","1989","100","eca19f7b-3412-47a9-a8a5-6bb0d3bc4a4e","Add amala to cast/crew"
"amala","Prema Yuddham","1990","Actor (Supporting)","✓ EXISTS","Prema Yuddham","ప్రేమ యుడడహామ","1990","100","17eb4434-c986-48ef-b9dc-ef665caf621d","Add amala to cast/crew"
"amala","Nirnayam","1991","Actor (Supporting)","✓ EXISTS","Nirnayam","నిర్ణయం","1991","100","4ba7eadd-201f-40b9-bf8b-4671b734f87c","Add amala to cast/crew"
"amala","Life Is Beautiful","2012","Actor (Supporting)","✓ EXISTS","Life Is Beautiful","లైఫ్ ఈజ్ బెాుటిఫుల","2012","100","ee48c5f0-5d38-4314-bfe6-d19f90a93e0b","Add amala to cast/crew"
"amala","Manam","2014","Cameo appearance (Cameo)","✓ EXISTS","Manam","మనం","2014","100","641726c5-51d0-4a20-8362-cd6c4c24edb0","Add amala to cast/crew"
"amala","Karwaan","2018","Actor (Supporting)","✓ EXISTS","Karwaan","","2018","100","a2525d86-a0c3-4f94-8cf9-b9f34f1cd70f","Add amala to cast/crew"
"amala","Pushpaka Vimana","1987","Actor (Supporting)","✓ EXISTS","Pushpaka Vimana","","1987","100","a2e1453b-1a40-426b-a422-de8869ae5329","Add amala to cast/crew"
"amala","C/O Saira Banu","2017","Actor (Supporting)","✓ EXISTS","C/O Saira Banu","","2017","100","edafee63-c280-41e6-9fdb-c14e25b2a4d6","Add amala to cast/crew"
"brahmanandam","Katha Screenplay Darsakatvam Appalaraju","2011","Actor (Supporting)","✓ EXISTS","Katha Screenplay Darsakatvam Appalaraju","కథ సకరెెనపలాయ డారసాకాటవామ ాపపాలారాజు","2011","100","f6cf33cd-6208-4bad-a8cd-9bae0c5bcfb9","Add brahmanandam to cast/crew"
"brahmanandam","Mozhi","2007","Actor (Supporting)","✓ EXISTS","Mozhi","","2007","100","deb77b90-5024-4922-a6ff-45ac691353ad","Add brahmanandam to cast/crew"
"brahmanandam","Payanam","2011","Rajesh Kapoor (Film Director)","✓ EXISTS","Payanam","పాయానామ","2011","100","7267e0b0-c848-4ad8-87bd-3dc8006b618b","Add brahmanandam to cast/crew"
"brahmanandam","Jilla","2014","Actor (Supporting)","✓ EXISTS","Jilla","","2014","100","88151ff8-b40a-4b56-ba41-ad5fc5a03b83","Add brahmanandam to cast/crew"
"brahmanandam","Junior","2025","Cameo appearance in the song """"Viral Vayyari"" (Cameo)","✓ EXISTS","Junior","జూనియర్","2025","100","91332f5b-bf80-40ac-9c36-0f0e93321f38","Add brahmanandam to cast/crew"
"chandra mohan","Rangula Ratnam","1966","Actor (Supporting)","✓ EXISTS","Rangula Ratnam","రానగులా రాటనామ","1966","100","7ae8a019-7cd0-4020-bb80-af3423326081","Add chandra mohan to cast/crew"
"chandra mohan","Bomma Borusa","1971","Actor (Supporting)","✓ EXISTS","Bomma Borusa","బోమమా బోరుసా","1971","100","3189afec-875a-4adb-9db9-26a111a5be14","Add chandra mohan to cast/crew"
"chandra mohan","Kalam Marindi","1972","Actor (Supporting)","✓ EXISTS","Kalam Marindi","కాలామ మారినడి","1972","100","a68381b7-5d56-43d3-8fd4-c45ca7f7b9ae","Add chandra mohan to cast/crew"
"chandra mohan","Jeevana Tarangalu","1973","Actor (Supporting)","✓ EXISTS","Jeevana Tarangalu","జెెవానా టారానగాలు","1973","100","e6c35e83-0115-49a9-8b10-ec447ed0462c","Add chandra mohan to cast/crew"
"chandra mohan","Alluri Seetharama Raju","1974","Actor (Supporting)","✓ EXISTS","Alluri Seetarama Raju","ాలలురి సెెటారామా రాజు","1974","95","40ef5083-636f-47ed-834d-21188a41222d","Add chandra mohan to cast/crew"
"chandra mohan","Kurukshetram","1977","Actor (Supporting)","✓ EXISTS","Kurukshetram","కురుకసహెటరామ","1977","100","704edb69-90f9-4d4f-a61e-ea105e06e853","Add chandra mohan to cast/crew"
"chandra mohan","Padaharella Vayasu","1978","Actor (Supporting)","✓ EXISTS","Padaharella Vayasu","పాడాహారెలలా వాయాసు","1978","100","68fd5546-e8f2-41b2-bf76-508c9ed9fcd9","Add chandra mohan to cast/crew"
"chandra mohan","Ram Robert Rahim","1980","Actor (Supporting)","✓ EXISTS","Ram Robert Rahim","రామ రోబెరట రాహిమ","1980","100","fa6d3154-8cd7-4600-bfb8-ba09859b53da","Add chandra mohan to cast/crew"
"chandra mohan","Kalahala Kapuram","1982","Actor (Supporting)","✓ EXISTS","Kalahala Kapuram","కాలాహాలా కాపురామ","1982","100","d53707fe-85b1-4524-910f-52663def9d9b","Add chandra mohan to cast/crew"
"chandra mohan","Muchataga Mugguru","1985","Actor (Supporting)","✓ EXISTS","Muchataga Mugguru","ముకహాటాగా ముగ్గురు","1985","100","6442fa07-408a-441f-8ae4-2729ebf70d61","Add chandra mohan to cast/crew"
"chandra mohan","Rendu Rellu Aaru","1986","Actor (Supporting)","✓ EXISTS","Rendu Rella Aaru","రెండు రెలలా ాారు","1986","93","392b54ed-7c23-493d-a0c4-4627975ae7b2","Add chandra mohan to cast/crew"
"chandra mohan","Gandhinagar Rendava Veedhi","1987","Actor (Supporting)","✓ EXISTS","Gandhinagar Rendava Veedhi","గాంధీనగర్ రెండో వీధి","1987","100","bcf99d1d-facb-4ee6-bdca-841789cd0b5a","Add chandra mohan to cast/crew"
"chandra mohan","Trinetrudu","1988","Actor (Supporting)","✓ EXISTS","Trinetrudu","టరినెటరుడు","1988","100","5a50903e-0d03-40c9-b31c-5754c73734a9","Add chandra mohan to cast/crew"
"chandra mohan","Ramba Rambabu","1990","Actor (Supporting)","✓ EXISTS","Rambha Rambabu","రామబహా రామబాబు","1990","92","5ba85799-2bc9-4f0d-bd0b-8bb4bca47880","Add chandra mohan to cast/crew"
"chandra mohan","Aame","1994","Actor (Supporting)","✓ EXISTS","Aame","ఆమె","1994","100","f1008804-3902-46b9-8880-d216fc8dc59c","Add chandra mohan to cast/crew"
"chandra mohan","Preminchukundam Raa","1997","Actor (Supporting)","✓ EXISTS","Preminchukundam Raa","ప్రేమించుకుందాం రా","1997","100","bec5b819-1d34-42d2-aa85-031e6f7b12c8","Add chandra mohan to cast/crew"
"chandra mohan","Chandralekha","1998","Actor (Supporting)","✓ EXISTS","Chandralekha","కహానడరాలెకహా","1998","100","73591e57-5fbb-41a9-a8d4-80875b608a2c","Add chandra mohan to cast/crew"
"chandra mohan","Iddaru Mitrulu","1999","Actor (Supporting)","✓ EXISTS","Iddaru Mitrulu","ఇద్దరు మిటరులు","1999","100","652586cc-f016-4fc9-ba9a-85ea0244760b","Add chandra mohan to cast/crew"
"chandra mohan","Manoharam","2000","Actor (Supporting)","✓ EXISTS","Manoharam","మానోహారామ","2000","100","c6f22f44-64e9-41e5-9be5-f30e2c8c105e","Add chandra mohan to cast/crew"
"chandra mohan","Manasanta Nuvve","2001","Actor (Supporting)","✓ EXISTS","Manasantha Nuvve","మానాసానటహా నువవె","2001","93","f4ed4bd3-b702-4670-bc13-e0d5b1ba6392","Add chandra mohan to cast/crew"
"chandra mohan","Priya Nestama","2002","Actor (Supporting)","✓ EXISTS","Priya Nestama","ప్రియ నెసటామా","2002","100","5d6c429e-3f14-4cf6-90e0-eee6a6af0197","Add chandra mohan to cast/crew"
"chandra mohan","Okkadu","2003","Actor (Supporting)","✓ EXISTS","Okkadu","మణిశర్మ","2003","100","1d081fbe-00a9-4363-8f33-8306bdd9ea8a","Add chandra mohan to cast/crew"
"chandra mohan","Aaptudu","2004","Actor (Supporting)","✓ EXISTS","Aaptudu","ాాపటుడు","2004","100","3c833d64-0022-49cf-a4d7-eb3c14e650db","Add chandra mohan to cast/crew"
"chandra mohan","Ranam","2006","Actor (Supporting)","✓ EXISTS","Ranam","రానామ","2006","100","b5c120b6-a177-4775-8ff0-60eecc178ae6","Add chandra mohan to cast/crew"
"chandra mohan","Desamuduru","2007","Actor (Supporting)","✓ EXISTS","Desamuduru","దేశముదురు","2007","100","b7965ae8-fc60-4570-9057-9ed09c21daae","Add chandra mohan to cast/crew"
"chandra mohan","Mestri","2009","Actor (Supporting)","✓ EXISTS","Mesthri","మెసటహరి","2009","85","32a6163c-0058-4bbb-9b3a-1749b3be1ec2","Add chandra mohan to cast/crew"
"chandra mohan","Namo Venkatesa","2010","Actor (Supporting)","✓ EXISTS","Namo Venkatesa","నామో వెనకాటెసా","2010","100","9dfbcde9-f7f4-4035-bebf-78d9d4e3345c","Add chandra mohan to cast/crew"
"chandra mohan","Mirapakaay","2011","Actor (Supporting)","✓ EXISTS","Mirapakay","మిరపకాయ","2011","90","edcb31b5-3a06-4995-8d27-a4139e7c9ae6","Add chandra mohan to cast/crew"
"chandra mohan","Tuneega Tuneega","2012","Actor (Supporting)","✓ EXISTS","Tuneega Tuneega","టునెెగా టునెెగా","2012","100","64ed599c-10ae-4083-8c8c-07e1fd4e679d","Add chandra mohan to cast/crew"
"chandra mohan","Pilla Nuvvu Leni Jeevitham","2014","Actor (Supporting)","✓ EXISTS","Pilla Nuvvu Leni Jeevitham","పిల్ల నువ్వు లెని జెెవిటహామ","2014","100","1a7f72ea-1468-4e0f-9b33-01f69f568651","Add chandra mohan to cast/crew"
"chandra mohan","Bandipotu","2015","Actor (Supporting)","✓ EXISTS","Bandipotu","బానడిపోటు","2015","100","94e2a1ac-0ba5-4faa-807a-0c6d80b83995","Add chandra mohan to cast/crew"
"chandra mohan","Manamantha","2016","Actor (Supporting)","✓ EXISTS","Manamantha","మానామానటహా","2016","100","b2f53933-cc3f-4588-ae9c-427ab2df6f80","Add chandra mohan to cast/crew"
"chandra mohan","Saguni","2012","Guest appearance (Cameo)","✓ EXISTS","Saguni","","2012","100","28fd3906-10c2-4892-a9d0-6d02357232ea","Add chandra mohan to cast/crew"
"daggubati venkatesh","Prema Nagar","1971","Actor (Supporting)","✓ EXISTS","Prema Nagar","ప్రేమ నాగార","1971","100","5775cdb5-323c-4f3c-a5cf-cd101dc14222","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Vasantha Maligai","1972","Actor (Supporting)","✓ EXISTS","Vasantha Maligai","","1972","100","e1565baa-3261-4aba-b684-240b5b36b302","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Kaliyuga Pandavulu","1986","Actor (Supporting)","✓ EXISTS","Kaliyuga Pandavulu","కాలియుగా పానడావులు","1986","100","66e1c407-a8f3-4397-998b-dec4e76bdf2c","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Ajeyudu","1987","Actor (Supporting)","✓ EXISTS","Ajeyudu","ాజెయుడు","1987","100","5e61c317-da50-42d6-9fb1-b10cb9aa4a38","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Raktha Tilakam","1988","Actor (Supporting)","✓ EXISTS","Raktha Tilakam","రక్త తిలకం","1988","100","aab75874-fd99-4336-bf7b-6be8e41247b1","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Prema","1989","Actor (Supporting)","✓ EXISTS","Prema","ప్రేమ కిరణ్","1989","100","d40dca0a-2505-4dcd-90d3-42be7cfdb8ab","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Aggiramudu","1990","Actor (Supporting)","✓ EXISTS","Aggiramudu","ాగగిరాముడు","1990","100","f2cdac83-1d0a-4ffa-a374-0f4a98f5852e","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Chanti","1992","Actor (Supporting)","✓ EXISTS","Chanti","కహానటి","1992","100","b47ba8ef-f6cf-46af-8c6e-68c2d73cad46","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Super Police","1994","Actor (Supporting)","✓ EXISTS","Super Police","సూపర్ పోలీస్","1994","100","de045757-eaf7-4412-b729-b2a8118bf931","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Pokiri Raja","1995","Actor (Supporting)","✓ EXISTS","Pokiri Raja","పోకిరి రాజా","1995","100","94af1620-187a-4c49-a315-69304106f80b","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Dharma Chakram","1996","Actor (Supporting)","✓ EXISTS","Dharma Chakram","ధర్మ చక్రం","1996","100","7c7399d6-7d48-4ca5-8a7a-f8c959532e24","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Chinnabbayi","1997","Actor (Supporting)","✓ EXISTS","Chinnabbayi","కహిననాబబాయి","1997","100","7a5f9a34-a013-444c-b230-66106c4fc6c8","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Suryavamsam","1998","Actor (Supporting)","✓ EXISTS","Suryavamsam","సూర్యవంశం","1998","100","6664df27-bf9e-4166-9c82-7297e05e21d4","Add daggubati venkatesh to cast/crew"
"daggubati venkatesh","Raja","1999","Actor (Supporting)","✓ EXISTS","Raja","రాజా","1999","100","228168a4-a6b4-4f9c-b357-0a4532f40ace","Add daggubati venkatesh to cast/crew"
