ID,Title,Year,Hero,Director,Our Rating,Has Poster,Synopsis (first 100 chars),Missing Data
863ad6f1-6b43-4e86-bd23-84999161ef4b,"Time Pass",2001,"Ajay","",,NO,"","DIRECTOR, RATING, POSTER, SYNOPSIS"
d5edc733-e59b-42c0-ae51-6980c71906fd,"Sapnon Ka Mandir",1991,"Jaya Prada","",,NO,"A 1991 Telugu film starring Jaya Prada and Jaya Prada.","DIRECTOR, RATING, POSTER"
32d1e7f0-d06e-4892-aaa9-38e68cb3fd06,"Sardar&#91;41&#93;",1984,"Jaya Prada","",,NO,"A 1984 Telugu film starring Jaya Prada.","DIRECTOR, RATING, POSTER, SYNOPSIS"
da08244c-b75c-4473-9abe-088555ce819e,"Main Awara Hoon",1983,"Jaya Prada","",,NO,"A 1983 Telugu film starring Jaya Prada and Raj Babbar.","DIRECTOR, RATING, POSTER"
5cb44bbf-dd51-48d3-99d9-2834bb09fe16,"Bala Mitrula Katha",1972,"Gummadi","",,NO,"","DIRECTOR, RATING, POSTER, SYNOPSIS"
076745f1-ed22-4c60-80b4-de2cd38e198c,"Vallavanukku Vallavan",1965,"Gemini Ganesan","",,NO,"","DIRECTOR, RATING, POSTER, SYNOPSIS"
c2ff5c7e-7bd0-4ec4-9967-7d69c261810a,"Ganga Ki Lahren",1964,"Dharmendra","",,NO,"","DIRECTOR, RATING, POSTER, SYNOPSIS"
