id,slug,title,year,category,issue_type,field,current_value,suggested_fix,severity,auto_fixable
"07540f9d-50b5-4fdd-85aa-311dcd9295dc","kaboye-alludu-1987","Kaboye Alludu",1987,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Rajendra Prasad=Rajendra Prasad","Fix duplicate","high",false
"5356abfd-e4dc-47e3-8ebc-756818317e70","sabadham-1971","Sabadham",1971,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","K R Vijaya=K R Vijaya","Fix duplicate","high",false
"4ba0b6d2-e416-4cd3-bd7c-d6763e994558","ladies-special-1993","Ladies Special",1993,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Vani Viswanath=Vani Viswanath","Fix duplicate","high",false
"c218798b-a4ca-42dc-b7c6-a6a407ab9524","the-desire-2010","The Desire",2010,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Xia Yu=Xia Yu","Fix duplicate","high",false
"6b65d95e-1e3f-46bf-b70b-91282ec6661b","punnami-nagu-2009","Punnami Nagu",2009,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Mumaith Khan=Mumaith Khan","Fix duplicate","high",false
"0aed94d7-f9cc-4e7c-a605-1f7a4fb4881d","mud-people-1991","Mud People",1991,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Archana=Archana","Fix duplicate","high",false
"68b76cbe-5dd4-411a-8373-69ba909cecb0","o-amma-katha-1981","O Amma Katha",1981,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Sharada=Sharada","Fix duplicate","high",false
"ac66122d-0ab5-4d66-a581-5f28d962659e","nimajjanam-1979","Nimajjanam",1979,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Sharada=Sharada","Fix duplicate","high",false
"67b522d8-c3d5-4468-879a-ca56fc735ae6","merupu-daadi-1984","Merupu Daadi",1984,"GENDER_SWAP","FEMALE_IN_HERO","hero","Silk Smitha","Move to heroine","high",false
"b5c120b6-a177-4775-8ff0-60eecc178ae6","ranam-2006","Ranam",2006,"GENDER_SWAP","MALE_IN_HEROINE","heroine","Gopichand","Move to hero","high",false
"e6d54127-0157-44d3-b38f-a9003aa5d321","agni-pareeksha-1970","Agni Pareeksha",1970,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Anjali Devi=Anjali Devi","Fix duplicate","high",false
"84b67c5a-3b87-4280-9995-589d24765a98","devullu-2000","Devullu",2000,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Nitya Shetty=Nitya Shetty","Fix duplicate","high",false
"422b6457-0e66-4546-868c-cc93b6a7c6b5","sri-bannari-amman-2002","Sri Bannari Amman",2002,"GENDER_SWAP","FEMALE_IN_HERO","hero","Vijayashanti","Move to heroine","high",false
"e38a8969-9ecf-4ff1-b973-58c14b85fef1","nagadevathe-2000","Nagadevathe",2000,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Prema=Prema","Fix duplicate","high",false
"85ab9ba4-130c-423e-be7c-671d2243a5ea","rajasthan-1999","Rajasthan",1999,"GENDER_SWAP","FEMALE_IN_HERO","hero","Vijayashanti","Move to heroine","high",false
"85ab9ba4-130c-423e-be7c-671d2243a5ea","rajasthan-1999","Rajasthan",1999,"DATA_ERROR","DUPLICATE_CAST","hero/heroine","Vijayashanti=Vijayashanti","Fix duplicate","high",false
"e0d70eb7-542b-481b-b6b5-2932dff75b4f","kallukondoru-pennu-1998","Kallukondoru Pennu",1998,"GENDER_SWAP","FEMALE_IN_HERO","hero","Vijayashanti","Move to heroine","high",false
