title_en,release_year,director,hero,rating
Kode Nagu,1974,K.S. Prakash Rao,Shobhan Babu,7.5
Praja Rajyam,1983,M. Mallikarjuna Rao,Krishna,7.5
Ramudu Bheemudu,1964,Tapi Chanakya,N. T. Rama Rao,7.5
Palleturi Pidugu,1983,A. Kodandarami Reddy,Suman,7.5
Padmavathi Kalyanam,1983,K. Vasu,Suman,7.5
Raghu Ramudu,1983,A. Kodandarami Reddy,Suman,7.5
Ugra Narasimham,1986,A. Kodandarami Reddy,Nandamuri Balakrishna,7.5
Dharma Devatha,1952,P. Pullaiah,N. T. Rama Rao,7.5
Pushpaka Vimanam,1987,Singitham Srinivasa Rao,Kamal Haasan,7.5
Hantakulu Devantakulu,1972,K. S. R. Das,Krishna,7.5
Bhatti Vikramarka,1960,Jampana,N. T. Rama Rao; Kanta Rao,7.5
Jeevitham,1950,V. Nagayya,N. T. Rama Rao,7.5
Gumastha,1953,R.M. Krishnaswamy,Akkineni Nageswara Rao; Chittoor V. Nagaiah,7.5
Gaanam,1983,K. Ranjith,Sridhar,7.5
Harischandrudu,1980,K Vasu,N. T. Rama Rao,7.5
Pandanti Kapuram,1972,Dasari Narayana Rao,Krishna,7.5
Rudrakali,1983,K. Raghavendra Rao,Chiranjeevi,7.5
Disco King,1984,Bhagyaraj,Nandamuri Balakrishna,7.5
Vande Mataram,1939,B.N. Reddy,Chittoor V. Nagaiah,7.5
Nirdoshi,1967,V. Madhusudhana Rao,N. T. Rama Rao,7.5
Prameelarjuneeyam,1965,M. Mallikarjuna Rao,N. T. Rama Rao,7.5
Veerabhimanyu,1965,V. Madhusudhana Rao,N.T. Rama Rao; Sobhan Babu,7.5
Bhama Kalapam,1988,A. Kodandarami Reddy,Rajendra Prasad,7.5
Melukolupu,1956,G. Ramineedu,N. T. Rama Rao,7.5
Swarna Manjari,1962,Vedantam Raghavayya,N. T. Rama Rao,7.5
Harishchandra,1956,V. Nagayya,N. T. Rama Rao,7.5
Pralaya Rudrudu,1982,A. Kodandarami Reddy,Krishna,7.5
Panthulamma,1977,Singeetam Srinivasa Rao,Ranganath,7.5
Suvarnamala,1948,V. Nagayya,Akkineni Nageswara Rao,7.5
Kaliyuga Ravanasurudu,1980,K. Bapaiah,Krishnam Raju,7.5
Zamindarugari Ammayi,1975,K. Vasu,Krishna,7.5
Sankranti,1952,S. S. Vasan,N. T. Rama Rao,7.5
Baalanandam,1954,K.S. Prakash Rao,Relangi,7.5
Anta Manavalle,1954,Tapi Chanakya,Jaggayya,7.5
Simha Garjana,1978,Kommineni,Krishna,7.5
Bangaru Bommalu,1977,V. B. Rajendra Prasad,Akkineni Nageswara Rao,7.5
Dhanama? Daivama?,1973,C. S. Rao,N. T. Rama Rao,7.5
Meghasandesam,1982,Dasari Narayana Rao,Akkineni Nageswara Rao,7.5
Bandipotu Dongalu,1968,K.S. Prakash Rao,Akkineni Nageswara Rao,7.5
Mahakavi Kshetrayya,1976,C. S. Rao; Adurthi Subba Rao,Akkineni Nageswara Rao,7.5
Chinnari Papalu,1968,Savitri,Jaggayya,7.5
Manchi Babai,1978,T. Krishna,Sobhan Babu,7.5
Vichitra Kutumbam,1969,Adauru Bhujanga Rao,Krishna,7.5
Navaratri,1966,T. Rama Rao,Akkineni Nageswara Rao,7.5
Lakshmana Rekha,1975,N. Gopala Krishna,Chandra Mohan,7.5
Puttinti Gowravam,1975,Dasari Narayana Rao,Krishnam Raju,7.5
Dhanavanthulu Gunavanthulu,1974,K. Varaprasad,Krishna,7.5
VIP 2 (Lalkar),2017,Soundarya Rajinikanth,Girish Kumar,7.5
Beedhala Aasthi,1955,B. S. Ranga,N. T. Rama Rao,7.5
Peddalu Maarali,1974,P. Chandrasekhara Reddy,Krishna,7.5
Aatmiyudu,1977,T. Lenin Babu,Akkineni Nageswara Rao,7.5
Adugu Jaadalu,1966,Vedantam Raghavayya,N. T. Rama Rao,7.5
Kanyashulkam,1955,P Pullaiah,N. T. Rama Rao,7.5
Pancha Bhoothalu,1979,P. C. Reddy,Chandra Mohan,7.5
Kanna Koduku,1961,K.S. Prakash Rao,Akkineni Nageswara Rao,7.5
Thaali Bottu,1970,M. Mallikarjuna Rao,Krishna,7.5
Eenadu,1982,K. Viswanath,Krishna,7.5
Thota Ramudu,1975,Dasari Narayana Rao,Akkineni Nageswara Rao,7.5
Saptaswaralu,1969,Vedantam Raghavayya,Kanta Rao,7.5
Dongala Dopidi,1978,M. Mallikarjuna Rao,Krishna,7.5
Kambojaraju Katha,1967,Kamalakara Kameswara Rao,Kanta Rao,7.5
Amma Manasu,1974,K. Viswanath,Chalam,7.5
Prema Sagaram,1983,T. Rajendar,T. Rajendar,7.5
Karthika Deepam,1979,Lakshmi Deepak,Sobhan Babu,7.5
Nagarjuna,1962,Y.V. Rao,Kanta Rao,7.5
Samsaram Sagaram,1973,Dasari Narayana Rao,S. V. Ranga Rao; Sarath Babu,7.5
Koduku Kodalu,1972,P. Pullaiah,Akkineni Nageswara Rao,7.5
Datta Putrudu,1972,T. Lenin Babu,Akkineni Nageswara Rao,7.5
Neeti-Nijayiti,1972,C. S. Rao,Krishna,7.5
Varalakshmi Vratam,1971,B. Vittalacharya,Krishna,7.5
Bhale Mastaru,1969,S.D. Lal,Krishnam Raju,7.5
Driver Ramudu,1979,K. Raghavendra Rao,N. T. Rama Rao,7.5
Flowing Against,1977,V. Madhusudhan Rao,N. T. Rama Rao,7.5
Bhagya Chakramu,1968,K.V. Reddy,N. T. Rama Rao,7.5
Devata,1965,K. Hemambaradhara Rao,N. T. Rama Rao,7.5
Bangaru Kanuka,1982,Vamsi,Akkineni Nageswara Rao,7.5
Dharma Chakram,1980,Lakshmi Deepak,Sobhan Babu,7.5
Sriranga Neethulu,1983,A Kodandarami Reddy,Kaikala Satyanarayana,7.5
Manishiko Chartira,1983,Vijaya Bapineedu,Suman,7.5
Bullet,1985,Bapu,Krishnam Raju,7.5
Vamsha Gowravam,1982,Dasari Narayana Rao,Krishnam Raju,7.5
Swara Kalpana,1989,Vamsi,Kota Srinivasa Rao,7.5
Nireekshana,1986,Balachandra,Nandamuri Balakrishna,7.5
Police Venkataswamy,1983,Sivachandran,Rajinikanth,7.5
Babruvahana,1964,Samudrala Sr.,N. T. Rama Rao,7.5
Anna Thammudu,1958,C.S. Rao,N. T. Rama Rao,7.5
Palnati Yuddham,1947,L.V. Prasad,Govindarajula Subba Rao,7.5
Srivari Shobanam,1985,Jandhyala,Naresh,7.5
Aalapana,1985,Vamsi,Mohan,7.5
Iddaru Kodukulu,1982,Dadasaheb Torne,Kamal Haasan,7.5
Swapna,1981,Dasari Narayana Rao,Raja,7.5
Kala Yamudu,1983,K. S. R. Das,Krishnam Raju,7.5
Maha Purushudu,1981,P. Lakshmi Deepak,N. T. Rama Rao,7.5
Mangalasutram,1966,A.K. Velan,N. T. Rama Rao,7.5
Circar Express,1968,K.S.R. Das,Krishna,7.5
Poola Pallaki,1982,K. Vasu,Krishnam Raju,7.5
Yamapaasam,1989,A. Kodandarami Reddy,Rajasekhar,7.5
Khaidi Kannayya,1962,B. Vittalacharya,Kanta Rao,7.5
Thene Manasulu,1987,K. Vasu,Rajendra Prasad,7.5
Shrimati,1966,V. Madhusudhana Rao,Akkineni Nageswara Rao,7.5
Pellinaati Pramanalu,1959,K.V. Reddy,Akkineni Nageswara Rao,7.5
Vamsy,1982,Kodi Ramakrishna,Kamal Haasan,7.5
Samsaram,1950,L.V. Prasad,N.T. Rama Rao; Akkineni Nageswara Rao,7.5
Vivaha Bhojanambu,1988,Muthyala Subbaiah,Rajendra Prasad,7.5
Vaddante Dabbu,1954,Yogayya,N. T. Rama Rao,7.5
