decade,year,title_en,hero,director,tmdb_id,slug,poster_url_found,source,notes
1980s,1983,"Prema Jwala","Suman","K. Vasu",,prema-jwala-1983,,,
1980s,1983,"Muggurammayila Mogudu","Rajendra Prasad","Relangi Narasimha Rao",,muggurammayila-mogudu-1983,,,
1980s,1983,"Gaju Bommalu","Naresh","A. Kodandarami Reddy",,gaju-bommalu-1983,,,
1980s,1983,"Vimukthi Kosam","Krishnam Raju","K. Vasu",,vimukthi-kosam-1983,,,
1980s,1983,"Bharathamma Muddu Biddalu","Krishnam Raju","Veera",,bharathamma-muddu-biddalu-1983,,,
1980s,1983,"Moondram Pirai","Sridevi","Balu Mahendra",66389,moondram-pirai-1983,,,
1980s,1983,"Chandi Chamundi","Jayamala","V. Somasekhar",,chandi-chamundi-1983,,,
1980s,1983,"Balidaanam","Murali Mohan","Dhavala Satyam",1116135,balidaanam-1983,,,
1980s,1983,"Navodayam","Suman","P. Chandrasekhara Reddy",,navodayam-1983,,,
1980s,1983,"Kaksha Sadistha","Suman","A. Kodandarami Reddy",,kaksha-sadistha-1983,,,
1980s,1983,"Lanke Bindelu","Anjali Devi","Vijaya Nirmala",304063,lanke-bindelu-1983,,,
1980s,1983,"Chilaka Josyam","Arun Kumar","A Kodandarami Reddy",,chilaka-josyam-1983,,,
1980s,1983,"Triveni Sangamam","Murali Mohan","Kommineni",1116131,triveni-sangamam-1983,,,
1980s,1983,"Subha Muhurtham","Chandra Mohan","Relangi Narasimha Rao",1116132,subha-muhurtham-1983,,,
1980s,1983,"Ikanaina Marandi","Suman","G. Ramamohana Rao",1116136,ikanaina-marandi-1983,,,
1980s,1983,"Prema Vijayam","Suman","Niranjan",1116137,prema-vijayam-1983,,,
1980s,1983,"Idhi Kadhu Mugimpu","Rajendra Prasad","Satyanarayana Vejella",,idhi-kadhu-mugimpu-1983,,,
1980s,1983,"Intalludu","Chandra Mohan","A. Kodandarami Reddy",1116133,intalludu-1983,,,
1980s,1983,"Ee Pillaku Pellavuthunda","Gummadi","Vejella Satyanarayana",,ee-pillaku-pellavuthunda-1983,,,
1980s,1983,"Pichi Pantuulu","Chandra Mohan","Jandhyala",112466,pichi-pantuulu-1983,,,
1980s,1983,"Monagadu Vastunnadu Jagratha","Krishna","A. Kodandarami Reddy",,monagadu-vastunnadu-jagratha-1983,,,
1980s,1983,"Bhairava Kona","Krishnam Raju","K. Vasu",,bhairava-kona-1983,,,
1980s,1983,"Pidugu lanti Manishi","Sivaji Ganesan","M. A. Thirumugham",,pidugu-lanti-manishi-1983,,,
1980s,1983,"Palleturi Pidugu","Suman","B. Vittalacharya",,palleturi-pidugu-1983,,,
1980s,1983,"Padmavathi Kalyanam","Suman","K. Vasu",,padmavathi-kalyanam-1983,,,
1980s,1983,"Prema Sagaram","T. Rajendar","T. Rajendar",996502,prema-sagaram-1983,,,
1980s,1983,"Eeswarudu Seneswarudu","Akkineni Nageswara Rao","K. Vasu",307212,eeswarudu-seneswarudu-1983,,,
1980s,1983,"Manishiko Chartira","Suman","Vijaya Bapineedu",,manishiko-chartira-1983,,,
1980s,1983,"Antham Chusina Adadhi","Rajendra Prasad","Bhargava",,antham-chusina-adadhi-1983,,,
1980s,1983,"Ee Desamlo Oka Roju","Sai Chand","Satyanarayana Vejella",,ee-desamlo-oka-roju-1983,,,
1980s,1983,"Raakasi Loya","Krishna","Vijaya Nirmala",,raakasi-loya-1983,,,
1980s,1983,"Challenge Vetagallu","Suman","A. Kodandarami Reddy",,challenge-vetagallu-1983,,,
1980s,1983,"C I D Simham (Kannada Dub Sahasa Simha 1982)","Vishnuvardha","Joe Simon",,c-i-d-simham-kannada-dub-sahasa-simha-1982-1983,,,
1980s,1983,"Penki Ghatam (Tamil Dubbed Iniayavaley Vaa)","Radhika","N. C. Chakravarthi",,penki-ghatam-tamil-dubbed-iniayavaley-vaa-1983,,,
1980s,1983,"Grahanam Vidichindi","Rajendra Prasad","Murali Mohan",,grahanam-vidichindi-1983,,,
1980s,1983,"Akka Mogudu Chelleli Kapuram","Chandra Mohan","Katta Subba Rao",,akka-mogudu-chelleli-kapuram-1983,,,
1980s,1983,"Agni Samadhi","Kongara Jaggaiah","K.S.R. Doss",,agni-samadhi-1983,,,
1980s,1983,"Kirayi Bommalu","Suman","A. Kodandarami Reddy",,kirayi-bommalu-1983,,,
1980s,1983,"Rangula Puli","Suman","Kodi Ramakrishna",,rangula-puli-1983,,,
1980s,1983,"Adadhi Aata Bommaa!","Sekthi","R K Battula (story/direction)",,adadhi-aata-bommaa-1983,,,
1980s,1983,"Manavulara Manninchandi","Kamal Haasan","K. Balachander",,manavulara-manninchandi-1983,,,
1980s,1983,"Pralaya Gharjana","Krishna","P. Sambasiva Rao",,pralaya-gharjana-1983,,,
1980s,1983,"Koti Kokkadu","Suman","K. Vasu",,koti-kokkadu-1983,,,
1980s,1983,"Kodalu Kaavaali","Suman","K. Vasu",,kodalu-kaavaali-1983,,,
1980s,1983,"Simhamtho Chelagatam","Suman","Kodi Ramakrishna",,simhamtho-chelagatam-1983,,,
1980s,1983,"Lankebindelu","Krishna","Vijaya Nirmala",,lankebindelu-1983,,,
1980s,1983,"Puli Debba","Suman","K.S.R. Doss",,puli-debba-1983,,,
1980s,1983,"Apadhbandhavulu","Suman","K. Vasu",505885,apadhbandhavulu-1983,,,
1980s,1983,"Prema Sagaram (Tamil Dubbed Nenjil Oru Ragam)","T. Rajendar","T. Rajendar",,prema-sagaram-tamil-dubbed-nenjil-oru-ragam-1983,,,
1980s,1983,"Chattaniki Sawal","Suman","K. Vasu",505885,chattaniki-sawal-1983,,,
1980s,1983,"Konte Kodallu","Murali Mohan","K Vasu",505885,konte-kodallu-1983,,,
1980s,1983,"M.L.A. Yedukondalu","Dasari Narayana Rao","Dasari Narayana Rao",434443,m-l-a-yedukondalu-1983,,,
1980s,1983,"Keerthi Kantha Kanakam","Suman","K. Vasu",505885,keerthi-kantha-kanakam-1983,,,
1980s,1983,"Moogavadi Paga","Suman","A. Kodandarami Reddy",505885,moogavadi-paga-1983,,,
1980s,1983,"Kirayi Rangadu","Chiranjeevi","A. Kodandarami Reddy",307216,kirayi-rangadu-1983,,,
1980s,1983,"Vetagadi Vijayam","Suman","A. Kodandarami Reddy",505885,vetagadi-vijayam-1983,,,
1980s,1983,"Amayakudu Kadhu Asadhyudu","Pandari Bai","Vijaya Nirmala",137353,amayakudu-kadhu-asadhyudu-1983,,,
1980s,1983,"Bandhipotu Rudramma","Kavitha","B. Bhaskara Rao",1041164,bandhipotu-rudramma-1983,,,
1980s,1983,"Doctor Gari Kodalu","Sivaji Ganesan","Muktha Srinivasan",505885,doctor-gari-kodalu-1983,,,
1980s,1983,"Patnam Vachhina Pasipapa (Tamil Dubbed Azhakia Kanne 1982)","Sarath Babu","J. Mahendran",561665,patnam-vachhina-pasipapa-tamil-dubbed-azhakia-kanne-1982-1983,,,
1980s,1982,"Madhura Swapnam","Jaya Prada","K. Raghavendra Rao",,madhura-swapnam-1982,,,
1980s,1982,"O Adadhi O Magadu","Alekhya","Dasari Narayana Rao",,o-adadhi-o-magadu-1982,,,
1980s,1982,"Shamshare Shankar","Krishna","K.S.R. Das",,shamshare-shankar-1982,,,
1980s,1982,"Prema Nakshathram","Krishna","P. Sambasiva Rao",,prema-nakshathram-1982,,,
1980s,1982,"Chalakichalu","Krishnam Raju","Devadas Kanakala",,devadas-kanakala-1982,,,
1980s,1982,"Dharma Vaddi","Murali Mohan","B. Bhaskara Rao",,dharma-vaddi-1982,,,
1980s,1982,"Golkonda Abbulu","Jaya Prada","Narayana Rao Dasari",434448,golkonda-abbulu-1982,,,
1980s,1982,"Illanta Sandadi","Chandra Mohan","Relangi Narasimha Rao",279344,illanta-sandadi-1982,,,
1980s,1982,"Mantralaya Raghavendra Vaibhavam","Ramakrishna","Chandra Kala",,mantralaya-raghavendra-vaibhavam-1982,,,
1980s,1982,"Radhamma Mogudu","Krishnam Raju","Rao C.S.R.",,radhamma-mogudu-1982,,,
1980s,1982,"Katta Subba Rao","Sobhan Babu","Katta Subba Rao",,katta-subba-rao-1982,,,
1980s,1982,"Ee Kaalam Katha","Sarath Babu","Madhav Rao",,ee-kaalam-katha-1982,,,
1980s,1982,"Ee Charitra Ae Sirato","Shiva Krishna","Vejalla Satyanarayana",,ee-charitra-ae-sirato-1982,,,
1980s,1982,"Vamsy","Kamal Haasan","Kodi Ramakrishna",,vamsy-1982,,,
1980s,1982,"Bairisetty Bhaskara Rao","Vijayachander","Bairisetty Bhaskara Rao",,bairisetty-bhaskara-rao-1982,,,
1980s,1982,"Viplava Shankam","Krishnam Raju","K Vasu",,viplava-shankam-1982,,,
1980s,1982,"Yuvraju","Akkineni Nageswara Rao","Dasari Narayana Rao",307206,yuvraju-1982,,,
1980s,1982,"Poola Pallaki","Krishnam Raju","K. Vasu",,poola-pallaki-1982,,,
1980s,1982,"Jagannadha Rathachakralu","Krishnam Raju","A. Kodandarami Reddy",,jagannadha-rathachakralu-1982,,,
1980s,1982,"Yuvaraju","Nageshwara Rao Akkineni","Dasari Narayana Rao",626994,yuvaraju-1982,,,
1980s,1982,"Iddaru Kodukulu","Kamal Haasan","D. Yoganand",,iddaru-kodukulu-1982,,,
1980s,1982,"Garuda Rekhe","Srinath","K. Vasu",,garuda-rekhe-1982,,,
1980s,1982,"Devata","C. H. Narayana Rao","Bommireddy Narasimha Reddy",998639,devata-1982,,,
1980s,1982,"Ekalavya","Krishna","Jyotish Bannerjee",307208,ekalavya-1982,,,
1980s,1982,"Ee Charithra Ye Siratho","Siva Krishna","Vejella Satyanarayana",434451,ee-charithra-ye-siratho-1982,,,
1980s,1982,"Vamsha Gowravam","Krishnam Raju","Dasari Narayana Rao",,vamsha-gowravam-1982,,,
1980s,1982,"Krishnaarjunulu","Krishna","K. Raghavendra Rao",,krishnaarjunulu-1982,,,
1980s,1982,"Emandoyi Srimathigaru","Sarath Babu","K. Vasu",,emandoyi-srimathigaru-1982,,,
1980s,1982,"Nipputo Chelagaatam","Allu Rama Lingaiah","Kommineni Seshagiri Rao",,nipputo-chelagaatam-1982,,,
1980s,1982,"Jagannatha Radhachakralu","Krishna","V. Madhusudhan Rao",434449,jagannatha-radhachakralu-1982,,,
1980s,1982,"Propakari Papanna","Krishnam Raju","Dasari Narayana Rao",,propakari-papanna-1982,,,
1980s,1982,"Aththaku Thagga Allullu","Krishna","Rama Narayanan",1146312,aththaku-thagga-allullu-1982,,,
1980s,1982,"Doctor Malathi","Girish","K. Vasu",,doctor-malathi-1982,,,
1980s,1982,"Cancer-Sukhavyadhulu","M. Prabhakar Reddy","M. Prabhakar Reddy",,cancer-sukhavyadhulu-1982,,,
1980s,1982,"Talli Kodukula Anubandham","Kaikala Satyanarayana","K. S. R. Das",,talli-kodukula-anubandham-1982,,,
1980s,1982,"Chilipi Chinnodu","Sarath Babu","K. Vasu",,chilipi-chinnodu-1982,,,
1980s,1982,"Prema Sankellu","Krishna","Vijaya Nirmala",,prema-sankellu-1982,,,
1980s,1982,"Krishnarjunulu","Krishna, ANR","K. Raghavendra Rao",307213,krishnarjunulu-1982,,,
1980s,1982,"Kommineni","Somayajulu","K Vasu",,kommineni-1982,,,
1980s,1981,"O Amma Katha","Sharada","Vasanta Sen",442659,o-amma-katha-1981,,,
1980s,1981,"Gharana Gangulu","Sobhan Babu","Katta Subba Rao",304239,gharana-gangulu-1981,,,
1980s,1981,"Parvathi Parameshwarulu","Chiranjeevi","M.S. Koti Reddy",,parvathi-parameshwarulu-1981,,,
1980s,1981,"Daari Tappina Manishi","Narasimha Raju","B. Narasimha Rao",442658,daari-tappina-manishi-1981,,,
1980s,1981,"Bhogimanthulu","Krishna","Vijaya Nirmala",434452,bhogimanthulu-1981,,,
1980s,1981,"Alludugaru Zindabad","Gummadi","Subba Rao Katta",345090,alludugaru-zindabad-1981,,,
1980s,1981,"47 Rojulu","Chiranjeevi","K. Balachander",279356,47-rojulu-1981,,,
1980s,1981,"Jathagadu","Krishna","Bhoyina Subba Rao",308048,jathagadu-1981,,,
1980s,1981,"Adavaallu Meeku Joharulu","Jayasudha","K. Balachander",,adavaallu-meeku-joharulu-1981,,,
1980s,1981,"Chinnaari Chittibaau","Chandra Mohan","Gopalakrishnan",308038,chinnaari-chittibaau-1981,,,
1980s,1981,"Siddhalingeshwara Mahima","","Hunsur Krishnamurthy",442661,siddhalingeshwara-mahima-1981,,,
1980s,1981,"Patalam Pandu","Mohan Babu","S.D. Lal",442660,patalam-pandu-1981,,,
1980s,1981,"Aadavaallu Meeku Joharlu","Krishnam Raju","K. Balachander",303358,aadavaallu-meeku-joharlu-1981,,,
1980s,1981,"Jeevitha Ratham","Rati Agnihotri","V. Madhusudan Rao",505884,jeevitha-ratham-1981,,,
1980s,1981,"Nenjile Thunivirunthal","Vijayakanth","S. A. Chandrasekhar",882110,nenjile-thunivirunthal-1981,,,
1980s,1981,"Bhoga Bagyalu","Krishna","P. Chandrasekhara Reddy",566901,bhoga-bagyalu-1981,,,
1980s,1981,"Addala Meda","Mohan Babu","Dasari Narayana Rao",541316,addala-meda-1981,,,
1980s,1981,"Mayadari Alludu","Krishna Ghattamaneni","K.S.R. Doss",434453,mayadari-alludu-1981,,,
1980s,1981,"Jagamondi","Rati Agnihotri","V. Madhusudan Rao",541318,jagamondi-1981,,,
1980s,1981,"Antham Kaadidi Aarambham","Krishna","Vijaya Nirmala",1041166,antham-kaadidi-aarambham-1981,,,
1980s,1980,"Adhrustavanthudu","Krishna, ANR","G. C. Sekhar",505879,adhrustavanthudu-1980,,,
1980s,1980,"Harischandrudu","Prabhakar Reddy","U. Visweswar Rao",395715,harischandrudu-1980,,,
1980s,1980,"Adadhee Gadapa Datithe","Rajendra Prasad","B. S. Narayana",,adadhee-gadapa-datithe-1980,,,
1980s,1980,"Aadadi Gadapa Daatite","Murali Mohan","B. S. Narayana",647418,aadadi-gadapa-daatite-1980,,,
1980s,1980,"Chesina Baasalu","Sobhan Babu","K. S. R. Das",505881,chesina-baasalu-1980,,,
1980s,1980,"Ammayi Mogudu Mamaku Yamudu","Krishna","Amrutham",566905,ammayi-mogudu-mamaku-yamudu-1980,,,
1980s,1980,"Kiladi Krishnudu","Krishna","Vijaya Nirmala",434459,kiladi-krishnudu-1980,,,
1980s,1980,"Sirimalle Navvindi","Allu Rama Lingaiah","Vijaya Nirmala",434461,sirimalle-navvindi-1980,,,
1980s,1980,"Ragile Hrudayalu","Jaya Prada","M.Mallikarjuna Rao",434460,ragile-hrudayalu-1980,,,
1980s,1980,"Agni Sanskaram","Chiranjeevi","G. V. Prabhakar",,agni-sanskaram-1980,,,
1980s,1980,"Gandhara Golam","Mohan Babu","Singeetam Srinivasa Rao",112467,gandhara-golam-1980,,,
1980s,1980,"Rakta Sambandham","Chiranjeevi","M. Mallikarjuna Rao",,rakta-sambandham-1980,,,
1980s,1980,"Alludu Pattina Bharatam","Allu Rama Lingaiah","Kasinathuni Viswanath",505857,alludu-pattina-bharatam-1980,,,
1980s,1980,"Inimai Idho Idho","Rajendra Prasad","R. Ramamurthy",,inimai-idho-idho-1980,,,
1980s,1980,"Gayyali Gangamma","K.V. Chalam","Mastan Rao Bheeram",1041170,gayyali-gangamma-1980,,,
1980s,1980,"Ramudu Parasuramudu","Sobhan Babu","M. S. Gopinath",351633,ramudu-parasuramudu-1980,,,
1980s,1980,"Manavude Mahaneeyudu","Mohan Babu","Dasari Narayana Rao",281864,manavude-mahaneeyudu-1980,,,
1980s,1980,"Alayam","Nagesh","D. Madhusudhana",442663,alayam-1980,,,
1980s,1980,"Hare Krishna Hallo Radha","Krishna","K. S. R. Das",434458,hare-krishna-hallo-radha-1980,,,
1980s,1980,"Kodallu Vastunnaru Jagratha","Sobhan Babu","Katta Subba Rao",1146303,kodallu-vastunnaru-jagratha-1980,,,
1970s,1979,"Sanku Teertham","Janthu","K. Viswanath",112471,sanku-teertham-1979,,,
1970s,1979,"Nagna Sathyam","Ramprasad","U. Visweswar Rao",395719,nagna-sathyam-1979,,,
1970s,1979,"Nimajjanam","Sharada","B. S. Narayana",395721,nimajjanam-1979,,,
1970s,1979,"Chaaya","Satyendra Kumar","V. Hanuman Prasad",,chaaya-1979,,,
1970s,1979,"Andadu Aagadu","Allu Rama Lingaiah","S. D. Lal",1041172,andadu-aagadu-1979,,,
1970s,1979,"Muthaiduva","Murali Mohan","P. C. Reddy",505880,muthaiduva-1979,,,
1970s,1979,"Dongalaku Savaal","Krishna","K. S. R. Das",434464,dongalaku-savaal-1979,,,
1970s,1979,"Needa","Murali Mohan","Narayana Rao Dasari",1041173,needa-1979,,,
1970s,1979,"Sri Rambantu","Chiranjeevi","S. D. Lal",,sri-rambantu-1979,,,
1970s,1979,"Captain Krishna","Gummadi","K.S.R. Doss",434463,captain-krishna-1979,,,
1970s,1979,"Yevadabbasommu","Krishna","K. S. R. Das",434468,yevadabbasommu-1979,,,
1970s,1979,"Samajaniki Savaal","Krishna","S. P. Rajaram",1116146,samajaniki-savaal-1979,,,
1970s,1979,"Naa Illu Naa Vallu","Murali Mohan","Raja Chandra",647419,naa-illu-naa-vallu-1979,,,
1970s,1979,"Kaliyuga Mahabharatam","Madhavi","V. Hanuman Prasad",,kaliyuga-mahabharatam-1979,,,
1970s,1978,"Doo Doo Basavanna","Chalam","B. V. Prasad",1116150,doo-doo-basavanna-1978,,,
1970s,1978,"Lawyer Vishwanath","N.T. Rama Rao","S D Lal",1269786,lawyer-vishwanath-1978,,,
1970s,1978,"Prema Chesina Pelli","Pandari Bai","Vijaya Nirmala",1116153,prema-chesina-pelli-1978,,,
1970s,1978,"Karunai Ullam","K. R. Vijaya","A. Bhimsingh",,karunai-ullam-1978,,,
1970s,1978,"Khaidi No. 77","Murali Mohan","V. Hanuman Prasad",1116152,khaidi-no-77-1978,,,
1970s,1978,"Rowdy Rangamma","Vijaya Lalitha","Vijay Singh",1116155,rowdy-rangamma-1978,,,
1970s,1978,"Chiranjeevi Rambabu","Ranganath","Tatineni Prasad",369131,chiranjeevi-rambabu-1978,,,
1970s,1978,"Rickshaw Raji","Murali Mohan","Boyina Subba Rao",1116154,rickshaw-raji-1978,,,
1970s,1978,"Gamattu Gudachari","Ranganath","Singeetam Srinivasa Rao",112472,gamattu-gudachari-1978,,,
1970s,1978,"Sri Renukadevi Mahatyam","B. Saroja Devi","C. S. Rao",281877,sri-renukadevi-mahatyam-1978,,,
1970s,1978,"Indradhanasu","Krishna","K. Bapaiah",434475,indradhanasu-1978,,,
1970s,1978,"Kaliyuga Sthree","Chandramohan","Parvataneni Sambasiva Rao",988196,kaliyuga-sthree-1978,,,
1970s,1978,"Seetamalakshmi","Rameshwari","K. Viswanath",218638,seetamalakshmi-1978,,,
1970s,1977,"Bangaru Bommalu","Anjali Devi","Rajendra Prasad V.B.",304939,q12982331-1977,,,
1970s,1977,"Devathalara Deevinchandi","Jayamalini","Kommineni Seshagiri Rao",307246,devathalara-deevinchandi-1977,,,
1970s,1977,"Bhadrakali","Sivakumar","A. C. Tirulokchandar",824751,bhadrakali-1977,,,
1970s,1977,"Chillarakottu Chittemma","Murali Mohan","Dasari Narayana Rao",303367,chillarakottu-chittemma-1977,,,
1970s,1977,"Khaidi Kalidasu","Mohan Babu","V. Subramanyam",307252,khaidi-kalidasu-1977,,,
1970s,1977,"Kalpanaa","Murali Mohan","K. Raghavendra Rao",307251,kalpanaa-1977,,,
1970s,1977,"Gaayathri","Rajinikanth","R. Pattabhiraman",66329,gaayathri-1977,,,
1970s,1977,"Janmajanmala Bandham","Krishna","P. Chandrasekhara Reddy",307249,janmajanmala-bandham-1977,,,
1970s,1977,"Eenatibandham ye Natido","Krishna","K. S. R. Das",434481,eenatibandham-ye-natido-1977,,,
1970s,1977,"Jeevana Theeralu","Jayasudha","G. C. Sekhar",,jeevana-theeralu-1977,,,
1970s,1977,"Premalekhalu","Jayasudha","K. Raghavendra Rao",307254,premalekhalu-1977,,,
1970s,1977,"Eetharam Manishi","Sobhan Babu","V. Madhusudhana Rao",307248,eetharam-manishi-1977,,,
1970s,1976,"Oorummadi Brathukulu","Rallapalli Narasimha","B. S. Narayana",395723,oorummadi-brathukulu-1976,,,
1970s,1976,"Aaradhana","N.T. Rama Rao","B. V. Prasad",361739,aaradhana-1976,,,
1970s,1976,"Ramarajyamlo Rakthapasam","K.V. Chalam","P. Sambasiva Rao",434489,ramarajyamlo-rakthapasam-1976,,,
1970s,1976,"Manavoori Katha","Murali Mohan","K. Hemambadhara Rao",307260,manavoori-katha-1976,,,
1970s,1976,"Muthyala Pallaki","Jayasudha","Dasari Narayana Rao",303371,muthyala-pallaki-1976,,,
1970s,1975,"Naaku Swatantram Vachindi","Showkar Janaki","Lakshmi Deepak",,naaku-swatantram-vachindi-1975,,,
1970s,1975,"Devude Digivaste","Jaya Prada","Narayana Rao Dasari",,devude-digivaste-1975,,,
1970s,1975,"Cinema Vaibhavam","Ensemble Cast","Multiple Directors",,cinema-vaibhavam-1975,,,
1970s,1975,"Ammayila Sapatham","Ramakrishna, Chandra Mohan","G. V. R. Seshagiri Rao",,ammayila-sapatham-1975,,,
1970s,1975,"Bharatamlo Oka Ammayi","Chandramohan","Dasari Narayana Rao",,bharatamlo-oka-ammayi-1975,,,
1970s,1975,"Chittamma Chilakamma","Murali Mohan","B. Bhaskara Rao",,chittamma-chilakamma-1975,,,
1970s,1975,"Chinninati Kalalu","Krishnam Raju","K. Vasu",,chinninati-kalalu-1975,,,
1970s,1975,"Bullemma Sapatham","Krishnam Raju","Dasari Narayana Rao",,bullemma-sapatham-1975,,,
1970s,1975,"Aadhani Adrustam","Chalam","G.V.R. Seshagiri Rao",,aadhani-adrustam-1975,,,
1970s,1975,"Moguda? Pellama?","Krishnam Raju","K. Vasu",,moguda-pellama-1975,,,
1970s,1975,"Rakthasambandhalu","Krishna","M. Mallikarjuna Rao",,rakthasambandhalu-1975,,,
1970s,1975,"Santanam Soubhagyam","Krishna","D. S. Prakash Rao",,santanam-soubhagyam-1975,,,
1970s,1975,"Annadammula Katha","N. T. Rama Rao","Dasari Narayana Rao",,annadammula-katha-1975,,,
1970s,1975,"Mallela Manasulu","Sobhan Babu","Adurthi Subba Rao",,mallela-manasulu-1975,,,
1970s,1975,"Abhimanavathi","Krishna Ghattamaneni","P. Dhoondy",,abhimanavathi-1975,,,
1970s,1975,"Santhanam Soubhagyam","Krishnam Raju","Dasari Narayana Rao",,santhanam-soubhagyam-1975,,,
1970s,1975,"Cheekati Velugulu","Krishna","K. Vasu",,cheekati-velugulu-1975,,,
1970s,1975,"Kothakapuram","Krishna","K. Vasu",,kothakapuram-1975,,,
1970s,1975,"Ramayya Thandri","Krishna","K. Vasu",,ramayya-thandri-1975,,,
1970s,1975,"Maa Inti Devudu","Phani","B. V. Prasad",,maa-inti-devudu-1975,,,
1970s,1974,"Bantrotu Bharya","Allu Rama Lingaiah","Dasari Narayana Rao",,bantrotu-bharya-1974,,,
1970s,1974,"Thulambaram","Chalam","P. Chandrasekhara Reddy",,thulambaram-1974,,,
1970s,1974,"Uthama Illalu","Krishna","P. Sambasiva Rao",,uthama-illalu-1974,,,
1970s,1974,"Manshulu Mati Bommalu","Krishna","B. Bhaskara Rao",,manshulu-mati-bommalu-1974,,,
1970s,1974,"Amma Manasu","Kaikala Satyanarayana","Kasinathuni Viswanath",,amma-manasu-1974,,,
1970s,1974,"Peddalu Marali","Allu Rama Lingaiah","P. Chandrasekhara Reddy",307581,peddalu-marali-1974,,,
1970s,1974,"Gundelu Teesina Monagaadu","Kanta Rao","N.B. Chakravarthi",,gundelu-teesina-monagaadu-1974,,,
1970s,1974,"Andaru Dongale","Yaragudipati Venkata Mahalakshmi","V. B. Rajendra Prasad",1212033,andaru-dongale-1974,,,
1970s,1974,"Gali Patalu","Gummadi","T. Prakash Rao",,gali-patalu-1974,,,
1970s,1974,"Intiniti Katha","Krishna","K. Satyam",,intiniti-katha-1974,,,
1970s,1973,"Meghamala","Rama Krishna","B. A. Subba Rao",,meghamala-1973,,,
1970s,1973,"Lokam Marali (tamil Dub Naangu Suvargal)","Jaishankar","K. Vijayan",,lokam-marali-tamil-dub-naangu-suvargal-1973,,,
1970s,1973,"Snehabandam","Murali Mohan","P. Sambasiva Rao",,snehabandam-1973,,,
1970s,1973,"Oka Nari Vanda Thupakulu","Raja Babu","K.V.S. Kutumba Rao",,oka-nari-vanda-thupakulu-1973,,,
1970s,1973,"Paropakari (Kannada Dub)","Rajkumar","Y. R. Swamy",,paropakari-kannada-dub-1973,,,
1970s,1973,"Sthri","Krishnam Raju","S. S. Devadas",,sthri-chandra-kala-1973,,,
1970s,1973,"Geetaanjali","Murali Mohan","A. Sanjeevi",,geetaanjali-1973,,,
1970s,1973,"Visali","Jaggayya","K. Babu Rao",,visali-1973,,,
1970s,1973,"Doctor Babu","Allu Rama Lingaiah","Tatineni Rama Rao",,doctor-babu-1973,,,
1970s,1973,"Sneha Bandham","Jamuna","P. Chandramohana Reddy",,sneha-bandham-1973,,,
1970s,1973,"Geeta","Durga Khote","Parshwanath Yeshwant Altekar",,geeta-1973,,,
1970s,1973,"Abhimanavantulu","Krishna","K. S. Rami Reddy",,abhimanavantulu-1973,,,
1970s,1972,"Nijam Nirupista","Krishna","S. D. Lal",,nijam-nirupista-1972,,,
1970s,1972,"Marapurani Talli","Pandharibai","K. S. Prakash Rao",,marapurani-talli-1972,,,
1970s,1972,"Kanimuthu Paappa","Jaishankar","S. P. Muthuraman",964309,kanimuthu-paappa-1972,,,
1970s,1972,"Sabhash Baby?","Krishna","K. S. R. Das",,sabhash-baby-1972,,,
1970s,1972,"Vinta Dampatulu","Krishna","K. Hemambadhara Rao",,vinta-dampatulu-1972,,,
1970s,1972,"Monagadostunnadu Jagartta","Krishna","K.S.R. Das",,monagadostunnadu-jagartta-1972,,,
1970s,1972,"Muhammad Bin Tuglak","Nagabhushanam","B. V. Prasad",,muhammad-bin-tuglak-1972,,,
1970s,1972,"Guduputani","Krishna Ghattamaneni","Lakshmi Deepak",,guduputani-1972,,,
1970s,1972,"Vooriki Vupakari","Chalam","K. S. R. Das",,vooriki-vupakari-1972,,,
1970s,1972,"Amma Mata","Sridevi","V. Ramachandra Rao",,amma-mata-1972,,,
1970s,1972,"Kodalupilla","Krishna","M. Mallikarjuna Rao",,kodalupilla-1972,,,
1970s,1972,"Datta Putrudu","Akkineni Nageswara Rao","Thammareddy Lenin Babu",,datta-putrudu-1972,,,
1970s,1972,"Hantakulu Devantakulu","Krishna","K.S.R. Das",,hantakulu-devantakulu-1972,,,
1970s,1972,"Abbaigaru Ammaigaru","Krishna Ghattamaneni","V. Ramachandra Rao",,abbaigaru-ammaigaru-1972,,,
1970s,1972,"Bale Mosagadu","Krishna","P. Sambasiva Rao",,bale-mosagadu-1972,,,
1970s,1972,"Bala Mitrula Katha","Kongara Jaggayya","K. Varaprasada Rao",1471128,bala-mitrula-katha-1972,,,
1970s,1972,"Menakodalu","Krishna","B.S. Narayana",,menakodalu-1972,,,
1970s,1972,"Manchi Rojulu Vachchaayi","Akkineni Nageswara Rao","V. Madhusudhan Rao",,manchi-rojulu-vachchaayi-1972,,,
1970s,1972,"Antha Mana Manichike","Krishna","Bhanumathi Ramakrishna",,antha-mana-manichike-1972,,,
1970s,1972,"Maa Oori Monagallu","Krishna","P. Sambasiva Rao",,maa-oori-monagallu-1972,,,
1970s,1972,"Kattula Rattayya","Krishna","K. S. R. Das",,kattula-rattayya-1972,,,
1970s,1971,"Gudachari 003","Krishna","P. Sambasiva Rao",,gudachari-003-1971,,,
1970s,1971,"Sabadham","K R Vijaya","P. Madhavan",963864,sabadham-1971,,,
1970s,1971,"Bangaru Talli","Jamuna","Tapi Chanakya",,bangaru-talli-1971,,,
