ID,Title,Year,Slug,Has_Hero,Has_Director,Has_Poster,Has_Rating,Issues
06506eed-73d6-43dd-af5e-66030ac47b65,"Parvathi Parameshwarulu",1981,parvathi-parameshwarulu-1981,true,true,false,true,"Missing Poster"
092508fb-f084-443b-aa50-3c6d06b6ec12,"Chennakeshava Reddy",2002,chennakeshava-reddy-2002,true,true,false,true,"Missing Poster"
0a0d8345-02a7-4343-ada9-89ea66b5f912,"Agni Sanskaram",1980,agni-sanskaram-1980,true,true,false,true,"Missing Poster"
1196ac9f-472a-446a-9f7b-41b8ad8bdb75,"Iddaru Ammayilu",1972,iddaru-ammayilu-1972,true,true,false,true,"Missing Poster"
1d57f0ef-c4ed-4b34-b453-b608ce213ba3,"Chaithanya",1991,chaithanya-1991,true,true,false,true,"Missing Poster"
2142390d-8c14-4236-9aae-eb20edaa95cd,"Shri Krishna Pandaviyam",1966,shri-krishna-pandaviyam-1966,true,true,false,true,"Missing Poster"
2ced2102-12ab-4391-9e5b-40ae526c7b11,"Amma Mata",1972,amma-mata-1972,true,true,false,true,"Missing Poster"
2d2300e8-75f4-40fa-9d89-11b728749949,"Karunai Ullam",1978,karunai-ullam-1978,true,true,false,true,"Missing Poster"
32d1c1ea-abd5-44ae-980e-369ba2f6ab96,"Athiradi Padai",1994,athiradi-padai-1994,true,true,true,false,"Missing Rating"
3bbeed9a-30c4-458c-827a-11f4df9582c4,"Poojaikku Vandha Malar",1965,poojaikku-vandha-malar-1965,true,true,false,true,"Missing Poster"
426e74fb-e35c-49c7-b5dd-ec88d9bd53c3,"Padhi Bhakti",1958,padhi-bhakti-1958,true,true,false,true,"Missing Poster"
4bf8c217-ffe2-489d-809d-50a499ac3cd1,"Kai Koduttha Dheivam",1964,kai-koduttha-dheivam-1964,true,true,false,true,"Missing Poster"
5d98fdb3-4b6e-4037-a7ea-02794d6a00a4,"Shri Krishnavataram",1967,shri-krishnavataram-1967,true,true,false,true,"Missing Poster"
6212f700-84e3-4c84-bedc-570a48747a3d,"Nizhalgal",1980,nizhalgal-1980,true,true,false,true,"Missing Poster"
6d038721-fec0-4ba3-a90b-acbb26ef088e,"Raja Muthirai",1995,raja-muthirai-1995,true,true,false,true,"Missing Poster"
6dcf4ef0-f5e9-4717-96dd-14513908ce02,"Gopi – Goda Meedha Pilli",2006,gopi-goda-meedha-pilli-2006,true,true,false,true,"Missing Poster"
86e58157-d33f-48d1-a562-7413efddffd9,"Shubha Lagnam",1994,shubha-lagnam-1994,true,true,false,true,"Missing Poster"
8892bf0a-d4fb-45c9-8cd6-5ca00fbdd80a,"Bratuku Theruvu",1953,bratuku-theruvu-1953,true,true,false,true,"Missing Poster"
8ac900ab-636a-4b62-8ea9-449341cd3539,"Ramaiya Vasta Vaiya",2013,ramaiya-vasta-vaiya-2013,true,true,true,false,"Missing Rating"
90c2fb7e-6c92-45a4-81c4-a6c18b32e742,"Rakta Sambandham",1980,rakta-sambandham-1980,true,true,false,true,"Missing Poster"
95639c8c-fad3-4ef9-b2a3-0e1b06040346,"Aaj Ka Goonda Raj",1992,aaj-ka-goonda-raj-1992,true,true,false,true,"Missing Poster"
9fcf70da-160e-4635-af49-538749378675,"Shubha Muhurtam",1983,shubha-muhurtam-1983,true,true,false,true,"Missing Poster"
aa6a8a7d-f47e-42a0-b938-3145ad479fb3,"Kaathavaraayan",1958,kaathavaraayan-1958,true,true,false,true,"Missing Poster"
b7aad561-d88c-44b1-bd47-7076d669d0b5,"Jeevana Theeralu",1977,jeevana-theeralu-1977,true,true,false,true,"Missing Poster"
b994c347-d1e4-4edd-96f5-79f8baca9bea,"Ranveer Ching Returns",2016,ranveer-ching-returns-2016,true,true,true,false,"Missing Rating"
d20403fb-8432-4565-85c4-961d128206cb,"Shadow",2013,well-if-you-know-me-2015,true,true,false,true,"Missing Poster"
d230d639-8927-40d7-9889-79f95e18d21f,"Sri Rambantu",1979,sri-rambantu-1979,true,true,false,true,"Missing Poster"
e1124ed1-4aee-40ec-a97e-f5ecd5966a8d,"Maato Pettukoku",1995,maato-pettukoku-1995,true,true,true,false,"Missing Rating"
f0b669a6-227e-46c8-bdca-8778aef704d8,"Bangaru Bommalu",1977,q12982331-1977,true,true,false,true,"Missing Poster"
f6069bac-c8e0-43a6-9742-22cd0cb22ac1,"Adarsham",1952,adarsham-1952,true,true,false,true,"Missing Poster"
f86df043-4436-46ee-a4b6-6889d3b29f2e,"Pathini Deivam",1957,pathini-deivam-1957,true,true,false,true,"Missing Poster"
ff32a1f8-e0a8-41fd-9fe9-5f9ffb94b6fa,"Angala Parameswari",2002,angala-parameswari-2002,true,true,false,true,"Missing Poster"
