Actor,Movie,Correct Role,Status,Message
"jaya prada","Aulad","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Jaadugar","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Majboor","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Indrajeet","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Maa","heroine","not_found","Actor not found in supporting_cast or hero/heroine"
"jaya prada","Insaniyat Ke Devta","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Insaniyat","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Himapatha","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Jeevan Yudh","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Aami Sei Meye","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Ee Bandhana","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Pranayam","heroine","fixed","Moved from supporting_cast to heroine"
"jaya prada","Kinar","heroine","fixed","Moved from supporting_cast to heroine"
"k. balachander","Bhama Vijayam","director","fixed","Moved from supporting_cast to director"
"k. balachander","Manmatha Leelai","director","fixed","Moved from supporting_cast to director"
"k. balachander","Avargal","director","fixed","Moved from supporting_cast to director"
"k. balachander","Aakali Rajyam","director","fixed","Moved from supporting_cast to director"
"k. balachander","Rudraveena","director","fixed","Moved from supporting_cast to director"
"k. balachander","Poojaikku Vandha Malar","director","fixed","Moved from supporting_cast to director"
"kamal haasan","Avvai Shanmugi","hero","not_found","Movie not found in database"
"kamal haasan","Kaathala Kaathala","hero","fixed","Moved from supporting_cast to hero"
"kamal haasan","83","producer","fixed","Moved from supporting_cast to producer"
"kamal haasan","Uttama Villain","hero","not_found","Movie not found in database"
"kamal haasan","Sye Raa Narasimha Reddy","narrator","fixed","Moved from supporting_cast to narrator"
"kanchana","Aatma Gowravam","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Navaratri","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Ave Kallu","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Manchi Kutumbam","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Bhale Mastaru","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Dharma Daata","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Kalyana Mandapam","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Raitu Kutumbam","heroine","already_correct","Already in heroine field"
"kanchana","Mahakavi Kshetrayya","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Veerabhimanyu","heroine","fixed","Moved from supporting_cast to heroine"
"kanchana","Babruvahana","heroine","already_correct","Already in heroine field"
"karthik","Ilanjodigal","hero","fixed","Moved from supporting_cast to hero"
"karthik","Muthu Kaalai","hero","fixed","Moved from supporting_cast to hero"
"karthik","Chinna Raja","hero","not_found","Movie not found in database"
"karthik","Seethakoka Chilaka","hero","fixed","Moved from supporting_cast to hero"
"karthik","Anveshana","hero","fixed","Moved from supporting_cast to hero"
"karthik","Punyasthree","hero","fixed","Moved from supporting_cast to hero"
"latha","Andala Ramudu","heroine","fixed","Moved from supporting_cast to heroine"
"latha","Nippulanti Manishi","heroine","not_found","Actor not found in supporting_cast or hero/heroine"
"latha","Magaadu","heroine","fixed","Moved from supporting_cast to heroine"
"latha","Kurukshetram","heroine","fixed","Moved from supporting_cast to heroine"
"latha","Kumara Raja","heroine","fixed","Moved from supporting_cast to heroine"
"latha","Andadu Aagadu","heroine","fixed","Moved from supporting_cast to heroine"
"latha","Srungara Ramudu","heroine","fixed","Moved from supporting_cast to heroine"
"latha","Pancha Bhoothalu","heroine","fixed","Moved from supporting_cast to heroine"
"latha","Love In Singapore","heroine","fixed","Moved from supporting_cast to heroine"
"madhavi","Thoorpu Padamara","heroine","fixed","Moved from supporting_cast to heroine"
"madhavi","Amara Deepam","heroine","not_found","Actor not found in supporting_cast or hero/heroine"
"madhavi","Iddaru Asadhyule","heroine","fixed","Moved from supporting_cast to heroine"
"madhavi","Agni Samskaram","heroine","fixed","Moved from supporting_cast to heroine"
"madhavi","Intlo Ramayya Veedhilo Krishnayya","heroine","fixed","Moved from supporting_cast to heroine"
"madhavi","Andhaa Kaanoon","heroine","fixed","Moved from supporting_cast to heroine"
"madhavi","Geraftaar","heroine","fixed","Moved from supporting_cast to heroine"
"madhavi","Agneepath","heroine","not_found","Movie not found in database"
"mohan babu","Kottapeta Rowdy","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Adirindi Alludu","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Raayudu","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Sri Ramulayya","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Postman","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Adhipathi","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Game","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Pandavulu Pandavulu Tummeda","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Mama Manchu Alludu Kanchu","hero","fixed","Moved from supporting_cast to hero"
"mohan babu","Luckunnodu","cameo","fixed","Moved from supporting_cast to cameo"
"n.t. rama rao","Seetha Rama Kalyanam","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Gulebakavali Katha","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Sri Krishna Pandaveeyam","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Ummadi Kutumbam","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Varakatnam","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"n.t. rama rao","Kodalu Diddina Kapuram","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Kannan Karunai","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Kula Gowravam","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Tatamma Kala","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Daana Veera Soora Karna","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Chanakya Chandragupta","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Akbar Saleem Anarkali","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Sri Rama Pattabhishekam","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Sri Madvirata Parvam","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Sri Tirupati Venkateswara Kalyanam","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Chanda Sasanudu","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Srimadvirat Veerabrahmendra Swami Charitra","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Brahmarshi Vishwamitra","hero","fixed","Moved from supporting_cast to hero"
"n.t. rama rao","Samrat Ashoka","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Akkada Ammayi Ikkada Abbayi","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Gokulamlo Seetha","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Suswagatham","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Thammudu","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Badri","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Kushi","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Johnny","hero","not_found","Actor not found in supporting_cast or hero/heroine"
"pawan kalyan","Gudumba Shankar","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Balu","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Bangaram","hero","fixed","Moved from supporting_cast to hero"
"pawan kalyan","Shankar Dada Zindabad","cameo","fixed","Moved from supporting_cast to cameo"
"pawan kalyan","Jalsa","hero","fixed","Moved from supporting_cast to hero"
