id,slug,title_en,release_year,field,db_value,consensus_value,confidence,sources_agree,sources_disagree,anomaly_type,auto_fixable
97aec26f-f735-4dc8-91af-15d154c31483,"lava-kusa-1963","Lava Kusa",1963,hero,"N. T. Rama Rao","N.T. Rama Rao",0.75,"tmdb,letterboxd","wikidata",WRONG,false
97aec26f-f735-4dc8-91af-15d154c31483,"lava-kusa-1963","Lava Kusa",1963,director,"Chittajalu Pullayya","",0.40,"","tmdb,wikidata",CONFLICT,false
97aec26f-f735-4dc8-91af-15d154c31483,"lava-kusa-1963","Lava Kusa",1963,writer,"","Balijepalli Lakshmikantha Kavi",0.64,"tmdb","",MISSING,false
f8b96466-024c-4d02-8a09-fffb160f34cb,"aatagadu-1980","Aatagadu",1980,hero,"N. T. Rama Rao","N.T. Rama Rao",0.75,"tmdb,letterboxd","wikidata",WRONG,false
f8b96466-024c-4d02-8a09-fffb160f34cb,"aatagadu-1980","Aatagadu",1980,director,"T. Rama Rao","",0.40,"","tmdb,wikidata",CONFLICT,false
29218ade-c41f-448c-aa67-f8fc2d9397e6,"sakthi-2011","Sakthi",2011,hero,"Jr NTR","",0.40,"","tmdb,letterboxd",CONFLICT,false
29218ade-c41f-448c-aa67-f8fc2d9397e6,"sakthi-2011","Sakthi",2011,heroine,"Ileana D'Cruz","",0.40,"","tmdb,letterboxd",CONFLICT,false
29218ade-c41f-448c-aa67-f8fc2d9397e6,"sakthi-2011","Sakthi",2011,director,"Meher Ramesh","",0.40,"","tmdb,greatandhra",CONFLICT,false
29218ade-c41f-448c-aa67-f8fc2d9397e6,"sakthi-2011","Sakthi",2011,music_director,"Mani Sharma","Bill for MSG Costs",0.64,"greatandhra","",WRONG,false
29218ade-c41f-448c-aa67-f8fc2d9397e6,"sakthi-2011","Sakthi",2011,cinematographer,"","Sameer Reddy",0.64,"tmdb","",MISSING,false
f6532d02-3fed-4bc6-8b73-74655fac0921,"adutha-varisu-1983","Adutha Varisu",1983,cinematographer,"","M. Kesavan",0.64,"tmdb","",MISSING,false
f6532d02-3fed-4bc6-8b73-74655fac0921,"adutha-varisu-1983","Adutha Varisu",1983,editor,"","C. Lancy",0.64,"tmdb","",MISSING,false
f6532d02-3fed-4bc6-8b73-74655fac0921,"adutha-varisu-1983","Adutha Varisu",1983,writer,"","Panchu Arunachalam",0.64,"tmdb","",MISSING,false
2111caa0-9735-4117-babb-100976548d20,"coffee-with-kadhal-2022","Coffee With Kadhal",2022,hero,"Srikanth","Jiiva",0.98,"tmdb,letterboxd","",WRONG,true
2111caa0-9735-4117-babb-100976548d20,"coffee-with-kadhal-2022","Coffee With Kadhal",2022,heroine,"Malavika Sharma","",0.40,"","tmdb,letterboxd",CONFLICT,false
2111caa0-9735-4117-babb-100976548d20,"coffee-with-kadhal-2022","Coffee With Kadhal",2022,cinematographer,"","E  Krishnasamy",0.64,"tmdb","",MISSING,false
2111caa0-9735-4117-babb-100976548d20,"coffee-with-kadhal-2022","Coffee With Kadhal",2022,editor,"","Fenny Oliver",0.64,"tmdb","",MISSING,false
2111caa0-9735-4117-babb-100976548d20,"coffee-with-kadhal-2022","Coffee With Kadhal",2022,writer,"","A. Mahaakerthi",0.64,"tmdb","",MISSING,false
81445621-1081-48b7-a013-bf0a78872346,"friends-2002","Friends",2002,hero,"Jagapathi Babu","",0.40,"","tmdb,letterboxd",CONFLICT,false
81445621-1081-48b7-a013-bf0a78872346,"friends-2002","Friends",2002,heroine,"Shilpa Shetty","Sean Bury",0.69,"letterboxd","",WRONG,false
81445621-1081-48b7-a013-bf0a78872346,"friends-2002","Friends",2002,director,"Suresh Krissna","M.D. Shridhar",0.71,"tmdb","",WRONG,false
81445621-1081-48b7-a013-bf0a78872346,"friends-2002","Friends",2002,writer,"","M.D. Shridhar",0.64,"tmdb","",MISSING,false
96a5274d-ff56-4bd2-bf4c-fdf100536b5f,"mugguru-monagallu-1983","Mugguru Monagallu",1983,hero,"Sobhan Babu","Chiranjeevi",0.92,"tmdb,letterboxd,wikidata","",WRONG,true
96a5274d-ff56-4bd2-bf4c-fdf100536b5f,"mugguru-monagallu-1983","Mugguru Monagallu",1983,heroine,"Sujatha","Ramya Krishnan",0.98,"tmdb,letterboxd","",WRONG,true
96a5274d-ff56-4bd2-bf4c-fdf100536b5f,"mugguru-monagallu-1983","Mugguru Monagallu",1983,director,"Abhilash Reddy Gopidi","K Raghavendra Rao",0.96,"tmdb,wikidata","",WRONG,true
47c4a635-d27d-4136-847b-e9e093ca958d,"antaku-mundu-aa-taruvaata-2013","Antaku Mundu Aa Taruvaata",2013,hero,"Sumanth Ashwin","Johnny Delgado",0.71,"tmdb","",WRONG,false
47c4a635-d27d-4136-847b-e9e093ca958d,"antaku-mundu-aa-taruvaata-2013","Antaku Mundu Aa Taruvaata",2013,heroine,"Eesha Rebba","Cherry Pie Picache",0.71,"tmdb","",WRONG,false
47c4a635-d27d-4136-847b-e9e093ca958d,"antaku-mundu-aa-taruvaata-2013","Antaku Mundu Aa Taruvaata",2013,director,"Mohankrishna Indraganti","Brillante Mendoza",0.71,"tmdb","",WRONG,false
47c4a635-d27d-4136-847b-e9e093ca958d,"antaku-mundu-aa-taruvaata-2013","Antaku Mundu Aa Taruvaata",2013,editor,"","Mark Philipp Espina",0.64,"tmdb","",MISSING,false
47c4a635-d27d-4136-847b-e9e093ca958d,"antaku-mundu-aa-taruvaata-2013","Antaku Mundu Aa Taruvaata",2013,writer,"","Brillante Mendoza",0.64,"tmdb","",MISSING,false
b54d0fb2-e726-40e3-85e0-f9c1e10b948e,"nuvvila-2011","Nuvvila",2011,hero,"Yami Gautam Dhar","",0.40,"","tmdb,letterboxd,wikidata",CONFLICT,false
b54d0fb2-e726-40e3-85e0-f9c1e10b948e,"nuvvila-2011","Nuvvila",2011,heroine,"Remya Nambeesan","",0.40,"","tmdb,letterboxd",CONFLICT,false
b54d0fb2-e726-40e3-85e0-f9c1e10b948e,"nuvvila-2011","Nuvvila",2011,editor,"","Marthand K Venkatesh",0.64,"tmdb","",MISSING,false
ddd938c2-458a-4f51-8389-74a5d7e12c0d,"pontons-heart-2025","Ponton's Heart",2025,hero,"Marija Labudović","",0.40,"","tmdb,letterboxd",CONFLICT,false
ddd938c2-458a-4f51-8389-74a5d7e12c0d,"pontons-heart-2025","Ponton's Heart",2025,heroine,"Jadranka Mamić","",0.40,"","tmdb,letterboxd",CONFLICT,false
ddd938c2-458a-4f51-8389-74a5d7e12c0d,"pontons-heart-2025","Ponton's Heart",2025,writer,"","Antonio Gabelić",0.64,"tmdb","",MISSING,false
5ae41f9e-7f4c-4809-a82a-bfaefc8f229a,"vangaveeti-2016","Vangaveeti",2016,music_director,"Ravi Shankar","launch",0.66,"idlebrain","",WRONG,false
5ae41f9e-7f4c-4809-a82a-bfaefc8f229a,"vangaveeti-2016","Vangaveeti",2016,cinematographer,"","helps in bringing the period effect for the film",0.66,"idlebrain","",MISSING,false
5ae41f9e-7f4c-4809-a82a-bfaefc8f229a,"vangaveeti-2016","Vangaveeti",2016,editor,"","is alright",0.66,"idlebrain","",MISSING,false
e3149662-508b-4c9b-8ecd-ae16a2d148ba,"veera-2011","Veera",2011,hero,"Ravi Teja","",0.40,"","tmdb,letterboxd,wikidata",CONFLICT,false
e3149662-508b-4c9b-8ecd-ae16a2d148ba,"veera-2011","Veera",2011,heroine,"Kajal Aggarwal","",0.40,"","tmdb,letterboxd",CONFLICT,false
e3149662-508b-4c9b-8ecd-ae16a2d148ba,"veera-2011","Veera",2011,editor,"","Marthand K Venkatesh",0.64,"tmdb","",MISSING,false
e3149662-508b-4c9b-8ecd-ae16a2d148ba,"veera-2011","Veera",2011,writer,"","ion",0.61,"cinejosh","",MISSING,false
4bf3e6e9-856f-453e-bde9-9382875b513c,"n-a-2019","Eric Burdon - Rock 'n' Roll Animal",2019,heroine,"Sridevi","",0.40,"","tmdb,letterboxd",CONFLICT,false
4bf3e6e9-856f-453e-bde9-9382875b513c,"n-a-2019","Eric Burdon - Rock 'n' Roll Animal",2019,editor,"","Marek Weinhold",0.64,"tmdb","",MISSING,false
ceaeee6f-363e-43ca-a3f1-8ea374d85ab5,"ananda-bhairavi-1983","Ananda Bhairavi",1983,heroine,"Rajani","",0.40,"","tmdb,letterboxd",CONFLICT,false
ceaeee6f-363e-43ca-a3f1-8ea374d85ab5,"ananda-bhairavi-1983","Ananda Bhairavi",1983,director,"Jandhyala","Jandhyala Subramanya Sastry",0.96,"tmdb,wikidata","",WRONG,true
