"Actor","Wikipedia Title","Wikipedia Year","Role","Verification Status","DB Title (EN)","DB Title (TE)","DB Year","Match Score","DB Movie ID","Action Required"
"geetha","Ninaithale Inikkum","1979","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Dharma Raja","1980","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Garjanai","1981","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Thyagi","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Kadamai Kanniyam Kattupaadu","1987","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Kaliyugam","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Pudhu Pudhu Arthangal","1989","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Keladi Kannmanii","1990","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Thayamma","1991","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Mutrugai","1993","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Uzhiyan","1994","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Vetri Vinayagar","1996","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Abhimanyu","1997","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Kaadhale Nimmadhi","1998","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Unakkum Enakkum","2006","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Aalwar","2007","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Thoranai","2009","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","180","2011","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Mathapoo","2013","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Ek Duje Ke Liye","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Shubh Kaamna","1983","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Yeh Desh","1984","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"geetha","Penn- Appa Irukken","1991","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"jagapathi babu","Gangstars","2018","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"jaggayya","Bangaru Papa","1954","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"jaggayya","Appu Chesi Pappu Koodu","1959","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"jaggayya","Repati Rowdy","1993","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"jaya prada","Challenge Ramudu","1980","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"jaya prada","Ramachandra Boss &amp; Co","2023","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Neerkumizhi","1965","Directorial debut (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Major Chandrakanth","1966","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Poova Thalaiya","1969","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Patham Pasali","1970","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Naangu Suvargal","1971","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Kanna Nalama","1972","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Arangetram","1973","also writer","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Aaina","1974","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Nizhal Nijamagiradhu","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Ninaithale Inikkum","1979","also co-writer","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Benkiyalli Aralida Hoovu","1983","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Ek Nai Paheli","1984","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Kalyana Agathigal","1985","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Sundara Swapnagalu","1986","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Manathil Uruthi Vendum","1987","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Pudhu Pudhu Arthangal","1989","75th Film","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Oru Veedu Iru Vasal","1990","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Azhagan","1991","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Vaaname Ellai","1992","Filmfare Award for Best Tamil Director","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Jathi Malli","1993","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Duet","1994","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Kalki","1996","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Paarthale Paravasam","2001","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Poi","2006","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Kalki","1996","Movie director","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Kadhal Virus","2002","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Poi","2006","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Kuselan","2008","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Rettaisuzhi","2010","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Ninaithathu Yaaro","2014","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Dheiva Thaai","1964","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"k. balachander","Idanilangal","1985","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kamal haasan","Hare Radha Hare Krishna","1986","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kamal haasan","Gunaa","1991","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kamal haasan","Paasavalai","1995","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kamal haasan","Pammal K. Sambandam","2002","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kamal haasan","Rama Shama Bhama","2005","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kamal haasan","Simla Special","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kamal haasan","Manorathangal","2024","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Maya Maschindra","1975","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Kaadhalikka Neramillai","1964","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Motor Sundaram Pillai","1966","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Adhey Kangal","1967","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Avalukendru Or Manam","1971","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Naan Yen Pirandhen","1972","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Nyayam Ketkirom","1973","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Avan Oru Sarithiram","1977","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Lorry Driver Rajakannu","1981","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Pagadai Panirendu","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Nanobba Kalla","1978","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Biligiriya Banadalli","1980","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Jeevakke Jeeva","1981","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Nyaya Ellide","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Veeradhi Veera","1985","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Ratha Sapthami","1986","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Chiranjeevi Sudhakar","1988","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Atom Bomb","1964","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Azhakulla Saleena","1973","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Jeevikkan Marannupoya Sthree","1974","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Ammaayi Amma","1977","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Ina","1982","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Sreekrishna Parunthu","1984","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Njaan Piranna Naattil","1985","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
"kanchana","Farz","1967","Actor (Supporting)","❌ TRULY MISSING","","","","","","Create movie entry"
