ID,Slug,Title,Year,Director,Hero,Heroine,Music_Director
4d56869d-27e1-4a99-ad9c-bb64a883bf88,thupaki-ramudu-2019,"Thupaki Ramudu",2019,"T. Prabhakar","Bittiri Satti","Priya",
0969f0c7-0212-47ab-a295-94e850d24f42,yatra-2019,"Yatra",2019,"Samrat Shakya","Salon Basnet","Suhasini Maniratnam",
f9f62d32-8d29-4a37-93bc-28eeac0e7bff,anthaku-minchi-2018,"Anthaku Minchi",2018,"Jhony","Ravi Prakash","Rashmi Gautham",
54870391-fc5e-443e-a978-8d49e2923842,anthervedam-2018,"Anthervedam",2018,"Ravi Kishore Chandina","Amar","Santoshini",
a7aec88f-7b98-4c16-9fff-deff3e7ca1d9,ishtangaa-2018,"Ishtangaa",2018,"Rajiv Kanakala","Arjun Reddy","Tanishq Rajan",
09f6c614-7a50-48bf-9d72-9854c1ac9252,moodu-puvulu-aaru-kayalu-2018,"Moodu Puvulu Aaru Kayalu",2018,"Ramaswamy","Arjun Yagith","Nikita",
9d7e1c8f-f009-4a69-ac2b-a8a7fc4dd135,rachayitha-2018,"Rachayitha",2018,"Vidya Sagar Raju","Jiddu Sriram","Sanchita Padukone",
b0c2c42f-c603-4bc2-afd1-0e533a9ce640,sharabha-2018,"Sharabha",2018,"Narayan Rogers","Aakash Kumar","Mishti",
a8b1c9dc-0173-443f-9ce5-47d7b465b5f2,sivakasipuram-2018,"Sivakasipuram",2018,"Santhosh Raj","Chammak Chandra","Priyanka Sharma",
3f1c947a-eff6-4986-aa30-5cc4015dca01,anaganaga-oka-durga-2017,"Anaganaga Oka Durga",2017,"Prakash Pulijala","Ravi","Kranthi Kumar",
21c054b2-de09-40bb-b1b0-7cb1e465e270,jaya-b-2017,"Jaya. B",2017,"Yun Hak-ryeol","Kim Jeong-gyun","Oh Ye-seol",
448e40ba-d800-47fe-9ffb-68014fa30aaf,muduvandala-muppai-nalugo-katha-2017,"Muduvandala Muppai Nalugo Katha",2017,"Narayana Pendyala","Vinay","Priyanka Augustin",
e9cfb056-f605-4b90-a0b0-87afa929923e,nee-preme-naa-pranam-2017,"Nee Preme Naa Pranam",2017,"Rajasekhar","Lucky","Sireesha",
5cb22a9f-ae76-498f-9aef-20246a54ad64,o-pilla-nee-valla-2017,"O Pilla Nee Valla",2017,"Sonti Kishore Kumar Reddy","Krishna Chaitanya","Monika Singh",
04aa8aa0-e5e2-4e64-88ae-f430c048aed5,shekaram-gari-abbayi-2017,"Shekaram Gari Abbayi",2017,"Sai Akshatha","Vinnu Maddipati","Sai Akshatha",
cc73f6e4-a1d2-49f8-8ad6-2e9f30341985,vasham-2017,"Vasham",2017,"Srikanth Challa","Krishneswara Rao","Swetaa Varma",
6dc374db-9aa1-414a-b8ef-65c78ca1cd85,charusheela-2016,"Charusheela",2016,"Srinivas Reddy Vuyyuru","Rajiv Kanakala","Rashmi Gautham",
04af1e32-fe58-47ed-9205-2d32dca21a31,eluka-majaka-2016,"Eluka Majaka",2016,"Relangi Narasimha Rao","Brahmanandam","Vasundhara",
cdc4e48a-e9f7-4cd5-90c8-fa6246f9fcaf,karam-dosa-2016,"Karam Dosa",2016,"Trivikram Gajulapalli","Shivakumar Ramachandravarapu","Aditi Singh",
2fdb05b2-d685-4345-837f-0d840c153d2e,meeku-meere-maaku-meeme-2016,"Meeku Meere Maaku Meeme",2016,"Hussain Sha Kiran","Tarun Shetty","Avantika Mishra",
154bfb51-854f-44cb-801a-7ae904b2d58b,mister-420-2016,"Mister 420",2016,"S.S . Ravikumar","Varun Sandesh","Priyanka Bharadwaja",
decd57fe-3ad2-44c8-be73-a5c8c8e81e63,1st-iifa-utsavam-2015,"1st IIFA Utsavam",2015,"James Huang","Jeff Bowser","Elaine Kao",
1452ee03-96a7-4949-abec-4d66c56e6dc1,affair-2015,"Affair",2015,"Nuel Crisostomo Naval","Richard Gomez","Dawn Zulueta",
2c7b7199-e450-4391-9328-7a615f3e2552,best-actors-2015,"Best Actors",2015,"Jaya B","Nandu","Erica Fernandes",
81939786-c6b6-4b96-b903-43652c8b1ce0,intelligent-idiots-2015,"Intelligent Idiots",2015,"Balaji","Vijay Raghavendra","Sanchita Shetty",
4c601843-580e-4673-b06e-a66042708a64,o-manasa-2015,"O Manasa",2015,"Sahaja Rao","Ajay Manthena","Aparna Bajpai",
420204f2-645d-4650-b564-6f205e819c8a,paddanandi-premalo-mari-2015,"Paddanandi Premalo Mari",2015,"Mahesh Upputuri","Varun Sandesh","Vithika Sheru",
939da4a9-0438-41c6-b3f0-0ee015342347,yavvanam-oka-fantasy-2015,"Yavvanam Oka Fantasy",2015,"Veeraprasad Neelam","Arvind Krishna","Shubra Aiyappa",
