Slug,Title (English),Release Year,Hero,Director,Status
ugram-2023,"Ugram",2023,"Allari Naresh","Vijay Kanakamedala",Published
case-30-2023,"Case 30",2023,"Siddharth Naidu","Sandeep Palle",Published
ustaad-2023,"Ustaad",2023,"Sri Simha","Phanideep",Published
spark-2023,"Spark",2023,"Guru Somasundaram","Vikranth Reddy",Published
hidimbha-2023,"Hidimbha",2023,"Ashwin Babu","Aneel Kanneganti",Published
anni-manchi-sakunamule-2023,"Anni Manchi Sakunamule",2023,"Santosh Shoban","B. V. Nandini Reddy",Published
sagiletikatha-2023,"Sagiletikatha",2023,"Raviteja Mahadasyam","Rajshekar",Published
kousalya-supraja-rama-2008,"Kousalya Supraja Rama",2023,"Meka Srikanth","Surya Prasad",Published
maya-petika-2023,"Maya Petika",2023,"Viraj Ashwin","Ramesh Raparthi",Published
chakravyuham-2023,"Chakravyuham",2023,"Ajay","Chetukuri Madhusudhan",Published
changure-bangaru-raja-2023,"Changure Bangaru Raja",2023,"Karthik Rathnam","Sathish Varma",Published
month-of-madhu-2023,"Month of Madhu",2023,"Naveen Chandra","Srikanth Nagothi",Published
bedurulanka-2012-2023,"Bedurulanka 2012",2023,"Ajay Ghosh","Clax",Published
gammathu-2023,"Gammathu",2023,"Parvateesam","Aswwani Sri Krisshna",Published
shaakuntalam-2023,"Shaakuntalam",2023,"Dev Mohan","Gunasekhar",Published
my-name-is-shruthi-2023,"My Name Is Shruthi",2023,"Murali Sharma","Srinivas Omkhar",Published
ala-ninnu-cheri-2023,"Ala Ninnu Cheri",2023,"Dinesh Tej","Maresh Shivan",Published
vinaro-bhagyamu-vishnu-katha-2023,"Vinaro Bhagyamu Vishnu Katha",2023,"Kiran Abbavaram","Murali Kishor Abburu",Published
rangamarthanda-2023,"Rangamarthanda",2023,"Prakash Raj","Pasupuleti Krishna Vamsi",Published
malli-pelli-2023,"Malli Pelli",2023,"Naresh","M. S. Raju",Published
two-souls-2023,"Two Souls",2023,"Praveen","Shravan",Published
the-great-indian-suicide-2023,"The Great Indian Suicide",2023,"Ram Karthik","Viplove Koneti",Published
ramabanam-2023,"Ramabanam",2023,"Gopichand","Sriwass",Published
martin-luther-king-2023,"Martin Luther King",2023,"Sampoornesh Babu","Puja Kolluru",Published
rudrangi-2023,"Rudrangi",2023,"Jagapathi Babu","Ajay Samrat",Published
bagheera-2023,"Bagheera",2023,"Prabhu Deva","Adhik Ravichandran",Published
ala-ila-ela-2023,"Ala Ila Ela",2023,"Shakthi Vasudevan","Raghava Dwarki",Published
gandeevadhari-arjuna-2023,"Gandeevadhari Arjuna",2023,"Varun Tej","Praveen Sattaru",Published
the-trial-2023,"The Trial",2023,"Yug Ram","Raam Ganni",Published
manu-charitra-2023,"Manu Charitra",2023,"Shiva Kandukuri","Bharath Pedagani",Published
rangabali-2023,"Rangabali",2023,"Naga Shaurya","Pawan Basamsetti",Published
prema-vimanam-2023,"Prema Vimanam",2023,"Sangeeth Shobhan","Santosh Kata",Published
jilebi-2023,"Jilebi",2023,"Sree Kamal","K. Vijaya Bhaskar",Published
o-saathiya-2023,"O Saathiya",2023,"Aryan Gowra","Divya Bhavana",Published
skanda-the-attacker-2023,"Skanda: The Attacker",2023,"Ram Pothineni","Boyapati Srinu",Published
mao-oori-cinema-2023,"Mao Oori Cinema",2023,"Pulivendula Mahesh","G Sivaram Teja",Published
richie-gadi-pelli-2023,"Richie Gadi Pelli",2023,"S. K. Sathya","K. S. Hemraj",Published
kisi-ka-bhai-kisi-ki-jaan-2023,"Kisi Ka Bhai... Kisi Ki Jaan",2023,"Salman Khan","Farhad Samji",Published
mangalavaaram-2023,"Mangalavaaram",2023,"Ravindra Vijay","Ajay Bhupathi",Published
intinti-ramayanam-2023,"Intinti Ramayanam",2023,"Rahul Ramakrishna","Suresh Naredla",Published
premadesam-2023,"Premadesam",2023,"Thrigun","Srikanth Siddham",Published
sindhooram-2023,"Sindhooram",2023,"Siva Balaji","Shyam Tummalapalli",Published
mr-pregnant-2023,"Mr. Pregnant",2023,"Raja Ravindra","Srinivas Vinjanampati",Published
pop-corn-2023,"Pop Corn",2023,"Sai Ronak","Murali Naga Srinivas Gandham",Published
vidhi-2023,"Vidhi",2023,"Rohit Nanda","Srikanth Ranganathan",Published
karna-2023,"Karna",2023,"Alfredo Castro","Juan Pablo Félix",Published
lust-stories-2-2023,"Lust Stories 2",2023,"Tamannaah Bhatia","Konkona Sen Sharma",Published
sridevi-shoban-babu-2023,"Sridevi Shoban Babu",2023,"Santosh Shoban","Prashanth Kumar Dimmala",Published
subramanyam-chigurupati-2023,"Salam Sainika",2023,"Dev","Subramanyam Chigurupati",Published
anveshi-2023,"Anveshi",2023,"Vijay Dharan Datla","V. J. Khanna",Published
ahimsa-2023,"Ahimsa",2023,"Kamal Kamaraju","Teja",Published
raakshasa-kaavyam-2023,"Raakshasa Kaavyam",2023,"Abhay Bethiganti","Sriman Keerthi",Published
breathe-2023,"Breathe",2023,"Vennela Kishore","Vamsi Krishna Akella",Published
vidyarthi-2023,"Vidyarthi",2023,"Raghu Babu","Madhu Madasu",Published
antham-kadidi-aarambam-1981,"Antham Kadidi Aarambam",2023,"Krishna","Vijaya Nirmala",Published
rudramambapuram-2023,"Rudramambapuram",2023,"Ajay Ghosh","Mahesh Kondeti",Published
asalu-2023,"Asalu",2023,"Ravi Babu","Uday",Published
unstoppable-2023,"Unstoppable",2023,"Vj Sunny","Diamond Ratnababu",Published
bhuvanavijayam-2023,"Bhuvanavijayam",2023,"Sunil Varma","Yalamanda Charan",Published
upendra-gadi-adda-2023,"Upendra Gadi Adda",2023,"Muralidhar Goud","Aryan Subhan",Published
mr-king-2023,"Mr. King",2023,"Sharan Kumar","Sasiidhar",Published
vyooham-2023,"Vyooham",2023,"Ajmal Ameer","Ram Gopal Varma",Published
vimanam-2023,"Vimanam",2023,"Samuthirakani","Siva Prasad Yanala",Published
plot-2023,"Plot",2023,"Vikas","Bhanu Bhava",Published
ghosty-2023,"Ghosty",2023,"Yogi Babu","Kalyaan",Published
ashtadigbandhanam-2023,"Ashtadigbandhanam",2023,"Surya Bharath Chandra","Baba PR",Published
okkade-1-venkanna-on-duty-2023,"Okkade 1 (Venkanna on Duty)",2023,"Tummalapalli Rama Satyanarayana","Sripada Ramchandra Rao",Published
bhari-taraganam-2023,"Bhari Taraganam",2023,"Ali Basha","Shekhar Muthyala",Published
tantiram-2023,"Tantiram",2023,"Srikanth Gurram","Muthyala Meher Deepak",Published
hunt-2023,"Hunt",2023,"Sudheer Babu","Mahesh Surapaneni",Published
virupaksha-2023,"Virupaksha",2023,"Sai Durgha Tej","Karthik Varma Dandu",Published
kota-bommali-ps-2023,"Kota Bommali Ps",2023,"Srikanth","Teja Marni",Published
nagumome-chaalu-le-2023,"Nagumome Chaalu Le",2023,"K. L. Damodar Prasad","N. Balaji",Published
butta-bomma-2023,"Butta Bomma",2023,"Surya Vasishta","Shouree Chandrashekhar T Ramesh",Published
bhola-shankar-2023,"Bhola Shankar",2023,"Chiranjeevi","Meher Ramesh",Published
echo-2023,"Echo",2023,"Srikanth","Nawin Ghanesh",Published
mem-famous-2023,"Mem Famous",2023,"Muralidhar Goud","Sumanth Prabhas",Published
suvarna-sundari-2023,"Suvarna Sundari",2023,"Sai Kumar","M. S. N. Surya",Published
voice-of-sathyanathan-2023,"Voice of Sathyanathan",2023,"Dileep","Raffi",Published
samajavaragamana-2023,"Samajavaragamana",2023,"Sree Vishnu","Ram Abbaraju",Published
711-pm-2023,"7:11 PM",2023,"Saahas Pagadala","Chaitu Madala",Published
matti-katha-2023,"Matti Katha",2023,"Dayanand Reddy","Pavan Kadiyala",Published
spy-2023,"Spy",2023,"Nikhil Siddhartha","Raj Madiraju",Published
circle-2023,"Circle",2023,"Sai Ronak","Neelakanta",Published
ranga-maarthaanda-2023,"Ranga Maarthaanda",2023,"Prakash Raj","Deva Katta",Published
madhurapudi-granam-ane-nenu-2023,"Madhurapudi Granam Ane Nenu",2023,"Shiva Kantamaneni","Kalyan Chakravarthy",Published
repeat-2022,"Repeat",2022,"Naveen Chandra","Arvindh Srinivasan",Published
jetty-2022,"Jetty",2022,"Maanyam Krishnaa","Subrahmanyam Pitchuka",Published
son-of-india-2022,"Son of India",2022,"Mohan Babu","Diamond Ratnababu",Published
panchathantram-2022,"Panchathantram",2022,"Brahmanandam","Harsha Pulipaka",Published
leharaayi-2022,"Leharaayi",2022,"Ranjith Sommi","Ramakrishna Paramhamsa",Published
aakasha-veedhullo-2022,"Aakasha Veedhullo",2022,"Srikanth Iyengar","Gautham Krishna.D",Published
one-by-two-2022,"One By Two",2022,"Sai Kumar","Siva Eturi",Published
cheppalani-undhi-2022,"Cheppalani Undhi",2022,"Satya","Arun Bharathi",Published
dj-tillu-2022,"DJ Tillu",2022,"Siddhu Jonnalagadda","Vimal Krishna",Published
aa-ammayi-gurinchi-meeku-cheppali-2022,"Aa Ammayi Gurinchi Meeku Cheppali",2022,"Sudheer Babu","Mohana Krishna Indraganti",Published
bomma-blockbuster-2022,"Bomma Blockbuster",2022,"Nandu Vijay Krishna","Raj Virat",Published
nachindi-girl-friendu-2022,"Nachindi Girl Friendu",2022,"Uday Shankar","Guru Pawan",Published
commitment-2022,"Commitment",2022,"Amit Kumar Tiwari","Lakshmikanth Chenna",Published
super-machi-2022,"Super Machi",2022,"Kalyaan Dhev","Puli Vasu",Published
highway-2022,"Highway",2022,"Anand Deverakonda","K. V. Guhan",Published
malli-modalaindi-2022,"Malli Modalaindi",2022,"Sumanth","T. G. Keerthi Kumar",Published
kothala-rayudu-2022,"Kothala Rayudu",2022,"Srikanth","Sudheer Raju",Published
madhi-2022,"Madhi",2022,"Sreeram Nimmala","Naga Dhanush",Published
macherla-niyojakavargam-2022,"Macherla Niyojakavargam",2022,"Nithiin","S. R. Sekhar",Published
ashoka-vanamlo-arjuna-kalyanam-2022,"Ashoka Vanamlo Arjuna Kalyanam",2022,"Vishwak Sen","Vidyasagar Chinta",Published
aadavaallu-meeku-johaarlu-2022,"Aadavaallu Meeku Johaarlu",2022,"Sharwanand","Kishore Tirumala",Published
ori-devuda-2022,"Ori Devuda..!",2022,"Vishwak Sen","Ashwath Marimuthu",Published
jayamma-panchayathi-2022,"Jayamma Panchayathi",2022,"Devi Prasad","Vijay Kumar Kalivarapu",Published
nathicharami-2022,"Nathicharami",2022,"Arvind Krishna","Nagu Gavara",Published
gurtunda-seetakalam-2022,"Gurtunda Seetakalam",2022,"Satyadev Kancharana","Nagashekar",Published
chor-bazaar-2022,"Chor Bazaar",2022,"Akash Puri","Jeevan Reddy",Published
dream-boy-2022,"Dream Boy",2022,"Rocking Rakesh","Rajesh Kannaparthi",Published
andaru-bagundali-andulo-nenundali-2022,"Andaru Bagundali Andulo Nenundali",2022,"Ali Basha","Kiran Sripuram",Published
konda-2022,"Konda",2022,"Thrigun","Ram Gopal Varma",Published
balamevvadu-2022,"Balamevvadu",2022,"Babloo Prithiveeraj","Satya Rachakonda",Published
shekar-2022,"Shekar",2022,"Dr. Rajasekhar","Jeevitha",Published
stand-up-rahul-2022,"Stand Up Rahul",2022,"Raj Tarun","Santo Mohan Veeranki",Published
gandharwa-2022,"Gandharwa",2022,"Sandeep Madhav","Apsar Hussain",Published
chittam-maharani-2022,"Chittam Maharani",2022,"Yazurved Gurram","Akula Kasi Viswanath",Published
sebastian-pc-524-2022,"Sebastian P.c. 524",2022,"Kiran Abbavaram","Balaji Sayyapureddy",Published
nenu-meeku-baaga-kavalsinavaadini-2022,"Nenu Meeku Baaga Kavalsinavaadini",2022,"Kiran Abbavaram","Sridhar Gade",Published
rowdy-boys-2022,"Rowdy Boys",2022,"Ashish Reddy","Sree Harsha Konuganti",Published
seetharamapuramlo-2022,"Seetharamapuramlo",2022,"Ranadheer Beesu","M. Vinay Babu",Published
thaggedhe-le-2022,"Thaggedhe Le",2022,"Naveen Chandra","Srinivasa Raju",Published
first-day-first-show-2022,"First Day First Show",2022,"Srikanth Reddy","Vamshidhar Kosgi Goud",Published
odela-railway-station-2022,"Odela Railway Station",2022,"Hebah Patel","Ashok Teja",Published
shikaaru-2022,"Shikaaru",2022,"Kishore","Hari Kolagani",Published
ghani-2022,"Ghani",2022,"Varun Tej","Kiran Korrapati",Published
yashoda-2022,"Yashoda",2022,"Samantha Ruth Prabhu","K. Hari Shankar",Published
ranasthali-2022,"Ranasthali",2022,"Neela Madhava Dharma","Parasuram Srinivas",Published
saakini-daakini-2022,"Saakini Daakini",2022,"RJ Hemant","Sudheer Varma",Published
korameenu-2022,"Korameenu",2022,"Shatru","Sripathy Karri",Published
pellikuturu-party-2022,"Pellikuturu Party",2022,"Prince Cecil","Aparna Malladi",Published
ante-sundaraniki-2022,"Ante... Sundaraniki!",2022,"Nani","Vivek Athreya",Published
boyfriend-for-hire-2022,"Boyfriend for Hire",2022,"Viswant Duddumpudi","Santosh Kambhampati",Published
muthayya-2022,"Muthayya",2022,"K. Sudhakar Reddy","Bhaskar Maurya",Published
wanted-pandugod-2022,"Wanted PanduGod",2022,"Sunil Varma","Sridhar Seepana",Published
gangster-gangaraju-2022,"Gangster Gangaraju",2022,"Charandeep","Eeshaan Surya",Published
f3-fun-and-frustration-2022,"F3: Fun and Frustration",2022,"Daggubati Venkatesh","Anil Ravipudi",Published
ranga-ranga-vaibhavanga-2022,"Ranga Ranga Vaibhavanga",2022,"Panja Vaisshnav Tej","Gireeshaaya",Published
krishna-vrinda-vihari-2022,"Krishna Vrinda Vihari",2022,"Naga Shaurya","Annish Krishna",Published
pakka-commercial-2022,"Pakka Commercial",2022,"Gopichand","Maruthi Dasari",Published
masooda-2022,"Masooda",2022,"Thiruveer Reddy","Sai Kiran",Published
ramarao-on-duty-2022,"Ramarao on Duty",2022,"Ravi Teja","Sarath Mandava",Published
itlu-maredumilli-prajaneekam-2022,"Itlu Maredumilli Prajaneekam",2022,"Allari Naresh","A. R. Mohan",Published
the-american-dream-2022,"The American Dream",2022,"Prince Cecil","Vighnesh Koushik",Published
bujji-ila-raa-2022,"Bujji... Ila Raa",2022,"Sunil Varma","Anji Sreenu Yarajala",Published
katha-kanchiki-manam-intiki-2022,"Katha Kanchiki Manam Intiki",2022,"Thrigun","Chanakya Chinna",Published
good-luck-sakhi-2022,"Good Luck Sakhi",2022,"Aadhi Pinisetty","Nagesh Kukunoor",Published
geetha-2022,"Geetha",2022,"Ram Karthik","Vishwa R. Rao",Published
10th-class-diaries-2022,"10th Class Diaries",2022,"Srikanth","Anji Sreenu Yarajala",Published
18-pages-2022,"18 Pages",2022,"Nikhil Siddhartha","Palnati Surya Pratap",Published
urvasivo-rakshasivo-2022,"Urvasivo Rakshasivo",2022,"Allu Sirish","Rakesh Shashi",Published
hero-2022,"Hero",2022,"Jagapathi Babu","Sriram Adittya",Published
darja-2022,"Darja",2022,"Sunil Varma","Saleem Malik",Published
vishwak-2022,"Vishwak",2022,"Ajay Kumar","Venugopal",Published
3e-2022,"3e",2022,"Tribuvan Reddy","Vishwanath Batchu",Published
raajahyogam-2022,"Raajahyogam",2022,"Sai Ronak","Ram Ganpati Rao",Published
focus-2022,"Focus",2022,"Bhanuchander","Surya Teja",Published
bloody-mary-2022,"Bloody Mary",2022,"Kireeti Damaraju","Chandoo Mondeti",Published
dongalunnaru-jagratha-2022,"Dongalunnaru Jagratha",2022,"Sri Simha","Sathish Tripura",Published
iravatham-2022,"Iravatham",2022,"Raja Ravindra","Suhaas Meera",Published
sammathame-2022,"Sammathame",2022,"Kiran Abbavaram","Gopinath Reddy",Published
kotha-kothaga-2022,"Kotha Kothaga",2022,"Pavan Tej Konidela","Hanumaan Vasamsetty",Published
like-share-subscribe-2022,"Like, Share & Subscribe",2022,"Santosh Shoban","Merlapaka Gandhi",Published
7-days-6-nights-2022,"7 Days 6 Nights",2022,"Sumanth Ashwin","M.S. Raju",Published
sasanasabha-2022,"Sasanasabha",2022,"Indrasena","Venu Mandikanti",Published
69-samskar-colony-2022,"#69 Samskar Colony",2022,"Ester Noronha","Sunil Kumar Reddy",Published
valliddari-madhya-2022,"Valliddari Madhya",2022,"Viraj Ashwin","V. N. Aditya",Published
monster-2022,"Monster",2022,"Mohanlal","Vysakh",Published
godse-2022,"Godse",2022,"Satyadev Kancharana","Gopi Ganesh",Published
sehari-2022,"Sehari",2022,"Abhinav Gomatam","Gnanasagar Dwaraka",Published
hit-the-2nd-case-2022,"HIT: The 2nd Case",2022,"Adivi Sesh","Sailesh Kolanu",Published
panchatantra-kathalu-2022,"Panchatantra Kathalu",2022,"Noel Sean","Shekar Ganganamoni",Published
neetho-2022,"Neetho",2022,"Aberaam Varma","Balu Sharma",Published
lucky-lakshman-2022,"Lucky Lakshman",2022,"Syed Sohel Ryan","AR Abhi",Published
gaalodu-2022,"Gaalodu",2022,"Sudigali Sudheer","Raja Sekar Reddy Pulicharla",Published
like-share-and-subscribe-2022,"Like Share & Subscribe",2022,"Santosh Shoban","Merlapaka Gandhi",Published
mukhachitram-2022,"Mukhachitram",2022,"Vikas Vashishta","Gangadhar",Published
crazy-fellow-2022,"Crazy Fellow",2022,"Aadi Saikumar","Phani Krishna Siriki",Published
atithi-devobhava-2022,"Atithi Devobhava",2022,"Aadi Saikumar","Polimera Nageshwar",Published
ginna-2022,"Ginna",2022,"Vishnu Manchu","Eeshaan Surya",Published
mishan-impossible-2022,"Mishan Impossible",2022,"Harsh Roshan","Swaroop RSJ",Published
bommala-koluvu-2022,"Bommala Koluvu",2022,"Hrishikesh","Subbu Vedula",Published
the-warriorr-2022,"The Warriorr",2022,"Ram Pothineni","N. Linguswamy",Published
kalapuram-2022,"Kalapuram",2022,"Satyam Rajesh","Karuna Kumar",Published
bhamakalapam-2022,"Bhamakalapam",2022,"John Vijay","Abhimanyu Tadimeti",Published
alluri-2022,"Alluri",2022,"Sree Vishnu","B S Pradeep Varma",Published
uniki-2022,"Uniki",2022,"Ashish Gandhi","Rajkumar Bobby",Published
anukoni-prayanam-2022,"Anukoni Prayanam",2022,"Rajendra Prasad","Venkatesh Pediredla",Published
niku-naku-pellanta-tom-tom-tom-2022,"Niku Naku Pellanta Tom Tom Tom",2022,"Inturi Vasu","Manikanta Thalluri",Published
viraata-parvam-2022,"Viraata Parvam",2022,"Rana Daggubati","Venu Udugula",Published
induvadana-2022,"Induvadana",2022,"Varun Sandesh","M. Srinivasa Raju",Published
nenevaru-2022,"Nenevaru",2022,"Balakrishna Kola","Nirnay Palanti",Published
tees-maar-khan-2022,"Tees Maar Khan",2022,"Aadi Saikumar","Kalyanji Gogana",Published
nenu-co-nuvvu-2022,"Nenu C/o Nuvvu",2022,"Rathna Kishore","Saga Reddy Thumma",Published
bhala-thandanana-2022,"Bhala Thandanana",2022,"Sree Vishnu","Chaitanya Dantuluri",Published
veyi-subhamulu-kalugu-neeku-2022,"Veyi Subhamulu Kalugu Neeku",2022,"Satyam Rajesh","Rathod Raams",Published
kerosene-2022,"Kerosene",2022,"Dhruva","Dhruva",Published
sivudu-2022,"Sivudu",2022,"Aadhi Pinisetty","Suseenthiran",Published
virgin-story-2022,"Virgin Story",2022,"Vikram Sahidev","Pradip Atluri",Published
butterfly-2022,"Butterfly",2022,"Charles ""Skeeta"" Jenkins","Emy Jay",Published
