Slug,Title (English),Release Year,Hero,Director,Status
enuguthondam-ghatikachalam-2025,"Enuguthondam Ghatikachalam",2025,"Naresh","Ravi Babu",Published
ari-my-name-is-nobody-2025,"Ari: My Name is Nobody",2025,"Sai Kumar","V. JayaShankarr",Published
jaat-2025,"Jaat",2025,"Sunny Deol","Gopichand Malineni",Published
the-girlfriend-2025,"The Girlfriend",2025,"Dheekshith Shetty","Rahul Ravindran",Published
the-100-2025,"The 100",2025,"Anand","Raghav Omkar Sasidhar",Published
sankranthiki-vasthunam-2025,"Sankranthiki Vasthunam",2025,"Daggubati Venkatesh","Anil Ravipudi",Published
arjun-chakravarthy-2025,"Arjun Chakravarthy",2025,"Vijaya Rama Raju","Vikrant Srinivas",Published
sikandar-2025,"Sikandar",2025,"Salman Khan","A. R. Murugadoss",Published
premante-2025,"Premante",2025,"Priyadarshi Pullikonda","Navaneeth Sriram",Published
mad-2025,"(MAD)²",2025,"Sangeeth Shobhan","Kalyan Shankar",Published
sathamindri-mutham-tha-2024,"Sathamindri Mutham Tha",2024,"Srikanth","Rajdev",Published
aarambham-2024,"Aarambham",2024,"Mohan Bhagath","Ajay Nag",Published
tom-and-jerry-2024,"Tom And Jerry",2024,"Nithin Rao","Raghav Vinay Shivamani",Published
mercy-killing-2024,"Mercy Killing",2024,"Parvateesam","Venkat Ramana S.",Published
kismat-2024,"Kismat",2024,"Abhinav Gomatam","Srinath Badineni",Published
drill-2024,"Drill",2024,"Gemini Suresh","Haranath Policherla",Published
bhavanam-2024,"Bhavanam",2024,"Ajay","Balachary Kurella",Published
honeymoon-express-2024,"Honeymoon Express",2024,"Tanikella Bharani","Bala Rajasekharuni",Published
35-chinna-katha-kaadu-2024,"35 - Chinna Katha Kaadu",2024,"Vishwadev Rachakonda","Nanda Kishore",Published
nayanthara-beyond-the-fairy-tale-2024,"Nayanthara: Beyond the Fairy Tale",2024,"Vignesh Shivan","Amith Krishnan",Published
vidya-vasula-aham-2024,"Vidya Vasula Aham",2024,"Rahul Vijay","Manikanth Gelli",Published
drinker-sai-2024,"Drinker Sai",2024,"Mahesh Dharma","Kiran Tirumalasetti",Published
sikandar-ka-muqaddar-2024,"Sikandar Ka Muqaddar",2024,"Jimmy Shergill","Neeraj Pandey",Published
raajadhani-files-2024,"Raajadhani Files",2024,"Akilan","Bhanu",Published
viswam-2024,"Viswam",2024,"Gopichand","Sreenu Vaitla",Published
reppa-tba,"Reppa",2024,"Suhas","Filmian",Published
matka-2024,"Matka",2024,"Varun Tej","Karuna Kumar",Published
fear-2024,"Fear",2024,"Joseph Sikora","Haritha Gogineni",Published
we-love-bad-boys-2024,"We Love Bad Boys",2024,"Ajay Kumar Kathurvar","Raju Rajendra Prasad",Published
prasanna-vadanam-2024,"Prasanna Vadanam",2024,"Suhas","Arjun Y.K.",Published
valari-2024,"Valari",2024,"Ritika Singh","M. Mallikarjun",Published
indrani-epic1-dharam-vs-karam-2024,"Indrani - Epic1: Dharam vs Karam",2024,"Kabir Duhan Singh","Stephen Pallam",Published
aham-reboot-2024,"Aham Reboot",2024,"Sumanth","Prasanth Sagar",Published
parijatha-parvam-2024,"Parijatha Parvam",2024,"Harsha Chemudu","Santosh Kambhampati",Published
usha-parinayam-2024,"Usha Parinayam",2024,"Vennela Kishore","K. Vijaya Bhaskar",Published
ruslaan-2024,"Ruslaan",2024,"Jagapathi Babu","Karan Lalit Butani",Published
raju-yadav-2024,"Raju Yadav",2024,"Getup Srinu","K. Krishnamachary",Published
bhimaa-2024,"Bhimaa",2024,"Gopichand","A. Harsha",Published
naa-saami-ranga-2024,"Naa Saami Ranga",2024,"Akkineni Nagarjuna, Allari Naresh","Vijay Binni",Published
rakshana-2024,"Rakshana",2024,"Sivannarayana Naripeddi","Prandeep Thakore",Published
bharathanatyam-2024,"Bharathanatyam",2024,"Harsha Vardhan","KVR Mahendra",Published
lifestories-2024,"LifeStories",2024,"Satya Kethineedi","Ujjwal Kashyap",Published
prathinidhi-2-2024,"Prathinidhi 2",2024,"Nara Rohith","Murthy Devagupthapu",Published
omg-o-manchi-ghost-2024,"OMG: O Manchi Ghost",2024,"Vennela Kishore","Marthand K Shankar",Published
modern-masters-ss-rajamouli-2024,"Modern Masters: SS Rajamouli",2024,"S. S. Rajamouli","Raghav Khanna",Published
make-a-wish-2024,"Make a Wish",2024,"Kiran Kasturi","Sandhya Bayireddy",Published
viraaji-2024,"Viraaji",2024,"Varun Sandesh","Adhyanth Harsha",Published
mukhya-gamanika-2024,"Mukhya Gamanika",2024,"Chitram Basha","Venu Muralidhar Vadnala",Published
manamey-2024,"Manamey",2024,"Sharwanand","Sriram Adittya",Published
hanu-man-2024,"Hanu-man",2024,"Teja Sajja","Prasanth Varma",Published
sam-anton-2024,"Sam Anton",2024,"Studio Green Films","Giorgio Diritti",Published
mysaa-tba,"Mysaa",2024,"Guru Somasundaram","Rawindra Pulle",Published
jilebi-2024,"Jilebi",2024,"Sree Kamal","K. Vijaya Bhaskar",Published
maya-puthagam-2024,"Maya Puthagam",2024,"Srikanth","Rama Jayaprakash",Published
sarangadhariya-2024,"Sarangadhariya",2024,"Raja Raveendar","Padmarao Abbisetti",Published
bench-life-2024,"Bench Life",2024,"Vaibhav","Manasa Sharma",Published
double-engine-2024,"Double Engine",2024,"Pawan Ramesh","Camp Sasi",Published
pottel-2024,"Pottel",2024,"Noel Sean","Sahit Mothkhuri",Published
ramnagar-bunny-2024,"Ramnagar Bunny",2024,"Muralidhar Goud","Srinivas Mahath",Published
om-bheem-bush-2024,"Om Bheem Bush",2024,"Sree Vishnu","Sree Harsha Konuganti",Published
maa-nanna-superhero-2024,"Maa Nanna Superhero",2024,"Sudheer Babu","Abhilash Reddy",Published
pekamedalu-2024,"Pekamedalu",2024,"Vinoth Kishan","Neelagiri Mamilla",Published
sarkaaru-noukari-2024,"Sarkaaru Noukari",2024,"Akash Goparaju","Shekar Ganganamoni",Published
mix-up-2024,"Mix Up",2024,"Kamal Kamaraju","Aakash Bikki",Published
shivam-bhaje-2024,"Shivam Bhaje",2024,"Ashwin Babu","Apsar",Published
srikakulam-sherlock-holmes-2024,"Srikakulam Sherlock Holmes",2024,"Vennela Kishore","Writer Mohan",Published
anthima-theerpu-2024,"Anthima Theerpu",2024,"Amit Kumar Tiwari","A. Abhiramu",Published
gangs-of-godavari-2024,"Gangs of Godavari",2024,"Vishwak Sen","Krishna Chaitanya",Published
uruku-patela-2024,"Uruku Patela",2024,"Tejus Kancherla","Vivek Reddy",Published
janaka-aithe-ganaka-2024,"Janaka Aithe Ganaka",2024,"Suhas","Sandeep Reddy Bandla",Published
dhoom-dhaam-2024,"Dhoom Dhaam",2024,"Chetan Maddineni","Sai Kishore Macha",Published
vedaa-2024,"Vedaa",2024,"John Abraham","Nikkhil Advani",Published
sit-special-investigation-team-2024,"S.I.T Special Investigation Team",2024,"Arvind Krishna","Vijaya Bhaskar Reddy",Published
oka-manchi-prema-katha-2024,"Oka Manchi Prema Katha",2024,"Samuthirakani","Akkineni Kutumba Rao",Published
music-shop-murthy-2024,"Music Shop Murthy",2024,"Ajay Ghosh","Siva Paladugu",Published
gorre-puranam-2024,"Gorre Puranam",2024,"Suhas","Bobby",Published
mr-bachchan-2024,"Mr Bachchan",2024,"Ravi Teja","Harish Shankar",Published
the-family-star-2024,"The Family Star",2024,"Vijay Deverakonda","Parasuram Petla",Published
committee-kurrollu-2024,"Committee Kurrollu",2024,"Sandeep Saroj","Yadhu Vamsi",Published
bhoothaddam-bhaskar-narayana-2024,"Bhoothaddam Bhaskar Narayana",2024,"Shiva Kandukuri","Purushotham Raaj",Published
utsavam-2024,"Utsavam",2024,"Prakash Raj","Arjun Sai",Published
rrr-behind-and-beyond-2024,"RRR: Behind & Beyond",2024,"N. T. Rama Rao Jr.","S. S. Rajamouli",Published
thalakona-2024,"Thalakona",2024,"Ajay Ghosh","Nagesh Naradasi",Published
my-dear-donga-2024,"My Dear Donga",2024,"Abhinav Gomatam","B. S. Sarwagna Kumar",Published
1980-lo-radhekrishna-2024,"1980 Lo Radhekrishna",2024,"SS Saidulu","Ismail Shaik",Published
simbaa-2024,"Simbaa",2024,"Jagapathi Babu","Murali Manohar Reddy",Published
100-crores-2024,"100 Crores",2024,"Rahul Haridas","Virat Chakravarthy",Published
kangaroo-2024,"Kangaroo",2024,"Aditya","Kishore Megalamane",Published
parakramam-2024,"Parakramam",2024,"Bandi Saroj Kumar","Bandi Saroj Kumar",Published
chaari-111-2024,"Chaari 111",2024,"Vennela Kishore","TG Keerthi Kumar",Published
aa-okkati-adakku-2024,"Aa Okkati Adakku",2024,"Allari Naresh","Malli Ankam",Published
masthu-shades-unnai-ra-2024,"Masthu Shades Unnai Ra",2024,"Abhinav Gomatam","Thirupathi Rao Indla",Published
devaki-nandana-vasudeva-2024,"Devaki Nandana Vasudeva",2024,"Ashok Galla","Arjun Jandyala",Published
alanaati-ramachandrudu-2024,"Alanaati Ramachandrudu",2024,"Brahmaji","Chilukuri Akash Reddy",Published
sheeshmahal-2024,"Sheeshmahal",2024,"Sai","Camp Sasi",Published
narudi-brathuku-natana-2024,"Narudi Brathuku Natana",2024,"Shiva Ramachandravarapu","Rishikeshwar Yogi",Published
brahmmavaram-p-s-paridhilo-2024,"Brahmmavaram P.S. Paridhilo",2024,"Surya Srinivas","Imran Sastry",Published
dheera-2024,"Dheera",2024,"Mirchi Kiran","Vikranth Srinivas",Published
sundaram-master-2024,"Sundaram Master",2024,"Harsha Chemudu","Kalyan Santhosh",Published
crime-reel-2024,"Crime Reel",2024,"Ashok Reddy","Dadi Lokesh",Published
sriranga-neethulu-2024,"Sriranga Neethulu",2024,"Suhas","Praveen Kumar VSS",Published
